candidate_id,unit,start_ms,n_events,TA_count,TB_count,within_block_interval_mean_ms
tshape_anchor3_B_minus,topo_6101_dyn_842901,0,10,4,6,491.77777777777777
tshape_anchor3_B_minus,topo_6101_dyn_842901,6000,14,7,7,425.38461538461536
tshape_anchor3_B_minus,topo_6101_dyn_842901,12000,14,2,12,441.53846153846155
tshape_anchor3_B_minus,topo_6101_dyn_842901,18000,14,7,7,371.6923076923077
tshape_anchor3_B_minus,topo_6102_dyn_842901,0,9,4,5,618.25
tshape_anchor3_B_minus,topo_6102_dyn_842901,6000,16,9,7,391.73333333333335
tshape_anchor3_B_minus,topo_6102_dyn_842901,12000,11,8,3,431.2
tshape_anchor3_B_minus,topo_6102_dyn_842901,18000,14,10,4,430.3076923076923
integrated_anchor1_B_minus,topo_6101_dyn_842901,0,8,7,1,549.7142857142857
integrated_anchor1_B_minus,topo_6101_dyn_842901,6000,11,6,5,550.6
integrated_anchor1_B_minus,topo_6101_dyn_842901,12000,11,9,2,493.6
integrated_anchor1_B_minus,topo_6101_dyn_842901,18000,14,9,5,420.0
integrated_anchor1_B_minus,topo_6102_dyn_842901,0,13,8,5,433.8333333333333
integrated_anchor1_B_minus,topo_6102_dyn_842901,6000,13,8,5,494.5
integrated_anchor1_B_minus,topo_6102_dyn_842901,12000,17,8,9,359.5
integrated_anchor1_B_minus,topo_6102_dyn_842901,18000,12,9,3,479.09090909090907
native_reg_anchor2_A_minus,topo_6101_dyn_842901,0,13,6,7,390.8333333333333
native_reg_anchor2_A_minus,topo_6101_dyn_842901,6000,17,10,7,351.75
native_reg_anchor2_A_minus,topo_6101_dyn_842901,12000,18,13,5,324.70588235294116
native_reg_anchor2_A_minus,topo_6101_dyn_842901,18000,17,13,4,344.125
native_reg_anchor2_A_minus,topo_6102_dyn_842901,0,18,18,0,321.7647058823529
native_reg_anchor2_A_minus,topo_6102_dyn_842901,6000,18,16,2,335.29411764705884
native_reg_anchor2_A_minus,topo_6102_dyn_842901,12000,17,12,5,312.125
native_reg_anchor2_A_minus,topo_6102_dyn_842901,18000,13,13,0,462.3333333333333
v2_1_pop1_de_b_002,topo_6101_dyn_842901,0,9,5,4,666.25
v2_1_pop1_de_b_002,topo_6101_dyn_842901,6000,15,9,6,396.85714285714283
v2_1_pop1_de_b_002,topo_6101_dyn_842901,12000,12,4,8,471.45454545454544
v2_1_pop1_de_b_002,topo_6101_dyn_842901,18000,10,6,4,599.5555555555555
v2_1_pop1_de_b_002,topo_6102_dyn_842901,0,14,7,7,382.15384615384613
v2_1_pop1_de_b_002,topo_6102_dyn_842901,6000,11,2,9,547.4
v2_1_pop1_de_b_002,topo_6102_dyn_842901,12000,14,6,8,431.6923076923077
v2_1_pop1_de_b_002,topo_6102_dyn_842901,18000,14,8,6,437.6923076923077
