job,kind,z_setting,dynamics_seed,event_index,event_time_ms,qualifying_start_ms,primary_eligible,exclusion_reasons,prolonged,mode,support,n_contacts,z_at_detection_start,q_at_detection_start,window_start_ms,window_end_ms,distance_mode0,distance_mode1,upper_SCL_n,upper_SCL_ms,right_ICL_n,right_ICL_ms,middle_ICL_n,middle_ICL_ms,left_ICL_n,left_ICL_ms,middle_before_both_ICL_ends,right_before_upper_and_left,upper_and_left_before_right,centroid_SCL9_ms,centroid_ICL11_ms,centroid_SCL8_ms,centroid_ICL10_ms,centroid_SCL7_ms,centroid_ICL9_ms,centroid_ICL8_ms,centroid_SCL6_ms,centroid_ICL7_ms,centroid_ICL6_ms,centroid_ICL5_ms,centroid_ICL4_ms,centroid_ICL3_ms,centroid_ICL2_ms,centroid_ICL1_ms
fixed_m100_dyn847101,fixed,-1.0,847101,0,852.0,818.0,True,,False,1,0,11,-1.0,-0.0,726.0,976.0,0.5518584485232088,0.454379728723422,4,841.3817389450703,1,816.0504614656417,4,854.5766169325791,0,,,,,853.1758344686937,,844.3911170793697,,838.3723608107709,,841.8365879696129,824.3022356406291,850.099344400251,859.0538894649072,867.0397565274496,872.7974582807434,875.8682428389236,,816.0504614656417
fixed_m100_dyn847101,fixed,-1.0,847101,1,1115.0,1082.0,False,overlapping_window,False,1,1,11,-1.0,-0.062450720788372716,990.0,1240.0,0.6262199288354057,0.2703638084175678,0,,2,1143.6768572409992,4,1111.0980993692656,3,1086.0056046667403,False,,,,1082.500238680549,,1086.0056046667403,,1094.7519636021195,1102.0606859509046,,1108.6289788152824,1113.5672199232488,1119.942473220889,1126.1168730181275,1133.5263608256964,1140.8982506035854,1146.455463878413
fixed_m100_dyn847101,fixed,-1.0,847101,2,1358.0,1336.0,False,overlapping_window,False,1,0,12,-1.0,-0.15231883119115297,1232.0,1482.0,0.9643848740437327,0.6037967293373947,4,1266.9997989811022,2,1377.7670681484933,4,1346.9935990553436,0,,,,,1269.3075062134953,,1267.256469803855,,1266.7431281583492,,1339.0626214380943,1264.5493780578645,1344.7421437219796,1349.2450543887073,1355.0483351772511,1361.0764245467842,1367.6786113546586,1374.692814090604,1380.8413222063828
fixed_m100_dyn847101,fixed,-1.0,847101,3,1584.0,1546.0,False,overlapping_window,False,1,1,12,-1.0,-0.15231883119115297,1458.0,1708.0,0.47122633268942654,0.2749619708772006,4,1580.5698816955041,2,1607.531693158124,4,1576.0664333389357,0,,,,,1591.4238245750673,,1583.7135872860447,,1577.4261761049638,,1568.2488507181918,1568.7758409336707,1573.6864064772988,1578.4464602005726,1584.1500683465863,1589.9968303759513,1597.374090145749,1604.527274301527,1610.5361120147209
fixed_m100_dyn847101,fixed,-1.0,847101,4,1815.0,1792.0,False,overlapping_window,False,0,0,12,-1.0,-0.15231883119115297,1690.0,1940.0,0.7987760811719165,0.9000127208630946,4,1901.1651853410287,2,1834.027103641518,4,1802.7120369389772,0,,,,,1906.387102555783,,1905.461347266657,,1896.8690234154005,,1794.3991460812413,1885.1670474932287,1800.2388354156233,1805.1852384623314,1810.9101097906707,1816.9789348922561,1823.9825693082594,1831.0395627160458,1837.01464456699
fixed_m100_dyn847101,fixed,-1.0,847101,5,2044.0,2022.0,False,overlapping_window,False,0,0,11,-1.0,-0.15231883119115297,1918.0,2168.0,0.737085147062271,0.9567633664324287,3,2146.5252061417364,2,2062.78071618053,4,2031.5637410148715,0,,,,,2133.4088974070614,,2146.5252061417364,,2163.888803408673,,2023.4528646549993,,2029.365666266812,2033.761815762931,2039.6480709409823,2045.6085470324124,2052.7947469052942,2059.7425449259285,2065.8188874351313
fixed_m100_dyn847101,fixed,-1.0,847101,6,2505.0,2466.0,True,,False,1,1,13,-1.0,-0.15231883119115297,2380.0,2630.0,0.6166772778243754,0.3299021415051513,4,2472.764325779721,2,2541.4565397889055,4,2508.4817506782733,1,2493.16127254263,False,False,True,2469.756633025551,,2468.4371381832902,,2475.7720185338903,2493.16127254263,2499.4271123541967,2476.1669175353763,2505.755816030558,2511.2076853259887,2517.0350695933002,2523.252699298389,2530.9331109247178,2538.2368572614514,2544.6762223163596
fixed_m100_dyn847101,fixed,-1.0,847101,7,2760.0,2722.0,False,overlapping_window,False,0,1,12,-1.0,-0.15231883119115297,2634.0,2884.0,0.46498408037814426,0.4060908057161871,4,2772.7257551426237,2,2769.4691039784343,4,2739.8333892716955,0,,,,,2771.07197316656,,2779.0447680193884,,2774.379537118687,,2732.396960939802,2765.150404133581,2737.56058215766,2742.106196385731,2747.3487332674695,2753.2662045937573,2759.5331133806117,2766.4371790177715,2772.501028939097
fixed_m100_dyn847101,fixed,-1.0,847101,8,2965.0,2940.0,False,overlapping_window,False,1,-1,13,-1.0,-0.15231883119115297,2840.0,3090.0,0.9413421935869362,0.9752209916028776,4,3052.887873724701,2,2987.279068257605,4,2954.365499476459,1,2938.3036675371,False,False,False,3064.1965506455144,,3055.2782706679554,,3050.4974767814465,2938.3036675371,2944.998356732167,3043.6513055328173,2951.5616248587926,2957.169374094125,2963.0741102569095,2969.4362023295066,2976.940772735532,2984.105811614466,2990.4523249007443
fixed_m100_dyn847101,fixed,-1.0,847101,9,3210.0,3188.0,False,overlapping_window,False,1,1,8,-1.0,-0.15231883119115297,3084.0,3334.0,0.43580821460237795,0.2726149673931569,0,,2,3228.3489347722443,4,3195.835526538428,0,,,,,,,,,,,3187.3763289104572,,3193.244177609586,3198.4268754672703,3203.712698177007,3209.9738404315303,3217.6433442517728,3225.145206286303,3231.552663258186
