job,phase,kind,z,mode,window_complete,status,n_events,D_off,A_mean_target_squared_distance,B_finite_event_subtraction,within_dispersion,patient_Doff_q025,patient_Doff_q975,right_before_upper_and_left_n,right_before_upper_and_left_fraction,upper_and_left_before_right_n,upper_and_left_before_right_fraction,middle_before_both_ICL_ends_n,middle_before_both_ICL_ends_fraction
fixed_m100_dyn847101,fixed,fixed,-1.0,0,True,NOT_ESTIMABLE,0,,,,,,,0,,0,,0,
fixed_m100_dyn847101,fixed,fixed,-1.0,1,True,NOT_ESTIMABLE,1,,,,,,,1,0.0,1,1.0,1,0.0
fixed_m050_dyn847101,fixed,fixed,-0.5,0,True,NOT_ESTIMABLE,1,,,,,,,0,,0,,0,
fixed_m050_dyn847101,fixed,fixed,-0.5,1,True,NOT_ESTIMABLE,1,,,,,,,1,0.0,1,1.0,1,0.0
fixed_zero_dyn847101,fixed,fixed,0.0,0,True,ESTIMABLE,5,-0.01236325683709591,0.1275183520822642,0.1398816089193601,0.5595264356774404,-0.04836273813998727,0.07734587555366637,5,0.8,5,0.0,5,0.2
fixed_zero_dyn847101,fixed,fixed,0.0,1,True,NOT_ESTIMABLE,1,,,,,,,0,,0,,0,
fixed_zero_dyn847101,continuous,fixed,0.0,0,True,ESTIMABLE,25,0.13267786341856852,0.15913235051200927,0.026454487093440757,0.6349076902425782,-0.006137865473668653,0.02426303661430074,20,0.65,20,0.0,21,0.047619047619047616
fixed_zero_dyn847101,continuous,fixed,0.0,1,True,ESTIMABLE,14,0.08666464638857635,0.12913742703639847,0.04247278064782212,0.5521461484216875,-0.011318300704988246,0.03231614167992282,5,0.0,5,0.4,8,0.375
fixed_p050_dyn847101,fixed,fixed,0.5,0,True,ESTIMABLE,2,0.11273713780772276,0.5270697583126518,0.41433262050492903,0.41433262050492903,-0.17004943887176927,0.2271255500524725,2,0.5,2,0.0,2,0.0
fixed_p050_dyn847101,fixed,fixed,0.5,1,True,NOT_ESTIMABLE,0,,,,,,,0,,0,,0,
fixed_p100_dyn847101,fixed,fixed,1.0,0,True,NOT_ESTIMABLE,1,,,,,,,1,0.0,1,0.0,1,1.0
fixed_p100_dyn847101,fixed,fixed,1.0,1,True,NOT_ESTIMABLE,0,,,,,,,0,,0,,0,
ou_dyn847101,continuous,ou,,0,True,ESTIMABLE,12,0.09277033318948749,0.14227879207513622,0.04950845888564872,0.5445930477421359,-0.014743981972817084,0.043514641452940116,7,0.5714285714285714,7,0.0,8,0.125
ou_dyn847101,continuous,ou,,1,True,ESTIMABLE,5,0.08757110185049755,0.1931716445715851,0.10560054272108754,0.42240217088435017,-0.04002232853345,0.0881910909416338,2,0.0,2,0.5,3,0.3333333333333333
fixed_m100_dyn847102,fixed,fixed,-1.0,0,True,NOT_ESTIMABLE,1,,,,,,,0,,0,,0,
fixed_m100_dyn847102,fixed,fixed,-1.0,1,True,NOT_ESTIMABLE,0,,,,,,,0,,0,,0,
fixed_m050_dyn847102,fixed,fixed,-0.5,0,True,NOT_ESTIMABLE,0,,,,,,,0,,0,,0,
fixed_m050_dyn847102,fixed,fixed,-0.5,1,True,ESTIMABLE,3,0.20536346378208303,0.42577285224802053,0.2204093884659375,0.440818776931875,-0.07533908008836133,0.1179818021801875,1,0.0,1,0.0,1,0.0
fixed_zero_dyn847102,fixed,fixed,0.0,0,True,NOT_ESTIMABLE,1,,,,,,,1,1.0,1,0.0,1,0.0
fixed_zero_dyn847102,fixed,fixed,0.0,1,True,ESTIMABLE,3,0.6239028843638001,0.9242497992153942,0.3003469148515941,0.6006938297031882,-0.07533908008836133,0.1179818021801875,1,0.0,1,1.0,1,1.0
fixed_zero_dyn847102,continuous,fixed,0.0,0,True,ESTIMABLE,20,0.06984154217878315,0.0965280168368679,0.026686474658084755,0.5070430185036103,-0.008822325137433617,0.02937805882658228,13,0.7692307692307693,13,0.07692307692307693,18,0.0
fixed_zero_dyn847102,continuous,fixed,0.0,1,True,ESTIMABLE,15,0.20195771344599933,0.2542118056817286,0.05225409223572926,0.7315572913002096,-0.009616387181411262,0.0309478567010193,10,0.0,10,0.5,11,0.2727272727272727
fixed_p050_dyn847102,fixed,fixed,0.5,0,True,NOT_ESTIMABLE,1,,,,,,,0,,0,,1,0.0
fixed_p050_dyn847102,fixed,fixed,0.5,1,True,NOT_ESTIMABLE,0,,,,,,,0,,0,,0,
fixed_p100_dyn847102,fixed,fixed,1.0,0,True,NOT_ESTIMABLE,1,,,,,,,1,1.0,1,0.0,1,0.0
fixed_p100_dyn847102,fixed,fixed,1.0,1,True,NOT_ESTIMABLE,0,,,,,,,0,,0,,0,
