job,kind,bin,interval,exposure_s,n_events,rate,mode0,mode1,supported
fixed_zero_dyn847101,fixed,0,"[-inf,-2.0)",0.0,0,,0,0,0
fixed_zero_dyn847101,fixed,1,"[-2.0,-1.0)",0.0,0,,0,0,0
fixed_zero_dyn847101,fixed,2,"[-1.0,-0.5)",0.0,0,,0,0,0
fixed_zero_dyn847101,fixed,3,"[-0.5,0.0)",0.0,0,,0,0,0
fixed_zero_dyn847101,fixed,4,"[0.0,0.5)",28.5,39,1.368421052631579,25,14,20
fixed_zero_dyn847101,fixed,5,"[0.5,1.0)",0.0,0,,0,0,0
fixed_zero_dyn847101,fixed,6,"[1.0,2.0)",0.0,0,,0,0,0
fixed_zero_dyn847101,fixed,7,"[2.0,inf)",0.0,0,,0,0,0
ou_dyn847101,ou,0,"[-inf,-2.0)",0.6507000000000001,0,0.0,0,0,0
ou_dyn847101,ou,1,"[-2.0,-1.0)",8.527,4,0.46909815878972677,2,2,2
ou_dyn847101,ou,2,"[-1.0,-0.5)",5.0375,4,0.794044665012407,2,2,3
ou_dyn847101,ou,3,"[-0.5,0.0)",3.8737000000000004,1,0.25815112166662363,0,1,0
ou_dyn847101,ou,4,"[0.0,0.5)",4.4828,6,1.338449183545998,6,0,5
ou_dyn847101,ou,5,"[0.5,1.0)",4.6164000000000005,1,0.21661901048436008,1,0,1
ou_dyn847101,ou,6,"[1.0,2.0)",1.3119,1,0.7622532205198567,1,0,0
ou_dyn847101,ou,7,"[2.0,inf)",0.0,0,,0,0,0
fixed_zero_dyn847102,fixed,0,"[-inf,-2.0)",0.0,0,,0,0,0
fixed_zero_dyn847102,fixed,1,"[-2.0,-1.0)",0.0,0,,0,0,0
fixed_zero_dyn847102,fixed,2,"[-1.0,-0.5)",0.0,0,,0,0,0
fixed_zero_dyn847102,fixed,3,"[-0.5,0.0)",0.0,0,,0,0,0
fixed_zero_dyn847102,fixed,4,"[0.0,0.5)",28.5,35,1.2280701754385965,20,15,20
fixed_zero_dyn847102,fixed,5,"[0.5,1.0)",0.0,0,,0,0,0
fixed_zero_dyn847102,fixed,6,"[1.0,2.0)",0.0,0,,0,0,0
fixed_zero_dyn847102,fixed,7,"[2.0,inf)",0.0,0,,0,0,0
ou_dyn847102,ou,0,"[-inf,-2.0)",0.0,0,,0,0,0
ou_dyn847102,ou,1,"[-2.0,-1.0)",0.4515,0,0.0,0,0,0
ou_dyn847102,ou,2,"[-1.0,-0.5)",2.6452000000000004,0,0.0,0,0,0
ou_dyn847102,ou,3,"[-0.5,0.0)",7.2628,8,1.1015035523489562,1,7,5
ou_dyn847102,ou,4,"[0.0,0.5)",7.9893,6,0.7510044684765874,4,2,2
ou_dyn847102,ou,5,"[0.5,1.0)",4.434900000000001,1,0.22548422737829485,1,0,1
ou_dyn847102,ou,6,"[1.0,2.0)",5.7163,1,0.1749383342371814,1,0,1
ou_dyn847102,ou,7,"[2.0,inf)",0.0,0,,0,0,0
fixed_zero_dyn847103,fixed,0,"[-inf,-2.0)",0.0,0,,0,0,0
fixed_zero_dyn847103,fixed,1,"[-2.0,-1.0)",0.0,0,,0,0,0
fixed_zero_dyn847103,fixed,2,"[-1.0,-0.5)",0.0,0,,0,0,0
fixed_zero_dyn847103,fixed,3,"[-0.5,0.0)",0.0,0,,0,0,0
fixed_zero_dyn847103,fixed,4,"[0.0,0.5)",28.5,35,1.2280701754385965,18,17,17
fixed_zero_dyn847103,fixed,5,"[0.5,1.0)",0.0,0,,0,0,0
fixed_zero_dyn847103,fixed,6,"[1.0,2.0)",0.0,0,,0,0,0
fixed_zero_dyn847103,fixed,7,"[2.0,inf)",0.0,0,,0,0,0
ou_dyn847103,ou,0,"[-inf,-2.0)",6.2945,3,0.4766065612836603,0,3,2
ou_dyn847103,ou,1,"[-2.0,-1.0)",6.3696,0,0.0,0,0,0
ou_dyn847103,ou,2,"[-1.0,-0.5)",3.7064,3,0.8094107489747464,1,2,2
ou_dyn847103,ou,3,"[-0.5,0.0)",3.5203,0,0.0,0,0,0
ou_dyn847103,ou,4,"[0.0,0.5)",2.9269000000000003,3,1.0249752297652805,2,1,1
ou_dyn847103,ou,5,"[0.5,1.0)",3.6252000000000004,2,0.5516936996579498,1,1,1
ou_dyn847103,ou,6,"[1.0,2.0)",2.0570999999999997,0,0.0,0,0,0
ou_dyn847103,ou,7,"[2.0,inf)",0.0,0,,0,0,0
