job,phase,kind,z,dynamics_seed,physical_status,window_complete,exposure_s,n_events,event_rate,n_detected_all,n_excluded_all,mode0,mode1,mode0_fraction,supported_fraction,coreAE_rate_Hz,coreAI_rate_Hz,coreA_E_mean_I_E,coreA_E_mean_I_I,coreA_E_balance,coreBE_rate_Hz,coreBI_rate_Hz,coreB_E_mean_I_E,coreB_E_mean_I_I,coreB_E_balance
fixed_m100_dyn847101,fixed,fixed,-1.0,847101,COMPLETE_NO_RUNAWAY,True,4.5,1,0.2222222222222222,21,19,0,1,0.0,1.0,21.86173491853809,45.36980056980057,68.59803009033203,104.51477813720703,-0.2074759713889333,23.37735849056604,48.80222222222223,76.57069396972656,123.06539154052734,-0.2328972701945591
fixed_m050_dyn847101,fixed,fixed,-0.5,847101,COMPLETE_NO_RUNAWAY,True,4.5,2,0.4444444444444444,19,16,1,1,0.5,0.5,19.903126376045794,42.16638176638176,64.43590545654297,97.4154281616211,-0.20376429386045378,23.343516022761307,48.43,76.54013061523438,122.7265853881836,-0.23178207545609306
fixed_zero_dyn847101,fixed,fixed,0.0,847101,COMPLETE_NO_RUNAWAY,True,4.5,6,1.3333333333333333,100,58,5,1,0.8333333333333334,0.5,16.900044033465434,36.17549857549857,59.222984313964844,91.1935806274414,-0.21254704444241418,14.898772087451334,32.01888888888889,52.48194122314453,78.45189666748047,-0.19834410922888876
fixed_zero_dyn847101,continuous,fixed,0.0,847101,COMPLETE_NO_RUNAWAY,True,28.5,39,1.368421052631579,100,58,25,14,0.6410256410256411,0.5128205128205128,17.914760481123547,37.62609086819613,60.019290924072266,90.17124938964844,-0.20075804487037055,17.244431834302738,36.262631578947364,58.83799743652344,89.59516143798828,-0.20721220685307698
fixed_p050_dyn847101,fixed,fixed,0.5,847101,COMPLETE_NO_RUNAWAY,True,4.5,2,0.4444444444444444,19,14,2,0,1.0,0.0,20.276530162923823,42.38518518518518,68.00103759765625,107.79119110107422,-0.2263476154268123,18.969152440850554,39.46111111111111,61.13227081298828,93.01390075683594,-0.20682724741846234
fixed_p100_dyn847101,fixed,fixed,1.0,847101,COMPLETE_NO_RUNAWAY,True,4.5,1,0.2222222222222222,21,19,1,0,1.0,1.0,21.330691325407308,45.365242165242165,71.37982940673828,114.90884399414062,-0.23366432094584896,21.560047918538483,44.15111111111111,66.85894775390625,103.47489166259766,-0.2149657735314461
ou_dyn847101,continuous,ou,,847101,COMPLETE_NO_RUNAWAY,True,28.5,17,0.5964912280701754,111,90,12,5,0.7058823529411765,0.6470588235294118,21.066073373658718,43.88717948717949,67.9352035522461,105.04696655273438,-0.21454096304346168,20.778550148957297,43.5121052631579,68.11331939697266,107.20506286621094,-0.22297571574317177
fixed_m100_dyn847102,fixed,fixed,-1.0,847102,COMPLETE_NO_RUNAWAY,True,4.5,1,0.2222222222222222,22,21,1,0,1.0,0.0,23.28665785997358,48.18233618233618,71.79438781738281,110.22486877441406,-0.21113414963130334,22.508235998802036,47.75888888888889,74.832763671875,118.72804260253906,-0.22677772311215133
fixed_m050_dyn847102,fixed,fixed,-0.5,847102,COMPLETE_NO_RUNAWAY,True,4.5,3,0.6666666666666666,19,16,0,3,0.0,0.3333333333333333,21.39586085424923,45.03703703703704,67.99124908447266,102.02930450439453,-0.20019965058007233,21.755615453728662,45.857777777777784,73.18560791015625,117.44261169433594,-0.2321639675175172
fixed_zero_dyn847102,fixed,fixed,0.0,847102,COMPLETE_NO_RUNAWAY,True,4.5,4,0.8888888888888888,99,64,1,3,0.25,0.0,17.921033318655514,38.14586894586895,60.106414794921875,92.19338989257812,-0.21068296944631326,21.81132075471698,45.044444444444444,69.66637420654297,106.725341796875,-0.210094707546914
fixed_zero_dyn847102,continuous,fixed,0.0,847102,COMPLETE_NO_RUNAWAY,True,28.5,35,1.2280701754385965,99,64,20,15,0.5714285714285714,0.5714285714285714,17.302463556513477,36.62492127755286,58.75296401977539,88.2010269165039,-0.2003896726089688,18.71688655601267,39.10473684210526,62.25846862792969,95.52507781982422,-0.21083700771973993
fixed_p050_dyn847102,fixed,fixed,0.5,847102,COMPLETE_NO_RUNAWAY,True,4.5,1,0.2222222222222222,23,21,1,0,1.0,1.0,24.065463085278147,50.21310541310541,78.37713623046875,128.13987731933594,-0.24096194416866246,22.009284216831386,44.67777777777778,67.68362426757812,102.36044311523438,-0.2039284250334338
fixed_p100_dyn847102,fixed,fixed,1.0,847102,COMPLETE_NO_RUNAWAY,True,4.5,1,0.2222222222222222,23,21,1,0,1.0,1.0,25.44371055335388,53.1042735042735,80.23198699951172,128.9490203857422,-0.2328941607655053,22.879604672057503,46.45333333333333,69.7747802734375,107.0947494506836,-0.21100280882542874
ou_dyn847102,continuous,ou,,847102,COMPLETE_NO_RUNAWAY,True,28.5,16,0.5614035087719298,118,102,7,9,0.4375,0.5625,20.942316160281813,43.98362573099415,68.70899200439453,107.74726867675781,-0.22123485351996264,20.898378020523005,43.41754385964913,67.30238342285156,104.43257904052734,-0.2162063958008386
fixed_m100_dyn847103,fixed,fixed,-1.0,847103,COMPLETE_NO_RUNAWAY,True,4.5,3,0.6666666666666666,22,19,0,3,0.0,0.6666666666666666,22.080140907089387,45.44957264957265,68.8583755493164,104.70874786376953,-0.20655047804836763,22.769392033542978,47.81444444444444,74.95148468017578,120.766845703125,-0.23408825693114407
fixed_m050_dyn847103,fixed,fixed,-0.5,847103,COMPLETE_NO_RUNAWAY,True,4.5,2,0.4444444444444444,21,19,0,2,0.0,0.0,18.938206370174665,39.94188034188034,61.7108268737793,92.12108612060547,-0.19768498882312158,23.451033243486073,48.705555555555556,76.6904525756836,123.48587799072266,-0.23377102219143223
fixed_zero_dyn847103,fixed,fixed,0.0,847103,COMPLETE_NO_RUNAWAY,True,4.5,4,0.8888888888888888,100,64,3,1,0.75,0.0,16.824600029355643,35.479202279202276,58.24952697753906,88.69644165039062,-0.2071980263027398,17.255166217430368,36.87555555555556,59.614192962646484,90.23037719726562,-0.20431960545869843
fixed_zero_dyn847103,continuous,fixed,0.0,847103,COMPLETE_NO_RUNAWAY,True,28.5,35,1.2280701754385965,100,64,18,17,0.5142857142857142,0.4857142857142857,16.816797608287562,35.76608187134503,57.895931243896484,87.32238006591797,-0.20263594397704102,17.483236392868964,37.020877192982454,59.60859680175781,91.0647964477539,-0.20877075490767424
fixed_p050_dyn847103,fixed,fixed,0.5,847103,COMPLETE_NO_RUNAWAY,True,4.5,4,0.8888888888888888,20,15,4,0,1.0,0.5,22.007632467341846,46.04558404558404,72.24385070800781,117.36658477783203,-0.23797599609216127,17.362982929020667,36.507777777777775,57.393699645996094,86.73912811279297,-0.20359989409149173
fixed_p100_dyn847103,fixed,fixed,1.0,847103,COMPLETE_NO_RUNAWAY,True,4.5,3,0.6666666666666666,21,18,3,0,1.0,0.6666666666666666,23.211507412300012,48.52877492877493,75.3563461303711,122.50637817382812,-0.23829667963586584,21.39412997903564,43.544444444444444,66.33987426757812,101.01709747314453,-0.20720514016075506
ou_dyn847103,continuous,ou,,847103,COMPLETE_NO_RUNAWAY,True,28.5,11,0.38596491228070173,115,104,4,7,0.36363636363636365,0.5454545454545454,21.575424691186356,44.74709851551957,69.06169128417969,106.87629699707031,-0.2149314430743686,21.42928074904242,45.03964912280702,70.65646362304688,112.48700714111328,-0.22840314801345263
