stage,topology_seed,dynamics_seed,arm,detected_index,event_time_ms,primary_eligible,primary_exclusion_reasons,prolonged,n_unique_contacts,n_finite_centroids,multiple_local_bursts_contact_fraction,median_mass_outside_detection,mode,support_state,distance_mode0,distance_mode1,in_primary_window,window_start_ms,window_end_ms,qualifying_start_ms,qualifying_end_ms,centroid_SCL9_ms,centroid_ICL11_ms,centroid_SCL8_ms,centroid_ICL10_ms,centroid_SCL7_ms,centroid_ICL9_ms,centroid_ICL8_ms,centroid_SCL6_ms,centroid_ICL7_ms,centroid_ICL6_ms,centroid_ICL5_ms,centroid_ICL4_ms,centroid_ICL3_ms,centroid_ICL2_ms,centroid_ICL1_ms,route_upper_SCL_n,route_upper_SCL_ms,route_right_ICL_n,route_right_ICL_ms,route_middle_ICL_n,route_middle_ICL_ms,route_left_ICL_n,route_left_ICL_ms,route_middle_before_both_ICL_ends,route_right_before_upper_and_left,route_upper_and_left_before_right
screen,2511,820101,B0,0,831.0,False,overlapping_window,False,10,10,0.0,0.04187547337354504,1,1,0.4330316833367508,0.37467495238799803,False,706.0,956.0,798.0,864.0,839.2908325195312,,829.9348754882812,,823.961669921875,,821.51513671875,,826.5794677734375,831.7664184570312,837.645263671875,844.1854858398438,852.9069213867188,,826.3584594726562,3,829.9348754882812,1,826.3584594726562,4,829.1729431152344,0,,,,
screen,2511,820101,B0,1,1033.0,False,overlapping_window,False,10,10,0.0,0.044688595146286175,1,0,0.5422162636395628,0.5047399419619659,False,908.0,1158.0,1002.0,1064.0,1064.2078857421875,1008.4148559570312,,1012.7275390625,,1020.0677490234375,1028.0338134765625,,1034.714111328125,1041.46240234375,1049.5345458984375,,,1039.9503173828125,1045.2747802734375,1,1064.2078857421875,2,1042.612548828125,4,1038.0882568359375,3,1012.7275390625,False,False,False
screen,2511,820101,B0,2,1243.0,False,overlapping_window,False,11,11,0.0,0.027251983170945612,1,1,0.5161465536012069,0.24134345787449846,False,1118.0,1368.0,1208.0,1278.0,,1234.7198486328125,,1229.5443115234375,,1225.2607421875,1228.4593505859375,,1233.1693115234375,1239.1187744140625,1246.0535888671875,1251.9864501953125,1259.7530517578125,1266.2391357421875,1273.216064453125,0,,2,1269.7276000976562,4,1236.14404296875,3,1229.5443115234375,False,,
screen,2511,820101,B0,3,1935.0,True,,False,13,13,0.0,0.03048098626032231,1,0,0.6762792061012781,0.631779991375167,False,1810.0,2060.0,1898.0,1972.0,1984.6580810546875,,1976.9705810546875,,1971.645751953125,1897.17236328125,1903.237548828125,1970.7991943359375,1909.283447265625,1915.2850341796875,1921.103271484375,1927.57958984375,1935.5791015625,1942.6429443359375,1948.886962890625,4,1974.3081665039062,2,1945.7649536132812,4,1912.2842407226562,1,1897.17236328125,False,False,False
screen,2511,820101,B0,4,2381.0,True,,False,10,10,0.0,0.05029409377077519,1,1,0.5232302555644087,0.4218663000881785,False,2256.0,2506.0,2348.0,2414.0,,,,2357.628173828125,,2361.936767578125,2368.1923828125,2422.94970703125,2374.6064453125,2379.727783203125,2385.718017578125,,2383.57373046875,2390.2060546875,2396.07666015625,1,2422.94970703125,2,2393.141357421875,4,2377.1671142578125,2,2359.782470703125,False,False,False
screen,2511,820101,B0,5,2658.0,True,,False,11,11,0.0,0.03076688144966266,1,-1,0.7390017679452112,0.8455058507033824,False,2532.0,2782.0,2632.0,2684.0,2772.04931640625,,2766.317626953125,,,2632.920166015625,2638.6328125,,2644.947509765625,2650.452880859375,2656.15869140625,2662.1455078125,2668.765625,2675.580810546875,2681.3056640625,2,2769.1834716796875,2,2678.4432373046875,4,2647.7001953125,1,2632.920166015625,False,False,False
screen,2511,820101,B0,6,3247.0,True,,False,13,13,0.0,0.10860769404473981,0,0,0.582695349045226,0.6388111710671378,False,3122.0,3372.0,3212.0,3282.0,3280.0390625,3243.072998046875,3286.4345703125,3237.529541015625,3291.16748046875,3230.089111328125,3223.0283203125,3301.35595703125,3217.42333984375,,,3231.360107421875,3239.7880859375,3246.7109375,3253.937744140625,4,3288.801025390625,2,3250.3243408203125,2,3220.225830078125,3,3237.529541015625,True,False,False
screen,2511,820101,B0,7,4015.0,True,,False,13,13,0.0,0.06829938909618262,0,0,0.8312326954657607,0.8329320957825942,False,3890.0,4140.0,3990.0,4040.0,,,3947.468017578125,4021.119140625,3952.265380859375,4027.9853515625,4034.90576171875,3961.68603515625,4041.929931640625,4045.6728515625,4054.75390625,4064.3076171875,4006.760986328125,3989.81591796875,3995.7265625,3,3952.265380859375,2,3992.771240234375,4,4043.8013916015625,2,4024.55224609375,False,False,False
screen,2511,820101,B0,8,4557.0,True,,False,15,15,0.0,0.04878628015739167,1,0,0.5365886201823725,0.48423520823479793,False,4432.0,4682.0,4516.0,4598.0,4522.92333984375,4553.74853515625,4514.79736328125,4550.4013671875,4509.6953125,4555.83837890625,4562.64794921875,4512.677734375,4567.73095703125,4576.38525390625,4583.70361328125,4589.6513671875,4549.5615234375,4556.4189453125,4562.96484375,4,4513.737548828125,2,4559.69189453125,4,4572.05810546875,3,4553.74853515625,False,False,True
screen,2511,820101,B0,9,4816.0,True,,False,11,11,0.0,0.02611444533305425,1,1,0.47568639289461656,0.4268983580445515,False,4690.0,4940.0,4784.0,4848.0,,,4825.7314453125,,4830.775390625,,4787.92919921875,4840.91064453125,4793.45263671875,4798.94970703125,4804.453125,4810.35107421875,4817.49365234375,4824.873046875,4831.208984375,3,4830.775390625,2,4828.041015625,4,4796.201171875,0,,,,
