stage,topology_seed,dynamics_seed,arm,initial_state_id,physical_status,actual_duration_ms,runaway_early_stop_ms,n_detected_windows,n_primary_events,n_primary_classified,n_primary_unclassifiable,n_excluded_windows,n_excluded_overlap,n_excluded_prolonged,n_excluded_insufficient_centroids,n_censored_boundary,primary_event_rate_per_s,median_inter_event_interval_ms,median_qualifying_duration_ms,scl_participation_fraction,supported_fraction,unsupported_fraction,median_distance_assigned_mode,input_digest_n_segments,simulation_wall_seconds,wall_seconds,peak_rss_gib,primary_M0,primary_M1,primary_unclassifiable,primary_mode0_proportion,secondary_0_M0,secondary_0_M1,secondary_0_unclassifiable,secondary_0_mode0_proportion,secondary_1_M0,secondary_1_M1,secondary_1_unclassifiable,secondary_1_mode0_proportion,secondary_2_M0,secondary_2_M1,secondary_2_unclassifiable,secondary_2_mode0_proportion,secondary_3_M0,secondary_3_M1,secondary_3_unclassifiable,secondary_3_mode0_proportion,secondary_4_M0,secondary_4_M1,secondary_4_unclassifiable,secondary_4_mode0_proportion,late_window_ms
screen,2511,820101,B0,B0_reset,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,55,32,32,0,23,23,0,0,3,1.3617021276595744,500.0,64.0,0.75,0.46875,0.21875,0.5249402523040771,24,1777.2233805656433,1820.2336938381195,14.691471099853516,8,11,0,0.42105263157894735,3,6,0,0.3333333333333333,1,3,0,0.25,6,6,0,0.5,2,5,0,0.2857142857142857,12,20,0,0.375,"[12000.0, 24000.0]"
screen,2511,820101,B1,B1_core0_plus1mV,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,57,30,30,0,27,27,0,0,3,1.2765957446808511,456.0,61.0,0.6666666666666666,0.5,0.16666666666666666,0.4579991102218628,24,1789.3594052791595,1832.1055014133453,14.69070053100586,5,9,0,0.35714285714285715,2,6,0,0.25,3,5,0,0.375,3,2,0,0.6,2,7,0,0.2222222222222222,10,20,0,0.3333333333333333,"[12000.0, 24000.0]"
screen,2511,820101,B2,B2_core1_plus1mV,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,56,28,28,0,28,28,0,0,3,1.1914893617021276,772.0,66.0,0.8214285714285714,0.5,0.21428571428571427,0.4599313735961914,24,1614.1431000232697,1658.1105184555054,14.691719055175781,5,9,0,0.35714285714285715,3,5,0,0.375,4,2,0,0.6666666666666666,2,4,0,0.3333333333333333,3,5,0,0.375,12,16,0,0.42857142857142855,"[12000.0, 24000.0]"
screen,2511,820102,B0,B0_reset,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,49,19,19,0,30,30,0,0,2,0.8085106382978723,1011.0,54.0,0.8421052631578947,0.5789473684210527,0.10526315789473684,0.5054425597190857,24,1643.369212627411,1688.1408524513245,14.692039489746094,5,6,0,0.45454545454545453,1,1,0,0.5,4,2,0,0.6666666666666666,2,2,0,0.5,3,4,0,0.42857142857142855,10,9,0,0.5263157894736842,"[12000.0, 24000.0]"
screen,2511,820102,B1,B1_core0_plus1mV,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,52,27,27,0,25,25,0,0,3,1.148936170212766,464.0,64.0,0.8518518518518519,0.7407407407407407,0.14814814814814814,0.37981143593788147,24,1559.4927337169647,1602.2050211429596,14.69149398803711,3,8,0,0.2727272727272727,2,7,0,0.2222222222222222,4,3,0,0.5714285714285714,1,4,0,0.2,2,4,0,0.3333333333333333,9,18,0,0.3333333333333333,"[12000.0, 24000.0]"
screen,2511,820102,B2,B2_core1_plus1mV,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,44,23,23,0,21,21,0,0,2,0.9787234042553191,942.5,64.0,0.7391304347826086,0.6521739130434783,0.043478260869565216,0.42218974232673645,24,1581.9193558692932,1624.9079341888428,14.631458282470703,4,7,0,0.36363636363636365,4,1,0,0.8,3,4,0,0.42857142857142855,2,2,0,0.5,2,5,0,0.2857142857142857,11,12,0,0.4782608695652174,"[12000.0, 24000.0]"
screen,2511,820103,B0,B0_reset,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,64,25,25,0,39,39,0,0,2,1.0638297872340425,511.0,68.0,0.76,0.72,0.16,0.3791747987270355,24,1823.8591451644897,1867.334495306015,14.692340850830078,1,10,0,0.09090909090909091,2,5,0,0.2857142857142857,4,3,0,0.5714285714285714,1,7,0,0.125,0,3,0,0.0,7,18,0,0.28,"[12000.0, 24000.0]"
screen,2511,820103,B1,B1_core0_plus1mV,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,51,22,22,0,29,29,0,0,1,0.9361702127659575,822.0,55.0,0.8636363636363636,0.5454545454545454,0.36363636363636365,0.49192485213279724,24,2023.9019498825073,2070.8064403533936,14.692035675048828,5,6,0,0.45454545454545453,2,4,0,0.3333333333333333,1,4,0,0.2,2,4,0,0.3333333333333333,3,2,0,0.6,8,14,0,0.36363636363636365,"[12000.0, 24000.0]"
screen,2511,820103,B2,B2_core1_plus1mV,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,56,24,24,0,32,32,0,0,2,1.0212765957446808,727.0,70.0,0.9583333333333334,0.4583333333333333,0.20833333333333334,0.5037228465080261,24,1589.7775778770447,1631.5434210300446,14.636981964111328,4,9,0,0.3076923076923077,1,5,0,0.16666666666666666,2,3,0,0.4,3,5,0,0.375,1,4,0,0.2,7,17,0,0.2916666666666667,"[12000.0, 24000.0]"
screen,2511,820104,B0,B0_reset,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,56,30,30,0,26,26,0,0,3,1.2765957446808511,509.0,63.0,0.8333333333333334,0.6,0.16666666666666666,0.4124234914779663,24,1547.308664560318,1588.6803069114685,14.691947937011719,10,9,0,0.5263157894736842,4,3,0,0.5714285714285714,3,1,0,0.75,3,3,0,0.5,7,6,0,0.5384615384615384,17,13,0,0.5666666666666667,"[12000.0, 24000.0]"
screen,2511,820104,B1,B1_core0_plus1mV,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,60,24,24,0,36,36,0,0,3,1.0212765957446808,527.0,64.0,0.6666666666666666,0.75,0.08333333333333333,0.3137131929397583,24,1519.3899321556091,1561.7572166919708,14.691383361816406,3,12,0,0.2,1,1,0,0.5,3,4,0,0.42857142857142855,3,2,0,0.6,0,10,0,0.0,7,17,0,0.2916666666666667,"[12000.0, 24000.0]"
screen,2511,820104,B2,B2_core1_plus1mV,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,56,30,30,0,26,26,0,0,3,1.2765957446808511,509.0,63.0,0.8333333333333334,0.6,0.16666666666666666,0.4124234914779663,24,1504.2239532470703,1546.2585725784302,14.692657470703125,10,9,0,0.5263157894736842,4,3,0,0.5714285714285714,3,1,0,0.75,3,3,0,0.5,7,6,0,0.5384615384615384,17,13,0,0.5666666666666667,"[12000.0, 24000.0]"
