phase,candidate_id,topology_seed,dynamics_seed,inventory_status,artifact_integrity,safe,event_yield_estimable,conditional_estimable,feasibility,n_returned_families,failure_reasons
qualification,dci_p000,2601,2601,PRESENT_VALIDATED,True,True,True,False,False,32,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
qualification,dci_p000,2602,2602,PRESENT_VALIDATED,True,True,True,False,False,36,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
qualification,dci_p000,2603,2603,PRESENT_VALIDATED,True,True,True,False,False,34,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
qualification,dci_p000,2604,2604,PRESENT_VALIDATED,True,True,True,False,False,38,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
qualification,dci_p000,2605,2605,PRESENT_VALIDATED,True,True,True,True,True,30,
qualification,dci_p000,2606,2606,PRESENT_VALIDATED,True,True,True,True,True,37,
qualification,dci_p089,2601,2601,PRESENT_VALIDATED,True,True,True,True,True,26,
qualification,dci_p089,2602,2602,PRESENT_VALIDATED,True,True,True,True,True,29,
qualification,dci_p089,2603,2603,PRESENT_VALIDATED,True,True,True,True,True,38,
qualification,dci_p089,2604,2604,PRESENT_VALIDATED,True,True,True,True,True,25,
qualification,dci_p089,2605,2605,PRESENT_VALIDATED,True,True,True,True,True,25,
qualification,dci_p089,2606,2606,PRESENT_VALIDATED,True,True,True,True,True,34,
qualification,dci_p066,2601,2601,PRESENT_VALIDATED,True,True,True,False,False,36,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
qualification,dci_p066,2602,2602,PRESENT_VALIDATED,True,True,True,False,False,55,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
qualification,dci_p066,2603,2603,PRESENT_VALIDATED,True,True,True,False,False,43,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
qualification,dci_p066,2604,2604,PRESENT_VALIDATED,True,True,True,False,False,42,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
qualification,dci_p066,2605,2605,PRESENT_VALIDATED,True,True,True,False,False,40,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
qualification,dci_p066,2606,2606,PRESENT_VALIDATED,True,True,True,False,False,44,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
