arm,card_path,card_sha256,depends,device,error,family,inputs,kind,priority,protocol,seed,stage,status,subject,task_id
state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__inner0__P_stats__I-L-G1__state__persistent__seed20260906/card.json,fc104c0ad8c5ccd8a8da0e4734e79239ef6ead0f65905089fcdc56fa4164de64,,cuda:0,,I-L-G1,P_stats,train,1,S-E,20260906,inner0,COMPLETE,epilepsiae_1125,t001
state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__inner1__P_stats__I-L-G1__state__persistent__seed20260906/card.json,656f5258ff326d2bf7c03cce188d8f28d6e57c27e7b017c015af580b07c5b57a,,cuda:1,,I-L-G1,P_stats,train,2,S-E,20260906,inner1,COMPLETE,epilepsiae_1125,t002
,,,"t001,t002",cpu,,,,recipe,3,,,,COMPLETE,,t003
state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260906/card.json,fa321fcdc756c7d16bc12be57336447a67812542b8b5b84212a473b1c416ad52,t003,cuda:1,,I-L-G1,P_stats,train,4,S-E,20260906,outer,COMPLETE,epilepsiae_1125,t004
,,,t004,cpu,,,,bundle,5,,,,COMPLETE,,t005
state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260907/card.json,ff81e66a25df3966e18dc77ce0a2251722f7a0eeab27dd4ba08e9e6e0d7717c7,t003,cuda:0,,I-L-G1,P_stats,train,1006,S-E,20260907,outer,COMPLETE,epilepsiae_1125,t006
,,,t006,cpu,,,,bundle,1007,,,,COMPLETE,,t007
state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__outer__P_stats__I-L-G1__state__persistent__seed20260908/card.json,9d8ac393cf6c97c46b27f033348bd22dc1dd876a867deb1f38b54aab215e111a,t003,cuda:0,,I-L-G1,P_stats,train,1008,S-E,20260908,outer,COMPLETE,epilepsiae_1125,t008
,,,t008,cpu,,,,bundle,1009,,,,COMPLETE,,t009
state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__inner0__P_marks__I-L-G1__state__persistent__seed20260906/card.json,27bc3cae509f61b9afb3b80507d6ca0e8291f7d5b41b6c947f276aea8ebe4ffb,,cuda:0,,I-L-G1,P_marks,train,10,S-E,20260906,inner0,COMPLETE,epilepsiae_1125,t010
state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__inner1__P_marks__I-L-G1__state__persistent__seed20260906/card.json,b53d7ee066bc043b963f1765d905a6c4c567f538cbdc837e5e95436d7db08d46,,cuda:1,,I-L-G1,P_marks,train,11,S-E,20260906,inner1,COMPLETE,epilepsiae_1125,t011
,,,"t010,t011",cpu,,,,recipe,12,,,,COMPLETE,,t012
state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906/card.json,7f5ab6caeb06b8431fc4e2431284a3c9923e504703c9a10e356da32e36a733c6,t012,cuda:0,,I-L-G1,P_marks,train,13,S-E,20260906,outer,COMPLETE,epilepsiae_1125,t013
,,,t013,cpu,,,,bundle,14,,,,COMPLETE,,t014
state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907/card.json,5220143ccf718cdb65faf8390501716225cb71c7771d174ef60b1b5d41ea1787,t012,cuda:0,,I-L-G1,P_marks,train,1015,S-E,20260907,outer,COMPLETE,epilepsiae_1125,t015
,,,t015,cpu,,,,bundle,1016,,,,COMPLETE,,t016
state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260908/card.json,01f28be6cd7175c65479d00c3055e5f84074acb6e4ed9b2d83eac7872a718e90,t012,cuda:0,,I-L-G1,P_marks,train,1017,S-E,20260908,outer,COMPLETE,epilepsiae_1125,t017
,,,t017,cpu,,,,bundle,1018,,,,COMPLETE,,t018
marked_history,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__inner0__P_marks__I-L-G1__marked_history__persistent__seed20260906/card.json,b0e224fc0f7f555e76c7228881aaa06c1a919578d1173e180721d9df4640e742,,cuda:1,,I-L-G1,P_marks,train,19,S-E,20260906,inner0,COMPLETE,epilepsiae_1125,t019
marked_history,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__inner1__P_marks__I-L-G1__marked_history__persistent__seed20260906/card.json,10eef26d07fe7351a03d81962517fab139be3dc3c3326368c0e3f076124d2175,,cuda:0,,I-L-G1,P_marks,train,20,S-E,20260906,inner1,COMPLETE,epilepsiae_1125,t020
,,,"t019,t020",cpu,,,,recipe,21,,,,COMPLETE,,t021
marked_history,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__outer__P_marks__I-L-G1__marked_history__persistent__seed20260906/card.json,1e84e883aaa1279c1fc12e8338d451e6ef2da98a7df720a73a59f473ba47f7b5,t021,cuda:0,,I-L-G1,P_marks,train,22,S-E,20260906,outer,COMPLETE,epilepsiae_1125,t022
,,,t022,cpu,,,,bundle,23,,,,COMPLETE,,t023
marked_history,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__outer__P_marks__I-L-G1__marked_history__persistent__seed20260907/card.json,1a5f769a6e72e0d5783ba9c24cec3518dd0b05d3285095d99dd35eff861edb38,t021,cuda:0,,I-L-G1,P_marks,train,1024,S-E,20260907,outer,COMPLETE,epilepsiae_1125,t024
,,,t024,cpu,,,,bundle,1025,,,,COMPLETE,,t025
marked_history,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__outer__P_marks__I-L-G1__marked_history__persistent__seed20260908/card.json,f0d167c47080e71e4eec360a4b0fb764cf2f3a3cd9c126f87afa735226aa803c,t021,cuda:0,,I-L-G1,P_marks,train,1026,S-E,20260908,outer,COMPLETE,epilepsiae_1125,t026
,,,t026,cpu,,,,bundle,1027,,,,COMPLETE,,t027
fixed_marked_history,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__inner0__P_marks__I-L-G1__fixed_marked_history__persistent__seed20260906/card.json,803813b4663ed136b2ffb146bf66f4b86dfcdbdc0e327904e4ea98e385229019,,cuda:0,,I-L-G1,P_marks,train,28,S-E,20260906,inner0,COMPLETE,epilepsiae_1125,t028
fixed_marked_history,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__inner1__P_marks__I-L-G1__fixed_marked_history__persistent__seed20260906/card.json,757ec61711c28b89d3b0698770521ff18a2d3b3bfad0a474a9f74dc14d46f654,,cuda:0,,I-L-G1,P_marks,train,29,S-E,20260906,inner1,COMPLETE,epilepsiae_1125,t029
,,,"t028,t029",cpu,,,,recipe,30,,,,COMPLETE,,t030
fixed_marked_history,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__outer__P_marks__I-L-G1__fixed_marked_history__persistent__seed20260906/card.json,adf67a8b5393eccbeae87bac66677cafc53582f0d07fb3eece197ff26b5785b8,t030,cuda:0,,I-L-G1,P_marks,train,31,S-E,20260906,outer,COMPLETE,epilepsiae_1125,t031
,,,t031,cpu,,,,bundle,32,,,,COMPLETE,,t032
fixed_marked_history,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__outer__P_marks__I-L-G1__fixed_marked_history__persistent__seed20260907/card.json,ad21e979f28ca0f6b0c1f8d567416f585df33427d676426e076905226bda5ed1,t030,cuda:0,,I-L-G1,P_marks,train,1033,S-E,20260907,outer,COMPLETE,epilepsiae_1125,t033
,,,t033,cpu,,,,bundle,1034,,,,COMPLETE,,t034
fixed_marked_history,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__outer__P_marks__I-L-G1__fixed_marked_history__persistent__seed20260908/card.json,59c2f31e5bb236084ca9d4a8ab51d9f4a0096322d733db76f41b9fa50f71bb48,t030,cuda:0,,I-L-G1,P_marks,train,1035,S-E,20260908,outer,COMPLETE,epilepsiae_1125,t035
,,,t035,cpu,,,,bundle,1036,,,,COMPLETE,,t036
constant_state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__inner0__P_stats__I-L-G1__constant_state__persistent__seed20260906/card.json,2548d44ab27d138fcd133b9e5886a326de7d85229fe4dc023510eb766d0fd6f9,,cuda:0,,I-L-G1,P_stats,train,37,S-E,20260906,inner0,COMPLETE,epilepsiae_1125,t037
constant_state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__inner1__P_stats__I-L-G1__constant_state__persistent__seed20260906/card.json,fe4c08c963bf1e173bdda3a9182244778fe249fc0e50f4c9f7102e38dd940e84,,cuda:0,,I-L-G1,P_stats,train,38,S-E,20260906,inner1,COMPLETE,epilepsiae_1125,t038
,,,"t037,t038",cpu,,,,recipe,39,,,,COMPLETE,,t039
constant_state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__outer__P_stats__I-L-G1__constant_state__persistent__seed20260906/card.json,1c400926395f1fee50d7cdaff02ad8b6d11c88dcd268198a378cca2813a4e521,t039,cuda:0,,I-L-G1,P_stats,train,40,S-E,20260906,outer,COMPLETE,epilepsiae_1125,t040
,,,t040,cpu,,,,bundle,41,,,,COMPLETE,,t041
constant_state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__outer__P_stats__I-L-G1__constant_state__persistent__seed20260907/card.json,9f107476a1f2aac56a3de4b418a27e5b5c10376f8795e778ac005836d7f165e1,t039,cuda:0,,I-L-G1,P_stats,train,1042,S-E,20260907,outer,COMPLETE,epilepsiae_1125,t042
,,,t042,cpu,,,,bundle,1043,,,,COMPLETE,,t043
constant_state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-E__outer__P_stats__I-L-G1__constant_state__persistent__seed20260908/card.json,69146858e43060a6bd9c63d916a7adc932080fcbad42bc46b40beec2e8ca4dad,t039,cuda:0,,I-L-G1,P_stats,train,1044,S-E,20260908,outer,COMPLETE,epilepsiae_1125,t044
,,,t044,cpu,,,,bundle,1045,,,,COMPLETE,,t045
constant_state,,,,cpu,,I-L-G1,P_stats,baselines,0,S-E,20260906,outer,COMPLETE,epilepsiae_1125,t046
,,,,cpu,,,,synthetic_data,5,,,,COMPLETE,,t047
state,/data/hfosp_group_event_state_observable_state_validation_v0312/instruments/runs/synthetic_morphology_901__S-E__inner0__P_stats__I-L-G1__state__persistent__seed20260906/card.json,32b615f0459235e4cafdfdd48e93cf14bfa78cad33866ba74af8b1293a5c1c8e,t047,cuda:1,,I-L-G1,P_stats,train,20,S-E,20260906,inner0,COMPLETE,synthetic_morphology_901,t048
,,,t048,cpu,,,,synthetic_score,21,,,,COMPLETE,,t049
state,/data/hfosp_group_event_state_observable_state_validation_v0312/instruments/runs/synthetic_morphology_901__S-E__inner0__P_marks__I-L-G1__state__persistent__seed20260906/card.json,637e6debe213bf584681358c7152c3a2be5859c382e31ff46a4550d6012f376e,t047,cuda:1,,I-L-G1,P_marks,train,20,S-E,20260906,inner0,COMPLETE,synthetic_morphology_901,t050
,,,t050,cpu,,,,synthetic_score,21,,,,COMPLETE,,t051
,,,,cpu,,,,synthetic_data,5,,,,COMPLETE,,t052
state,/data/hfosp_group_event_state_observable_state_validation_v0312/instruments/runs/synthetic_identity_902__S-E__inner0__P_stats__I-L-G1__state__persistent__seed20260906/card.json,3427dbb9619ec6fa6f501ad4d5f813a099cfb7a4ec2ac4c21de12844fd8e57e8,t052,cuda:0,,I-L-G1,P_stats,train,500,S-E,20260906,inner0,COMPLETE,synthetic_identity_902,t053
,,,t053,cpu,,,,synthetic_score,501,,,,COMPLETE,,t054
state,/data/hfosp_group_event_state_observable_state_validation_v0312/instruments/runs/synthetic_identity_902__S-E__inner0__P_marks__I-L-G1__state__persistent__seed20260906/card.json,76daa95bae48ead2c2935dca798cd2ece1c99a21adb573a3b07cb028efc2fa91,t052,cuda:1,,I-L-G1,P_marks,train,500,S-E,20260906,inner0,COMPLETE,synthetic_identity_902,t055
,,,t055,cpu,,,,synthetic_score,501,,,,COMPLETE,,t056
,,,,cpu,,,,synthetic_data,5,,,,COMPLETE,,t057
state,/data/hfosp_group_event_state_observable_state_validation_v0312/instruments/runs/synthetic_zero_903__S-E__inner0__P_stats__I-L-G1__state__persistent__seed20260906/card.json,1d31f242ec7523d79480f3d01fa9ce24345c60a1af5a584b8d33a8965c20f7e3,t057,cuda:0,,I-L-G1,P_stats,train,500,S-E,20260906,inner0,COMPLETE,synthetic_zero_903,t058
,,,t058,cpu,,,,synthetic_score,501,,,,COMPLETE,,t059
state,/data/hfosp_group_event_state_observable_state_validation_v0312/instruments/runs/synthetic_zero_903__S-E__inner0__P_marks__I-L-G1__state__persistent__seed20260906/card.json,fbe63dc3e7ea07a53e62894fadffbd1b9ee2240c04faa464d44e9d44dd71c2e7,t057,cuda:0,,I-L-G1,P_marks,train,500,S-E,20260906,inner0,COMPLETE,synthetic_zero_903,t060
,,,t060,cpu,,,,synthetic_score,501,,,,COMPLETE,,t061
state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-ID__sid__P_stats__I-L-G1__state__persistent__seed20260906/card.json,64748b23d7b0cdeb48335cc15f4754b64824ca3cf3fef32f047e3c1fac2fd2b3,,cuda:0,,I-L-G1,P_stats,train,200,S-ID,20260906,sid,COMPLETE,epilepsiae_1125,t062
,,,t062,cpu,,,,bundle,201,,,,COMPLETE,,t063
state,/data/hfosp_group_event_state_observable_state_validation_v0312/runs/epilepsiae_1125__S-ID__sid__P_marks__I-L-G1__state__persistent__seed20260906/card.json,55d94d94b4ed0a2a31ac42a164d553733f9452fc3e17c5e474a390a5e8fbd50a,,cuda:0,,I-L-G1,P_marks,train,200,S-ID,20260906,sid,COMPLETE,epilepsiae_1125,t064
