actual_microbatch,extension_stage,inputs,peak_reserved_gib,plateau_drops,selected_updates,source_digest,stop_reason,subject,task_id,updates
32,stage1,P_stats,0.177734375,2,0,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_morphology_904,r002,1000
32,stage1,P_marks,0.189453125,2,0,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_morphology_904,r004,1000
32,stage1,P_stats,0.177734375,2,0,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_morphology_905,r007,1000
32,stage1,P_marks,0.177734375,2,1150,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_morphology_905,r009,1850
32,stage1,P_stats,0.177734375,2,0,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_identity_904,r012,1000
32,stage1,P_marks,0.177734375,2,0,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_identity_904,r014,1000
32,stage1,P_stats,0.189453125,2,0,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_zero_904,r022,1000
32,stage1,P_marks,0.177734375,2,0,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_zero_904,r024,1000
32,stage1,P_stats,0.177734375,2,150,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_zero_905,r027,1150
32,stage1,P_marks,0.177734375,2,400,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_zero_905,r029,1050
32,stage2,P_stats,0.197265625,2,200,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_morphology_906,s002,1200
32,stage2,P_marks,0.177734375,2,250,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_morphology_906,s004,1250
32,stage2,P_stats,0.177734375,2,250,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_morphology_907,s007,1250
32,stage2,P_marks,0.177734375,2,50,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_morphology_907,s009,1050
32,stage2,P_stats,0.177734375,2,800,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_identity_906,s012,1200
32,stage2,P_marks,0.177734375,2,300,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_identity_906,s014,1300
32,stage2,P_stats,0.177734375,2,150,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_identity_907,s017,1150
32,stage2,P_marks,0.189453125,2,50,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_identity_907,s019,1050
32,stage2,P_stats,0.189453125,2,350,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_zero_906,s022,1350
32,stage2,P_marks,0.177734375,2,1050,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_zero_906,s024,1700
32,stage2,P_stats,0.177734375,2,250,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_zero_907,s027,1250
32,stage2,P_marks,0.177734375,2,200,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,plateau,synthetic_zero_907,s029,1200
