adapter,arm,exact_K_set_score,executed_steps,inputs,protocol,run,score,seed,selected_step,stage,status
history_120min,state,2.3767483234405518,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906,1.5233708620071411,20260906,0,outer,COMPLETE
history_1min,state,2.3734755516052246,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906,1.509584903717041,20260906,0,outer,COMPLETE
history_30min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906,1.5132296085357666,20260906,0,outer,COMPLETE
history_5min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906,1.5132296085357666,20260906,0,outer,COMPLETE
state_120min,state,2.3767483234405518,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906,1.5233708620071411,20260906,0,outer,COMPLETE
state_1min,state,2.3734755516052246,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906,1.509584903717041,20260906,0,outer,COMPLETE
state_30min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906,1.5132296085357666,20260906,0,outer,COMPLETE
state_5min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906,1.5132296085357666,20260906,0,outer,COMPLETE
state_history_120min,state,2.3767483234405518,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906,1.5233708620071411,20260906,0,outer,COMPLETE
state_history_1min,state,2.3734755516052246,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906,1.509584903717041,20260906,0,outer,COMPLETE
state_history_30min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906,1.5132296085357666,20260906,0,outer,COMPLETE
state_history_5min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906,1.5132296085357666,20260906,0,outer,COMPLETE
trait_120min,state,2.3767483234405518,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906,1.5233708620071411,20260906,0,outer,COMPLETE
trait_1min,state,2.3734755516052246,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906,1.509584903717041,20260906,0,outer,COMPLETE
trait_30min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906,1.5132296085357666,20260906,0,outer,COMPLETE
trait_5min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260906,1.5132296085357666,20260906,0,outer,COMPLETE
history_120min,state,2.3767483234405518,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907,1.5233708620071411,20260907,0,outer,COMPLETE
history_1min,state,2.3734755516052246,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907,1.509584903717041,20260907,0,outer,COMPLETE
history_30min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907,1.5132296085357666,20260907,0,outer,COMPLETE
history_5min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907,1.5132296085357666,20260907,0,outer,COMPLETE
state_120min,state,2.3767483234405518,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907,1.5233708620071411,20260907,0,outer,COMPLETE
state_1min,state,2.3734755516052246,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907,1.509584903717041,20260907,0,outer,COMPLETE
state_30min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907,1.5132296085357666,20260907,0,outer,COMPLETE
state_5min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907,1.5132296085357666,20260907,0,outer,COMPLETE
state_history_120min,state,2.3767483234405518,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907,1.5233708620071411,20260907,0,outer,COMPLETE
state_history_1min,state,2.3734755516052246,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907,1.509584903717041,20260907,0,outer,COMPLETE
state_history_30min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907,1.5132296085357666,20260907,0,outer,COMPLETE
state_history_5min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907,1.5132296085357666,20260907,0,outer,COMPLETE
trait_120min,state,2.3767483234405518,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907,1.5233708620071411,20260907,0,outer,COMPLETE
trait_1min,state,2.3734755516052246,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907,1.509584903717041,20260907,0,outer,COMPLETE
trait_30min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907,1.5132296085357666,20260907,0,outer,COMPLETE
trait_5min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260907,1.5132296085357666,20260907,0,outer,COMPLETE
history_120min,state,2.3767483234405518,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260908,1.5233708620071411,20260908,0,outer,COMPLETE
history_1min,state,2.3734755516052246,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260908,1.509584903717041,20260908,0,outer,COMPLETE
history_30min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260908,1.5132296085357666,20260908,0,outer,COMPLETE
history_5min,state,2.376976490020752,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260908,1.5132296085357666,20260908,0,outer,COMPLETE
state_120min,state,2.3767483234405518,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260908,1.5233708620071411,20260908,0,outer,COMPLETE
state_1min,state,2.3734755516052246,120,P_marks,S-E,epilepsiae_1125__S-E__outer__P_marks__I-L-G1__state__persistent__seed20260908,1.509584903717041,20260908,0,outer,COMPLETE
