epoch,iso,gpu,util_pct,memory_used_mib,memory_total_mib,temp_c,power_w
1788719038,2026-09-07T02:23:58+08:00,0,95,1741,24576,58,184.87
1788719038,2026-09-07T02:23:58+08:00,1,95,1669,24576,64,190.34
1788719069,2026-09-07T02:24:29+08:00,0,87,1741,24576,58,188.21
1788719069,2026-09-07T02:24:29+08:00,1,74,1669,24576,63,189.45
1788719099,2026-09-07T02:24:59+08:00,0,98,1741,24576,58,188.23
1788719099,2026-09-07T02:24:59+08:00,1,77,1669,24576,63,190.63
1788719129,2026-09-07T02:25:29+08:00,0,98,1741,24576,58,186.62
1788719129,2026-09-07T02:25:29+08:00,1,95,1669,24576,63,189.56
1788719159,2026-09-07T02:25:59+08:00,0,56,1741,24576,58,187.41
1788719159,2026-09-07T02:25:59+08:00,1,83,1669,24576,63,191.33
1788719189,2026-09-07T02:26:29+08:00,0,98,1741,24576,58,187.01
1788719189,2026-09-07T02:26:29+08:00,1,97,1669,24576,63,190.03
1788719219,2026-09-07T02:26:59+08:00,0,97,1741,24576,58,188.06
1788719219,2026-09-07T02:26:59+08:00,1,97,1669,24576,63,190.54
1788719249,2026-09-07T02:27:29+08:00,0,98,1741,24576,58,187.84
1788719249,2026-09-07T02:27:29+08:00,1,96,1669,24576,63,190.89
1788719279,2026-09-07T02:27:59+08:00,0,97,1673,24576,58,187.97
1788719279,2026-09-07T02:27:59+08:00,1,97,1669,24576,63,189.67
1788719309,2026-09-07T02:28:29+08:00,0,61,1673,24576,58,186.56
1788719309,2026-09-07T02:28:29+08:00,1,97,1669,24576,63,188.22
1788719339,2026-09-07T02:28:59+08:00,0,98,1675,24576,58,187.25
1788719339,2026-09-07T02:28:59+08:00,1,74,1669,24576,63,190.46
1788719369,2026-09-07T02:29:29+08:00,0,98,1675,24576,58,187.99
1788719369,2026-09-07T02:29:29+08:00,1,73,1669,24576,63,190.80
1788719400,2026-09-07T02:30:00+08:00,0,81,1675,24576,58,188.01
1788719400,2026-09-07T02:30:00+08:00,1,96,1669,24576,63,190.35
1788719430,2026-09-07T02:30:30+08:00,0,97,1675,24576,58,188.45
1788719430,2026-09-07T02:30:30+08:00,1,95,1669,24576,63,189.18
1788719460,2026-09-07T02:31:00+08:00,0,97,1679,24576,59,188.67
1788719460,2026-09-07T02:31:00+08:00,1,95,1669,24576,63,190.00
1788719490,2026-09-07T02:31:30+08:00,0,98,1679,24576,59,188.33
1788719490,2026-09-07T02:31:30+08:00,1,96,1669,24576,64,191.11
1788719520,2026-09-07T02:32:00+08:00,0,97,1679,24576,59,189.03
1788719520,2026-09-07T02:32:00+08:00,1,96,1669,24576,64,190.93
1788719550,2026-09-07T02:32:30+08:00,0,99,1679,24576,59,188.64
1788719550,2026-09-07T02:32:30+08:00,1,61,1669,24576,64,190.97
1788719580,2026-09-07T02:33:00+08:00,0,98,1679,24576,59,187.99
1788719580,2026-09-07T02:33:00+08:00,1,63,1669,24576,64,189.72
1788719610,2026-09-07T02:33:30+08:00,0,98,1679,24576,59,188.47
1788719610,2026-09-07T02:33:30+08:00,1,87,1669,24576,64,190.42
1788719640,2026-09-07T02:34:00+08:00,0,97,1679,24576,59,188.52
1788719640,2026-09-07T02:34:00+08:00,1,97,1669,24576,64,190.65
1788719670,2026-09-07T02:34:30+08:00,0,58,1679,24576,59,187.56
1788719670,2026-09-07T02:34:30+08:00,1,96,1669,24576,64,191.37
1788719700,2026-09-07T02:35:00+08:00,0,60,1679,24576,59,187.30
1788719700,2026-09-07T02:35:00+08:00,1,96,1669,24576,64,191.45
1788719730,2026-09-07T02:35:30+08:00,0,98,1679,24576,59,188.34
1788719730,2026-09-07T02:35:30+08:00,1,96,1669,24576,64,190.44
1788719761,2026-09-07T02:36:01+08:00,0,97,1679,24576,59,188.78
1788719761,2026-09-07T02:36:01+08:00,1,96,1669,24576,64,192.82
1788719791,2026-09-07T02:36:31+08:00,0,96,1679,24576,59,185.59
1788719791,2026-09-07T02:36:31+08:00,1,77,1669,24576,64,190.57
1788719821,2026-09-07T02:37:01+08:00,0,97,1679,24576,59,189.43
