comparison,descriptive_hour_block_ci_high,descriptive_hour_block_ci_low,gain,horizon,n_hour_blocks,n_targets,protocol,seed,units,view
P_marks_state_over_P_stats_state,-3.4515938299372917,-8.342051672914051,-5.824532264709473,1,65,125,S-E,20260906,125.0,count
P_marks_state_over_marked_history,-3.6978641341584244,-9.409308461736195,-6.468699414253235,1,65,125,S-E,20260906,125.0,count
P_marks_state_over_fixed_marked_history,-3.7304473678072294,-9.42042499889567,-6.399284688949585,1,65,125,S-E,20260906,125.0,count
P_marks_state_over_constant_state,-3.3452545804994402,-9.253980376704284,-6.198057619094849,1,65,125,S-E,20260906,125.0,count
P_marks_state_over_P_stats_state,-2.3987979463915354,-4.727902385229755,-3.523149061948061,1,42,64,S-E,20260906,64.0,spatial
P_marks_state_over_marked_history,-4.272522351236056,-8.690669650398196,-6.263225570321083,1,42,64,S-E,20260906,64.0,spatial
P_marks_state_over_fixed_marked_history,-4.004472193699895,-8.234706385603829,-5.98703402839601,1,42,64,S-E,20260906,64.0,spatial
P_marks_state_over_constant_state,-3.7809651620509293,-7.996965370730807,-5.814312348142266,1,42,64,S-E,20260906,64.0,spatial
P_marks_state_over_P_stats_state,0.5775270035489735,-0.054192786035139225,0.2115861060101053,1,42,64,S-E,20260906,5750.0,morphology
P_marks_state_over_marked_history,-0.44780618322331,-0.77629053938829,-0.6072653058922809,1,42,64,S-E,20260906,5750.0,morphology
P_marks_state_over_fixed_marked_history,-0.4350000589966467,-0.753796846545493,-0.5939988963914954,1,42,64,S-E,20260906,5750.0,morphology
P_marks_state_over_constant_state,-0.4291323055692737,-0.7393677620594117,-0.5776043230139691,1,42,64,S-E,20260906,5750.0,morphology
P_marks_state_over_P_stats_state,-1.7260877999663355,-3.098424320789052,-2.3949728682637215,1,42,64,S-E,20260906,64.0,load
P_marks_state_over_marked_history,-2.9307604139158507,-4.999529970798175,-3.964118594303727,1,42,64,S-E,20260906,64.0,load
P_marks_state_over_fixed_marked_history,-3.02074654919561,-5.065561728996016,-4.027618771418929,1,42,64,S-E,20260906,64.0,load
P_marks_state_over_constant_state,-3.081712680357272,-5.1708366768254725,-4.13065179483965,1,42,64,S-E,20260906,64.0,load
P_marks_state_over_P_stats_state,-3.1561792600280767,-7.750184136508695,-5.406937343458975,5,64,124,S-E,20260906,124.0,count
P_marks_state_over_marked_history,-3.2161557013196607,-8.472583549601996,-5.837270939542401,5,64,124,S-E,20260906,124.0,count
P_marks_state_over_fixed_marked_history,-3.226253881876554,-8.656134091598371,-5.8907229746541665,5,64,124,S-E,20260906,124.0,count
P_marks_state_over_constant_state,-3.0821639851070786,-8.62150669726851,-5.749647305857751,5,64,124,S-E,20260906,124.0,count
P_marks_state_over_P_stats_state,-2.1756630947339857,-4.444105068203949,-3.265157112999568,5,41,63,S-E,20260906,63.0,spatial
P_marks_state_over_marked_history,-3.8652002165826604,-8.023195034228534,-5.883597175280253,5,41,63,S-E,20260906,63.0,spatial
P_marks_state_over_fixed_marked_history,-3.440151425465461,-7.763411161238123,-5.612624024587964,5,41,63,S-E,20260906,63.0,spatial
P_marks_state_over_constant_state,-3.4631477815795506,-7.581659549280571,-5.371968078234839,5,41,63,S-E,20260906,63.0,spatial
P_marks_state_over_P_stats_state,0.502210710154178,-0.07786632091171,0.18137173573923815,5,41,63,S-E,20260906,5633.0,morphology
P_marks_state_over_marked_history,-0.4205721233916821,-0.7474981088790912,-0.5751707138652047,5,41,63,S-E,20260906,5633.0,morphology
P_marks_state_over_fixed_marked_history,-0.40778434205685826,-0.7356388967814872,-0.5653160055598335,5,41,63,S-E,20260906,5633.0,morphology
P_marks_state_over_constant_state,-0.3933241022330447,-0.7049117058047322,-0.5489420895040639,5,41,63,S-E,20260906,5633.0,morphology
P_marks_state_over_P_stats_state,-1.6840258788317461,-3.0515757050116856,-2.3407261031014577,5,41,63,S-E,20260906,63.0,load
P_marks_state_over_marked_history,-2.7824372922853846,-4.801439841044619,-3.7860783031062475,5,41,63,S-E,20260906,63.0,load
P_marks_state_over_fixed_marked_history,-2.863176293826066,-4.9168783140792085,-3.8778345310498796,5,41,63,S-E,20260906,63.0,load
P_marks_state_over_constant_state,-2.9090082557405563,-5.064078144130277,-3.9925810037151215,5,41,63,S-E,20260906,63.0,load
P_marks_state_over_P_stats_state,-3.187191956447877,-7.856493668733659,-5.441938136651264,30,63,123,S-E,20260906,123.0,count
P_marks_state_over_marked_history,-3.4281835767845314,-8.63877177685189,-5.877605481845577,30,63,123,S-E,20260906,123.0,count
P_marks_state_over_fixed_marked_history,-3.3092279674376,-8.77672961765177,-5.933125255553703,30,63,123,S-E,20260906,123.0,count
P_marks_state_over_constant_state,-3.049328565857051,-8.72966541095126,-5.79088559964808,30,63,123,S-E,20260906,123.0,count
P_marks_state_over_P_stats_state,-2.134556891711154,-4.421450062445526,-3.2557556591336687,30,41,63,S-E,20260906,63.0,spatial
P_marks_state_over_marked_history,-3.8947739729685575,-8.074965127884877,-5.872921533054775,30,41,63,S-E,20260906,63.0,spatial
P_marks_state_over_fixed_marked_history,-3.7007190896041937,-7.8792379460055315,-5.601846713868398,30,41,63,S-E,20260906,63.0,spatial
P_marks_state_over_constant_state,-3.2883261514018227,-7.451854925695807,-5.35980232745882,30,41,63,S-E,20260906,63.0,spatial
P_marks_state_over_P_stats_state,0.5409611487864078,-0.08067274514274143,0.181408945629107,30,41,63,S-E,20260906,5633.0,morphology
P_marks_state_over_marked_history,-0.420520703542484,-0.7426403788364733,-0.5737347424231349,30,41,63,S-E,20260906,5633.0,morphology
P_marks_state_over_fixed_marked_history,-0.4091832070389642,-0.7238498966124916,-0.5640426795224027,30,41,63,S-E,20260906,5633.0,morphology
P_marks_state_over_constant_state,-0.39103280365722654,-0.7061841252455873,-0.5476941979420284,30,41,63,S-E,20260906,5633.0,morphology
P_marks_state_over_P_stats_state,-1.6586301493113675,-3.0382528996394846,-2.3348142116788835,30,41,63,S-E,20260906,63.0,load
