arm,final_norm,initial_norm,inputs,n_parameters,name,protocol,relative_update,seed,shape,stage,subject,task_id,update_norm
state,9.163772583007812,9.164644241333008,P_stats,24,dynamics.log_tau,S-E,0.0031936043817936974,20260906,[24],inner0,epilepsiae_1125,t001,0.02926824800670147
state,0.1656298190355301,0.16264203190803528,P_stats,276,dynamics.omega,S-E,0.2665755939546605,20260906,[276],inner0,epilepsiae_1125,t001,0.04335639625787735
state,11.277942657470703,11.280317306518555,P_stats,24,dynamics.log_sigma,S-E,0.0014033837207385357,20260906,[24],inner0,epilepsiae_1125,t001,0.015830613672733307
state,8.467157363891602,8.418420791625977,P_stats,8448,slow.gru.weight_ih,S-E,0.0814542783715256,20260906,"[192, 44]",inner0,epilepsiae_1125,t001,0.6857163906097412
state,13.958669662475586,13.856406211853027,P_stats,12288,slow.gru.weight_hh,S-E,0.11248644567481526,20260906,"[192, 64]",inner0,epilepsiae_1125,t001,1.5586578845977783
state,0.20993204414844513,0.0,P_stats,192,slow.gru.bias_ih,S-E,,20260906,[192],inner0,epilepsiae_1125,t001,0.20993204414844513
state,0.2085896134376526,0.0,P_stats,192,slow.gru.bias_hh,S-E,,20260906,[192],inner0,epilepsiae_1125,t001,0.2085896134376526
state,0.8974547982215881,0.05085747316479683,P_stats,2688,slow.a_head.weight,S-E,17.641208592267667,20260906,"[24, 112]",inner0,epilepsiae_1125,t001,0.8971872925758362
state,0.08770764619112015,0.0,P_stats,24,slow.a_head.bias,S-E,,20260906,[24],inner0,epilepsiae_1125,t001,0.08770764619112015
state,0.26715531945228577,0.0,P_stats,2688,slow.eta_head.weight,S-E,,20260906,"[24, 112]",inner0,epilepsiae_1125,t001,0.26715531945228577
state,0.01368093490600586,0.0,P_stats,24,slow.eta_head.bias,S-E,,20260906,[24],inner0,epilepsiae_1125,t001,0.01368093490600586
state,0.5755201578140259,0.5566483736038208,P_stats,1,readout.log_nb_dispersion,S-E,0.03390252285841861,20260906,[1],inner0,epilepsiae_1125,t001,0.018871784210205078
state,4.741482257843018,4.5689377784729,P_stats,1664,readout.net.0.weight,S-E,0.14843455902711788,20260906,"[64, 26]",inner0,epilepsiae_1125,t001,0.6781882643699646
state,0.9453724026679993,1.011674165725708,P_stats,64,readout.net.0.bias,S-E,0.09704872440328435,20260906,[64],inner0,epilepsiae_1125,t001,0.09818168729543686
state,0.9270221590995789,0.03945896029472351,P_stats,1600,readout.net.2.weight,S-E,23.43933451307115,20260906,"[25, 64]",inner0,epilepsiae_1125,t001,0.9248917698860168
state,0.12972870469093323,0.0,P_stats,25,readout.net.2.bias,S-E,,20260906,[25],inner0,epilepsiae_1125,t001,0.12972870469093323
state,9.165787696838379,9.164644241333008,P_stats,24,dynamics.log_tau,S-E,0.001964537675747199,20260906,[24],inner1,epilepsiae_1125,t002,0.018004288896918297
state,0.16309748589992523,0.16264203190803528,P_stats,276,dynamics.omega,S-E,0.1658661920111204,20260906,[276],inner1,epilepsiae_1125,t002,0.02697681449353695
state,11.277503967285156,11.280317306518555,P_stats,24,dynamics.log_sigma,S-E,0.0008872955956365555,20260906,[24],inner1,epilepsiae_1125,t002,0.010008975863456726
state,8.436173439025879,8.418420791625977,P_stats,8448,slow.gru.weight_ih,S-E,0.05206242649269532,20260906,"[192, 44]",inner1,epilepsiae_1125,t002,0.43828341364860535
state,13.910337448120117,13.856406211853027,P_stats,12288,slow.gru.weight_hh,S-E,0.07697003577894483,20260906,"[192, 64]",inner1,epilepsiae_1125,t002,1.066528081893921
state,0.13315531611442566,0.0,P_stats,192,slow.gru.bias_ih,S-E,,20260906,[192],inner1,epilepsiae_1125,t002,0.13315531611442566
state,0.13311471045017242,0.0,P_stats,192,slow.gru.bias_hh,S-E,,20260906,[192],inner1,epilepsiae_1125,t002,0.13311471045017242
state,0.5723898410797119,0.05085747316479683,P_stats,2688,slow.a_head.weight,S-E,11.174774825191626,20260906,"[24, 112]",inner1,epilepsiae_1125,t002,0.5683208107948303
state,0.05316856503486633,0.0,P_stats,24,slow.a_head.bias,S-E,,20260906,[24],inner1,epilepsiae_1125,t002,0.05316856503486633
state,0.18731969594955444,0.0,P_stats,2688,slow.eta_head.weight,S-E,,20260906,"[24, 112]",inner1,epilepsiae_1125,t002,0.18731969594955444
state,0.0161433182656765,0.0,P_stats,24,slow.eta_head.bias,S-E,,20260906,[24],inner1,epilepsiae_1125,t002,0.0161433182656765
state,0.0639362707734108,0.050944045186042786,P_stats,1,readout.log_nb_dispersion,S-E,0.2550293275675625,20260906,[1],inner1,epilepsiae_1125,t002,0.012992225587368011
state,4.629076957702637,4.5689377784729,P_stats,1664,readout.net.0.weight,S-E,0.0890563768732603,20260906,"[64, 26]",inner1,epilepsiae_1125,t002,0.4068930447101593
state,0.9557830095291138,1.011674165725708,P_stats,64,readout.net.0.bias,S-E,0.08270402047336617,20260906,[64],inner1,epilepsiae_1125,t002,0.0836695209145546
state,0.44411158561706543,0.03945896029472351,P_stats,1600,readout.net.2.weight,S-E,11.175330035807535,20260906,"[25, 64]",inner1,epilepsiae_1125,t002,0.4409669041633606
state,0.046419672667980194,0.0,P_stats,25,readout.net.2.bias,S-E,,20260906,[25],inner1,epilepsiae_1125,t002,0.046419672667980194
state,9.173192024230957,9.164644241333008,P_stats,24,dynamics.log_tau,S-E,0.0015643858261260401,20260906,[24],outer,epilepsiae_1125,t004,0.014337039552628994
state,0.16725367307662964,0.16264203190803528,P_stats,276,dynamics.omega,S-E,0.18034790533373182,20260906,[276],outer,epilepsiae_1125,t004,0.029332149773836136
state,11.284663200378418,11.280317306518555,P_stats,24,dynamics.log_sigma,S-E,0.0017358951663049625,20260906,[24],outer,epilepsiae_1125,t004,0.019581448286771774
state,8.450043678283691,8.418420791625977,P_stats,8448,slow.gru.weight_ih,S-E,0.06711114253489778,20260906,"[192, 44]",outer,epilepsiae_1125,t004,0.5649698376655579
state,13.89592170715332,13.856406211853027,P_stats,12288,slow.gru.weight_hh,S-E,0.08370050025826775,20260906,"[192, 64]",outer,epilepsiae_1125,t004,1.1597881317138672
state,0.14494922757148743,0.0,P_stats,192,slow.gru.bias_ih,S-E,,20260906,[192],outer,epilepsiae_1125,t004,0.14494922757148743
state,0.14526766538619995,0.0,P_stats,192,slow.gru.bias_hh,S-E,,20260906,[192],outer,epilepsiae_1125,t004,0.14526766538619995
state,0.5130756497383118,0.05085747316479683,P_stats,2688,slow.a_head.weight,S-E,10.017278558541348,20260906,"[24, 112]",outer,epilepsiae_1125,t004,0.5094534754753113
state,0.05172402784228325,0.0,P_stats,24,slow.a_head.bias,S-E,,20260906,[24],outer,epilepsiae_1125,t004,0.05172402784228325
state,0.20308080315589905,0.0,P_stats,2688,slow.eta_head.weight,S-E,,20260906,"[24, 112]",outer,epilepsiae_1125,t004,0.20308080315589905
state,0.013580306433141232,0.0,P_stats,24,slow.eta_head.bias,S-E,,20260906,[24],outer,epilepsiae_1125,t004,0.013580306433141232
state,0.021410049870610237,0.010960765182971954,P_stats,1,readout.log_nb_dispersion,S-E,0.9533353295326242,20260906,[1],outer,epilepsiae_1125,t004,0.010449284687638283
state,4.631587028503418,4.5689377784729,P_stats,1664,readout.net.0.weight,S-E,0.10968925114673644,20260906,"[64, 26]",outer,epilepsiae_1125,t004,0.5011633634567261
state,0.9119488596916199,1.011674165725708,P_stats,64,readout.net.0.bias,S-E,0.12213736331587745,20260906,[64],outer,epilepsiae_1125,t004,0.12356321513652802
state,0.6080455780029297,0.03945896029472351,P_stats,1600,readout.net.2.weight,S-E,15.387234209677626,20260906,"[25, 64]",outer,epilepsiae_1125,t004,0.6071642637252808
state,0.08455149829387665,0.0,P_stats,25,readout.net.2.bias,S-E,,20260906,[25],outer,epilepsiae_1125,t004,0.08455149829387665
state,9.172900199890137,9.164644241333008,P_stats,24,dynamics.log_tau,S-E,0.001957953228679687,20260907,[24],outer,epilepsiae_1125,t006,0.01794394478201866
state,0.16236063838005066,0.15810316801071167,P_stats,276,dynamics.omega,S-E,0.20962236162367187,20260907,[276],outer,epilepsiae_1125,t006,0.033141959458589554
state,11.283608436584473,11.280317306518555,P_stats,24,dynamics.log_sigma,S-E,0.0015716250532622268,20260907,[24],outer,epilepsiae_1125,t006,0.017728429287672043
state,8.538202285766602,8.500246047973633,P_stats,8448,slow.gru.weight_ih,S-E,0.06702761306491507,20260907,"[192, 44]",outer,epilepsiae_1125,t006,0.5697512030601501
state,13.89378547668457,13.856406211853027,P_stats,12288,slow.gru.weight_hh,S-E,0.09399339068563635,20260907,"[192, 64]",outer,epilepsiae_1125,t006,1.30241060256958
state,0.17047734558582306,0.0,P_stats,192,slow.gru.bias_ih,S-E,,20260907,[192],outer,epilepsiae_1125,t006,0.17047734558582306
state,0.16997072100639343,0.0,P_stats,192,slow.gru.bias_hh,S-E,,20260907,[192],outer,epilepsiae_1125,t006,0.16997072100639343
