actual_microbatch,arm,effective_batch,family,initial_lr,inner_best,inner_initial,inner_last,inputs,last_lr,last_parameter_hash,packets_sha256,peak_allocated_gib,peak_reserved_gib,plateau_drops,protocol,seconds,seed,selected_parameter_hash,selected_updates,source_digest,split_id,stage,status,stop_reason,subject,target_table_digest,task_id,total_parameters,training_interpretation_recorded,transform_id,updates
32,state,32,I-L-G1,"[0.0003, 0.001, 0.001]",3.147895998301453,3.2886040874717146,3.358988618909032,P_stats,"[2.6999999999999996e-05, 8.999999999999999e-05, 8.999999999999999e-05]",574a0df96c8d700549fc746c89936d53dc89bdb41e8fe0a9295cf2cace363a2e,038d680278fd0240fae601ce61cb9bb29531b81381133f6b46e625ba61572913,0.19440221786499023,0.263671875,2,S-E,1778.6420404911041,20260906,6a9e9b00773ad2d3aa1535b0771a42c36dcace3b346330a51a1f61218ef1e02a,150,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,969bf8d0ef740e9283de7d4a2f410676b9447ae221abe16885227b3e978d05f9,inner0,COMPLETE,plateau,epilepsiae_1125,e20e743decaef5911801a0128171a0365abaec16255b38c7ec0a8113cdfcb553,t001,30222,budget != convergence; state origin must not qualify as learned state,6f13f91cd7381ff747c3131f398730c8b7cb1414050b37cdba5d42b4dbc0b126,1150
32,state,32,I-L-G1,"[0.0003, 0.001, 0.001]",2.9694886885181955,3.110869385458246,3.0608519957847333,P_stats,"[2.6999999999999996e-05, 8.999999999999999e-05, 8.999999999999999e-05]",a19a9b7c7c6946065dc4ee78d3000c1c084d687f8f9210758c9ae2106f3f8e3c,038d680278fd0240fae601ce61cb9bb29531b81381133f6b46e625ba61572913,0.1944112777709961,0.263671875,2,S-E,1644.4144263267517,20260906,f4a29588f0a6a08d88b3ff3346a58d5fcf9bfa5b7feffaea96cf273887ec45c3,50,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,27f164c28a3211a37090ce3421a64ad12dc850026699e3e0bbabc3d8fef4f814,inner1,COMPLETE,plateau,epilepsiae_1125,0e4cacee8c0e16ad881d891c8f7f0e00327e7a9faf36690f657f4fd75ae58d0f,t002,30222,budget != convergence; state origin must not qualify as learned state,d4a769cbaee63cf81d6e0916684c2fd951d9c7885e514bc04159f2c9acff3201,1050
32,state,32,I-L-G1,"[0.0003, 0.001, 0.001]",,,,P_stats,"[0.0003, 0.001, 0.001]",7b593764013b2cf72f118c57c5dd01584bd8ec854682524c49a6e98dd98bb20b,038d680278fd0240fae601ce61cb9bb29531b81381133f6b46e625ba61572913,0.19449377059936523,0.259765625,0,S-E,222.1967215538025,20260906,7b593764013b2cf72f118c57c5dd01584bd8ec854682524c49a6e98dd98bb20b,100,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,737d269177536b6dc8cee07d7b03a93f405fa564790b0562e5fcb19873ea43eb,outer,COMPLETE,fixed_inner_recipe,epilepsiae_1125,71d6975dc9a01d5b18f7c137061905e747bb2e16353618b33ff4f5bfd04064fd,t004,30222,budget != convergence; state origin must not qualify as learned state,8fd08d0df2e4745ca5d118925f82ce2ce8e8013dea920db6f06ace9da2fa29c5,100
32,state,32,I-L-G1,"[0.0003, 0.001, 0.001]",,,,P_stats,"[0.0003, 0.001, 0.001]",ca47eab138a727319f0693f81712fc30b8ead7355fd213946a97094e04e0c4f6,038d680278fd0240fae601ce61cb9bb29531b81381133f6b46e625ba61572913,0.19449377059936523,0.259765625,0,S-E,224.96383500099182,20260907,ca47eab138a727319f0693f81712fc30b8ead7355fd213946a97094e04e0c4f6,100,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,737d269177536b6dc8cee07d7b03a93f405fa564790b0562e5fcb19873ea43eb,outer,COMPLETE,fixed_inner_recipe,epilepsiae_1125,71d6975dc9a01d5b18f7c137061905e747bb2e16353618b33ff4f5bfd04064fd,t006,30222,budget != convergence; state origin must not qualify as learned state,8fd08d0df2e4745ca5d118925f82ce2ce8e8013dea920db6f06ace9da2fa29c5,100
32,state,32,I-L-G1,"[0.0003, 0.001, 0.001]",,,,P_stats,"[0.0003, 0.001, 0.001]",1e930cae2fbf30c3aa470c0c8971b5d7c7ad098a8a3d1256100f41eca8391a55,038d680278fd0240fae601ce61cb9bb29531b81381133f6b46e625ba61572913,0.19449377059936523,0.259765625,0,S-E,220.76915049552917,20260908,1e930cae2fbf30c3aa470c0c8971b5d7c7ad098a8a3d1256100f41eca8391a55,100,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,737d269177536b6dc8cee07d7b03a93f405fa564790b0562e5fcb19873ea43eb,outer,COMPLETE,fixed_inner_recipe,epilepsiae_1125,71d6975dc9a01d5b18f7c137061905e747bb2e16353618b33ff4f5bfd04064fd,t008,30222,budget != convergence; state origin must not qualify as learned state,8fd08d0df2e4745ca5d118925f82ce2ce8e8013dea920db6f06ace9da2fa29c5,100
32,state,32,I-L-G1,"[0.0003, 0.001, 0.001]",3.211456712633173,3.2886044701767343,4.17873075931908,P_marks,"[2.6999999999999996e-05, 8.999999999999999e-05, 8.999999999999999e-05]",b7204248500182a6c4ff0554043f1caaeeed46e7b037611b2f446336792c0f45,038d680278fd0240fae601ce61cb9bb29531b81381133f6b46e625ba61572913,0.1946415901184082,0.263671875,2,S-E,2491.35386800766,20260906,626843e1cae69cfd7fabecce2e0ee952ba32e906d6df9c9420a0e22174b2ead8,400,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,969bf8d0ef740e9283de7d4a2f410676b9447ae221abe16885227b3e978d05f9,inner0,COMPLETE,plateau,epilepsiae_1125,e20e743decaef5911801a0128171a0365abaec16255b38c7ec0a8113cdfcb553,t010,41974,budget != convergence; state origin must not qualify as learned state,6f13f91cd7381ff747c3131f398730c8b7cb1414050b37cdba5d42b4dbc0b126,1400
32,state,32,I-L-G1,"[0.0003, 0.001, 0.001]",2.958745308436705,3.110862945389247,3.0734104035943575,P_marks,"[2.6999999999999996e-05, 8.999999999999999e-05, 8.999999999999999e-05]",d92516a8b6c68494ee9abc5093bd13f1c24f626bded92e8b7917eb9b308ee4a1,038d680278fd0240fae601ce61cb9bb29531b81381133f6b46e625ba61572913,0.1946415901184082,0.263671875,2,S-E,1880.6345710754395,20260906,0f394d6e74a343659f444f6f6a9b894c439940152c30303f2493366371f189d0,50,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,27f164c28a3211a37090ce3421a64ad12dc850026699e3e0bbabc3d8fef4f814,inner1,COMPLETE,plateau,epilepsiae_1125,0e4cacee8c0e16ad881d891c8f7f0e00327e7a9faf36690f657f4fd75ae58d0f,t011,41974,budget != convergence; state origin must not qualify as learned state,d4a769cbaee63cf81d6e0916684c2fd951d9c7885e514bc04159f2c9acff3201,1050
32,state,32,I-L-G1,"[0.0003, 0.001, 0.001]",,,,P_marks,"[0.0003, 0.001, 0.001]",59268762b30f4bd12d321747a66942a56ed5a7f57dd582d494981208aa35f1fa,038d680278fd0240fae601ce61cb9bb29531b81381133f6b46e625ba61572913,0.19476842880249023,0.26171875,0,S-E,529.4068884849548,20260906,59268762b30f4bd12d321747a66942a56ed5a7f57dd582d494981208aa35f1fa,225,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,737d269177536b6dc8cee07d7b03a93f405fa564790b0562e5fcb19873ea43eb,outer,COMPLETE,fixed_inner_recipe,epilepsiae_1125,71d6975dc9a01d5b18f7c137061905e747bb2e16353618b33ff4f5bfd04064fd,t013,41974,budget != convergence; state origin must not qualify as learned state,8fd08d0df2e4745ca5d118925f82ce2ce8e8013dea920db6f06ace9da2fa29c5,225
32,state,32,I-L-G1,"[0.0003, 0.001, 0.001]",,,,P_marks,"[0.0003, 0.001, 0.001]",8ac9152b063d158336ca1be6fb8bb4e09b69ced115632b22f790e90b8de0ede1,038d680278fd0240fae601ce61cb9bb29531b81381133f6b46e625ba61572913,0.19476842880249023,0.26171875,0,S-E,492.4280917644501,20260907,8ac9152b063d158336ca1be6fb8bb4e09b69ced115632b22f790e90b8de0ede1,225,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,737d269177536b6dc8cee07d7b03a93f405fa564790b0562e5fcb19873ea43eb,outer,COMPLETE,fixed_inner_recipe,epilepsiae_1125,71d6975dc9a01d5b18f7c137061905e747bb2e16353618b33ff4f5bfd04064fd,t015,41974,budget != convergence; state origin must not qualify as learned state,8fd08d0df2e4745ca5d118925f82ce2ce8e8013dea920db6f06ace9da2fa29c5,225
32,state,32,I-L-G1,"[0.0003, 0.001, 0.001]",,,,P_marks,"[0.0003, 0.001, 0.001]",b78ba98e2752a629b7b2d8d301037f87ff5fbf7d3c2bccb1d2a8d3978e1678cc,038d680278fd0240fae601ce61cb9bb29531b81381133f6b46e625ba61572913,0.19476842880249023,0.26171875,0,S-E,484.1851360797882,20260908,b78ba98e2752a629b7b2d8d301037f87ff5fbf7d3c2bccb1d2a8d3978e1678cc,225,bdf901caf0ff7dbddbd028095cfbd6f7365b6bc148b6699b4e6921b303264137,737d269177536b6dc8cee07d7b03a93f405fa564790b0562e5fcb19873ea43eb,outer,COMPLETE,fixed_inner_recipe,epilepsiae_1125,71d6975dc9a01d5b18f7c137061905e747bb2e16353618b33ff4f5bfd04064fd,t017,41974,budget != convergence; state origin must not qualify as learned state,8fd08d0df2e4745ca5d118925f82ce2ce8e8013dea920db6f06ace9da2fa29c5,225
