horizon_seconds,arm,endpoint,n_subjects,n_positive,median_gain,p_sign,n_dropped_not_estimable,n_dropped_missing,seed_spread_median
300.0,B+S(P_local_seed1),count,25,21,0.02971129108646342,0.0009105205535888672,2,0,
300.0,B+S(P_local_seed1),participation,27,10,-0.0006323459549784083,0.24778856337070465,0,0,
300.0,B+S(P_local_seed1),continuous,27,9,-0.0006377457015687149,0.12207812070846558,0,0,
300.0,B+S(P_local_seed1),continuous:size,27,13,-0.00027450918534688284,1.0,0,0,
300.0,B+S(P_local_seed1),continuous:span,27,6,-0.001108961467757963,0.005924612283706665,0,0,
300.0,B+S(P_local_seed1),continuous:band_energy,26,9,-0.0012457020094308602,0.16863754391670227,1,0,
300.0,B+S(P_local_seed1),continuous:band_peak,27,12,-0.00018099286027362105,0.7011080384254456,0,0,
300.0,B+S(P_local_seed1),continuous:embedding,27,10,-0.0010016178847311874,0.24778856337070465,0,0,
300.0,B+S(P_local_seed2),count,24,21,0.03753173131035714,0.0002771615982055664,3,0,
300.0,B+S(P_local_seed2),participation,27,10,-0.001798127573138908,0.24778856337070465,0,0,
300.0,B+S(P_local_seed2),continuous,27,8,-0.0013335171520629796,0.052238985896110535,0,0,
300.0,B+S(P_local_seed2),continuous:size,27,12,-0.001225711352144332,0.7011080384254456,0,0,
300.0,B+S(P_local_seed2),continuous:span,27,9,-0.0014124345465742483,0.12207812070846558,0,0,
300.0,B+S(P_local_seed2),continuous:band_energy,26,10,-0.001787064237350755,0.32693958282470703,1,0,
300.0,B+S(P_local_seed2),continuous:band_peak,27,11,-0.00040981761843705833,0.44206833839416504,0,0,
300.0,B+S(P_local_seed2),continuous:embedding,27,9,-0.00250971596531957,0.12207812070846558,0,0,
300.0,B+S(P_local_seed3),count,25,18,0.02828373775415738,0.043285250663757324,2,0,
300.0,B+S(P_local_seed3),participation,27,9,-0.0012686224463781537,0.12207812070846558,0,0,
300.0,B+S(P_local_seed3),continuous,27,7,-0.002778464926112667,0.0191572904586792,0,0,
300.0,B+S(P_local_seed3),continuous:size,27,11,-0.0011172464427269269,0.44206833839416504,0,0,
300.0,B+S(P_local_seed3),continuous:span,27,7,-0.002910595396967919,0.0191572904586792,0,0,
300.0,B+S(P_local_seed3),continuous:band_energy,26,9,-0.001520748549329709,0.16863754391670227,1,0,
300.0,B+S(P_local_seed3),continuous:band_peak,27,9,-0.00021699561263810452,0.12207812070846558,0,0,
300.0,B+S(P_local_seed3),continuous:embedding,27,8,-0.0016598696615373054,0.052238985896110535,0,0,
300.0,B+S(P_memoryless_seed1),count,25,22,0.029387043277442793,0.00015652179718017578,2,0,
300.0,B+S(P_memoryless_seed1),participation,27,15,9.608559809948236e-05,0.7011080384254456,0,0,
300.0,B+S(P_memoryless_seed1),continuous,27,9,-0.00020045562380310855,0.12207812070846558,0,0,
300.0,B+S(P_memoryless_seed1),continuous:size,27,9,-0.00024600519906869955,0.12207812070846558,0,0,
300.0,B+S(P_memoryless_seed1),continuous:span,27,13,-1.428493925437202e-05,1.0,0,0,
300.0,B+S(P_memoryless_seed1),continuous:band_energy,26,8,-0.0003013326147601747,0.07551869750022888,1,0,
300.0,B+S(P_memoryless_seed1),continuous:band_peak,27,12,-1.6124642925774424e-05,0.7011080384254456,0,0,
300.0,B+S(P_memoryless_seed1),continuous:embedding,27,12,-5.588124647060155e-05,0.7011080384254456,0,0,
300.0,B+S(P_slow_seed1),count,23,15,0.023770668078256563,0.21003961563110352,4,0,
300.0,B+S(P_slow_seed1),participation,27,9,-0.001157350967629367,0.12207812070846558,0,0,
300.0,B+S(P_slow_seed1),continuous,27,6,-0.0026989073118330875,0.005924612283706665,0,0,
300.0,B+S(P_slow_seed1),continuous:size,27,16,0.00032194261954332504,0.44206833839416504,0,0,
300.0,B+S(P_slow_seed1),continuous:span,26,8,-0.002632682857254265,0.07551869750022888,1,0,
300.0,B+S(P_slow_seed1),continuous:band_energy,26,7,-0.005045976970319721,0.028959274291992188,1,0,
300.0,B+S(P_slow_seed1),continuous:band_peak,27,9,-0.0007987649944549702,0.12207812070846558,0,0,
300.0,B+S(P_slow_seed1),continuous:embedding,27,4,-0.003847673051254663,0.000310748815536499,0,0,
300.0,B+S(P_slow_seed2),count,24,15,0.011882815869189933,0.30745625495910645,3,0,
300.0,B+S(P_slow_seed2),participation,26,9,-0.001707583929359463,0.16863754391670227,1,0,
300.0,B+S(P_slow_seed2),continuous,26,4,-0.003488461430732226,0.0005335211753845215,1,0,
300.0,B+S(P_slow_seed2),continuous:size,26,13,-2.2133804620461106e-05,1.0,1,0,
300.0,B+S(P_slow_seed2),continuous:span,26,6,-0.001455523447411844,0.009355306625366211,1,0,
300.0,B+S(P_slow_seed2),continuous:band_energy,25,3,-0.005723129057148002,0.00015652179718017578,2,0,
300.0,B+S(P_slow_seed2),continuous:band_peak,26,9,-0.00027538581428177,0.16863754391670227,1,0,
300.0,B+S(P_slow_seed2),continuous:embedding,26,3,-0.003935655466503651,8.797645568847656e-05,1,0,
300.0,B+S(P_slow_seed3),count,24,17,0.03128871877697459,0.06391465663909912,3,0,
300.0,B+S(P_slow_seed3),participation,26,9,-0.0011482088263626844,0.16863754391670227,1,0,
300.0,B+S(P_slow_seed3),continuous,26,3,-0.002962677401612601,8.797645568847656e-05,1,0,
300.0,B+S(P_slow_seed3),continuous:size,26,9,-0.002050096547286606,0.16863754391670227,1,0,
300.0,B+S(P_slow_seed3),continuous:span,26,10,-0.0009637015765543433,0.32693958282470703,1,0,
300.0,B+S(P_slow_seed3),continuous:band_energy,25,6,-0.005916999603247319,0.01463329792022705,2,0,
300.0,B+S(P_slow_seed3),continuous:band_peak,26,12,-2.2884413361956568e-05,0.8450189828872681,1,0,
300.0,B+S(P_slow_seed3),continuous:embedding,26,5,-0.0022255493405310967,0.002493917942047119,1,0,
300.0,B+shift10(S(P_slow_seed1)),count,0,0,nan,nan,0,27,
300.0,B+shift10(S(P_slow_seed1)),participation,0,0,nan,nan,0,27,
300.0,B+shift10(S(P_slow_seed1)),continuous,0,0,nan,nan,0,27,
300.0,B+shift10(S(P_slow_seed1)),continuous:size,0,0,nan,nan,0,27,
300.0,B+shift10(S(P_slow_seed1)),continuous:span,0,0,nan,nan,0,27,
300.0,B+shift10(S(P_slow_seed1)),continuous:band_energy,0,0,nan,nan,0,27,
300.0,B+shift10(S(P_slow_seed1)),continuous:band_peak,0,0,nan,nan,0,27,
300.0,B+shift10(S(P_slow_seed1)),continuous:embedding,0,0,nan,nan,0,27,
