family,candidate,reference,topology,noise,layer,mode,n,reference_n,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,pair_order_probability_mae,SCL_minus_ICL_lag_median_ms,local_width_ms_median,recruitment_span_ms_median,B_minus_A_t10_ms_median,first_10pct_mass_core_share_median,peak_active_components_median,union_active_area_mm2_median,peak_active_area_mm2_median,native_spatial_rms_mm_median,peak_largest_component_fraction_median
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,2511,847401,primary,ALL,49,113,-0.464192068174369,0.04770914652920555,0.0,0.057524339916689704,-0.19518890980416181,-48.61534003349334,0.0,-42.0,68.91684652858748,0.20680702813390905,1.0,67.0,21.0,0.34516038432788676,-0.06001387430368643
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,2511,847401,primary,TA,59,21,-0.7086309523809523,0.06812770562770576,0.0,0.030973782094177088,-0.008339533524073378,-110.24431001781295,0.0,-70.0,-11.444068188391611,0.22786517518194976,1.0,-14.0,22.0,-0.3099751368001922,-0.05937002165907879
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,2511,847401,primary,TB,-10,92,-0.20996818663838812,0.0434782608695653,0.0,0.027991613303224527,0.024459740286529363,-1.515896485248959,0.0,-14.0,5.3402854716059664,0.19677585487686708,1.0,88.0,19.0,0.7132638118171721,-0.061102798518905876
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,2511,847401,all_detected,ALL,27,147,-0.47331691297208534,0.03782014373147402,0.0,0.05924204352872961,-0.23570537958955534,-49.17823979843888,0.0,-38.0,91.06790757310955,0.2002048368053847,1.0,75.0,21.0,0.5525343903287929,-0.05988720111501411
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,2511,847401,all_detected,TA,64,22,-0.7161733615221988,0.06505862002690732,0.0,0.03030597444962524,-0.011828093855813404,-109.54986618652015,0.0,-70.0,-11.116684980990613,0.22410744294195348,1.0,-16.5,19.5,-0.3112456946767086,-0.05937002165907879
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,2511,847401,all_detected,TB,-37,125,-0.21863636363636363,0.03345454545454529,0.0,0.020473479687105722,0.001494436415105993,-1.5431951675072924,0.0,-12.0,7.401356449619925,0.1937875335121918,1.0,89.0,19.0,0.781138572073437,-0.060064949612493757
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,2511,847402,primary,ALL,59,107,-0.4150433509739895,0.03823279524214096,0.009345794392523366,0.03922054115895843,-0.18120845792788892,-37.356732515310796,0.0,-50.0,41.97120867169724,0.20579078426175273,1.0,74.0,23.5,0.4335424717687051,-0.05937272432780638
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,2511,847402,primary,TA,45,12,-0.6842105263157895,0.08333333333333326,0.0,-0.003988623920860468,-0.16001132540256185,-109.90981112660074,0.0,-72.0,-7.893389490534901,0.21651712130700984,0.0,-17.5,23.0,-0.5711908064631865,-0.03307619797211292
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,2511,847402,primary,TB,14,95,-0.2816996619990343,0.032535885167463974,0.010526315789473717,0.02312325758802486,-0.009097977828179782,-2.3741331314379295,0.0,-22.0,10.454153353784932,0.20555433876644094,1.0,87.0,33.0,0.6874685832794158,-0.06360338573155988
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,2511,847402,all_detected,ALL,25,153,-0.40265844165381515,0.028520499108734443,0.006535947712418277,0.041311609914843256,-0.2105202279864915,-30.710063347542018,0.0,-36.0,54.933320033683685,0.1977155773663319,1.0,78.0,23.0,0.6273353862726534,-0.05999771009846577
