family,candidate,reference,mode,metric,metric_zh,paired_runs,topologies,positive,negative,zero,median_change,min_change,max_change,minimum_support
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,ALL,SCL_upper_participation,SCL9/8 参与概率,6,3,0,6,0,-0.4396177095741792,-0.586231383387072,-0.05777704340163026,11
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,ALL,ICL_contact_participation,ICL 平均参与概率,6,3,4,2,0,0.042970970885673254,-0.010067278031349769,0.062405665853941694,11
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,ALL,both_rods,两杆共同参与概率,6,3,3,0,3,0.004672897196261683,0.0,0.03703703703703709,11
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,ALL,participation_mae,通道参与概率误差,6,3,6,0,0,0.041371914721025124,0.0044163564258448695,0.0633575850516779,11
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,ALL,pair_order_probability_mae,成对顺序概率误差,6,3,0,6,0,-0.18819868386602537,-0.3776439906545597,-0.09085530364330185,11
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,ALL,SCL_minus_ICL_lag_median_ms,SCL−ICL 质心时差 (ms),6,3,0,6,0,-46.67244340914567,-53.37723185214054,-34.08812070008753,11
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,ALL,local_width_ms_median,接触点局部宽度 (ms),6,3,0,0,6,0.0,0.0,0.0,11
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,ALL,recruitment_span_ms_median,跨接触点 t10 跨度 (ms),6,3,0,6,0,-34.0,-50.0,-18.0,11
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,ALL,B_minus_A_t10_ms_median,右−左核 t10 (ms),6,3,6,0,0,68.45657844495872,18.16361610559761,97.01037703352449,11
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,ALL,first_10pct_mass_core_share_median,早期10%活动的核内份额,6,3,6,0,0,0.2062989061978309,0.14931118191573625,0.21774268333957905,11
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,ALL,peak_active_components_median,峰值并行连通域数,6,3,2,2,2,0.0,-1.0,1.0,11
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,ALL,n,本类合格事件数,6,3,6,0,0,54.0,11.0,76.0,11
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,ALL,union_active_area_mm2_median,窗口内活动并集面积 (mm²),6,3,5,1,0,53.5,-1.5,74.0,11
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,ALL,peak_active_area_mm2_median,峰值活动面积 (mm²),6,3,5,0,1,21.0,0.0,23.5,11
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,ALL,native_spatial_rms_mm_median,累计活动空间离散度 (mm),6,3,6,0,0,0.28249680557379087,0.006964501243952093,0.4335424717687051,11
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,ALL,peak_largest_component_fraction_median,峰值最大连通域活动份额,6,3,2,2,2,0.0,-0.06001387430368643,0.07154042270963246,11
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TA,SCL_upper_participation,SCL9/8 参与概率,6,3,1,5,0,-0.6964207393483709,-0.913235294117647,0.10624999999999996,8
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TA,ICL_contact_participation,ICL 平均参与概率,6,3,6,0,0,0.07573051948051951,0.020643840182865913,0.2488636363636364,8
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TA,both_rods,两杆共同参与概率,6,3,0,0,6,0.0,0.0,0.0,8
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TA,participation_mae,通道参与概率误差,6,3,3,3,0,0.01349257908665831,-0.21355502102938478,0.05783285058197085,8
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TA,pair_order_probability_mae,成对顺序概率误差,6,3,0,6,0,-0.15370042606792872,-0.1748837386343657,-0.008339533524073378,8
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TA,SCL_minus_ICL_lag_median_ms,SCL−ICL 质心时差 (ms),6,3,0,6,0,-112.7131331933947,-120.1052014842553,-109.90981112660074,8
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TA,local_width_ms_median,接触点局部宽度 (ms),6,3,0,0,6,0.0,0.0,0.0,8
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TA,recruitment_span_ms_median,跨接触点 t10 跨度 (ms),6,3,0,6,0,-72.0,-76.0,-70.0,8
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TA,B_minus_A_t10_ms_median,右−左核 t10 (ms),6,3,0,6,0,-5.55994996098616,-11.444068188391611,-4.732037020186908,8
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TA,first_10pct_mass_core_share_median,早期10%活动的核内份额,6,3,6,0,0,0.21310676514567378,0.1879090172372416,0.22786517518194976,8
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TA,peak_active_components_median,峰值并行连通域数,6,3,1,0,5,0.0,0.0,1.0,8
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TA,n,本类合格事件数,6,3,6,0,0,52.0,28.0,84.0,8
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TA,union_active_area_mm2_median,窗口内活动并集面积 (mm²),6,3,4,2,0,12.0,-17.5,23.0,8
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TA,peak_active_area_mm2_median,峰值活动面积 (mm²),6,3,6,0,0,20.75,7.0,23.0,8
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TA,native_spatial_rms_mm_median,累计活动空间离散度 (mm),6,3,0,6,0,-0.3737343640640107,-0.5711908064631865,-0.13857294220943928,8
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TA,peak_largest_component_fraction_median,峰值最大连通域活动份额,6,3,0,2,4,0.0,-0.05937002165907879,0.0,8
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TB,SCL_upper_participation,SCL9/8 参与概率,6,3,0,6,0,-0.23404253487763566,-0.29653659447348757,-0.013352149370386535,-26
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TB,ICL_contact_participation,ICL 平均参与概率,6,3,6,0,0,0.03800707301851464,0.018271776766922487,0.07131925313743481,-26
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TB,both_rods,两杆共同参与概率,6,3,3,0,3,0.0052631578947368585,0.0,0.04040404040404044,-26
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TB,participation_mae,通道参与概率误差,6,3,6,0,0,0.025557435445624693,0.004236453814663976,0.06719303954395217,-26
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TB,pair_order_probability_mae,成对顺序概率误差,6,3,2,4,0,-0.01005709103500077,-0.05398772331405821,0.024459740286529363,-26
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TB,SCL_minus_ICL_lag_median_ms,SCL−ICL 质心时差 (ms),6,3,0,6,0,-1.5893389388384094,-2.3741331314379295,-1.0904191268509749,-26
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TB,local_width_ms_median,接触点局部宽度 (ms),6,3,4,0,2,2.0,0.0,2.0,-26
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TB,recruitment_span_ms_median,跨接触点 t10 跨度 (ms),6,3,0,6,0,-14.0,-22.0,-6.0,-26
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TB,B_minus_A_t10_ms_median,右−左核 t10 (ms),6,3,6,0,0,5.263302856456903,2.9955955189368524,10.454153353784932,-26
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TB,first_10pct_mass_core_share_median,早期10%活动的核内份额,6,3,6,0,0,0.201165096821654,0.11855380423646233,0.22230208677354987,-26
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TB,peak_active_components_median,峰值并行连通域数,6,3,2,2,2,0.0,-1.0,1.0,-26
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TB,n,本类合格事件数,6,3,2,4,0,-5.5,-26.0,14.0,-26
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TB,union_active_area_mm2_median,窗口内活动并集面积 (mm²),6,3,4,2,0,80.25,-22.0,88.0,-26
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TB,peak_active_area_mm2_median,峰值活动面积 (mm²),6,3,6,0,0,21.0,1.5,33.0,-26
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TB,native_spatial_rms_mm_median,累计活动空间离散度 (mm),6,3,6,0,0,0.553649961348313,0.05687252011167576,0.7132638118171721,-26
circle_EI,curve_circle_out1_EI0.75,curve_circle_out1_EI1,TB,peak_largest_component_fraction_median,峰值最大连通域活动份额,6,3,2,2,2,0.0,-0.06360338573155988,0.07832286301920433,-26
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,ALL,SCL_upper_participation,SCL9/8 参与概率,1,1,0,1,0,-0.6225196504149947,-0.6225196504149947,-0.6225196504149947,48
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,ALL,ICL_contact_participation,ICL 平均参与概率,1,1,1,0,0,0.048270313757039385,0.048270313757039385,0.048270313757039385,48
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,ALL,both_rods,两杆共同参与概率,1,1,0,0,1,0.0,0.0,0.0,48
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,ALL,participation_mae,通道参与概率误差,1,1,1,0,0,0.07614765612454699,0.07614765612454699,0.07614765612454699,48
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,ALL,pair_order_probability_mae,成对顺序概率误差,1,1,0,1,0,-0.14615455100546454,-0.14615455100546454,-0.14615455100546454,48
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,ALL,SCL_minus_ICL_lag_median_ms,SCL−ICL 质心时差 (ms),1,1,0,1,0,-47.60196266967978,-47.60196266967978,-47.60196266967978,48
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,ALL,local_width_ms_median,接触点局部宽度 (ms),1,1,0,0,1,0.0,0.0,0.0,48
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,ALL,recruitment_span_ms_median,跨接触点 t10 跨度 (ms),1,1,0,1,0,-44.0,-44.0,-44.0,48
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,ALL,B_minus_A_t10_ms_median,右−左核 t10 (ms),1,1,1,0,0,71.27699333763303,71.27699333763303,71.27699333763303,48
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,ALL,first_10pct_mass_core_share_median,早期10%活动的核内份额,1,1,1,0,0,0.17995938972181574,0.17995938972181574,0.17995938972181574,48
