candidate,stage,topology,noise,comparison,description,physical_status,duration_ms,primary,TA,TB,n_all_detected,n_TA_all,n_TB_all,detection_rate_per_s,detection_interval_median_ms,detection_interval_min_ms,detection_interval_cv,detection_interval_below_250ms_fraction,qualifying_duration_median_ms,excluded_overlapping,excluded_prolonged,excluded_insufficient,coreAE_rate_hz,coreBE_rate_hz,surroundE_rate_hz,allI_rate_hz,L_search,L_off,L_off_A,L_off_B,L_D16,D_mask_off,rotation_time_fraction,rotation_tracks_per_minute,max_fixed_ring_turns
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,COMPLETE_NO_RUNAWAY,60000.0,165,57,108,169,61,108,2.888888888888889,318.0,224.0,0.2517956839720812,0.011904761904761904,88.0,4,0,0,14.469018441275692,15.313014029995163,11.32991733543186,24.896134615384614,6.429711813314575,8.179606961145915,8.242962091097223,0.06335512995130671,8.832956738768766,0.30477883099106473,0.0,0.0,0.7193345010414708
up3__circle__EE_core_to_out_scale_1.25__x_minus075,confirmation,2611,847301,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,COMPLETE_NO_RUNAWAY,60000.0,160,58,102,191,73,118,3.264957264957265,290.0,220.0,0.18824772009683136,0.08947368421052632,84.0,31,0,0,11.17121803207629,10.137711494854353,11.864112473433588,25.750493589743588,4.7624835091056354,5.696433438127611,5.7726379298079,0.07620449168028745,6.458478354930486,0.24933797034278582,0.0,0.0,0.723624352427262
up3__circle__EE_core_to_out_scale_1.25,response,2511,847101,up3__circle,圆核｜离核EE×1.25，同核EI×1,COMPLETE_NO_RUNAWAY,60000.0,146,71,75,185,97,88,3.1623931623931623,293.0,212.0,0.24608903501857843,0.10869565217391304,82.0,39,0,0,8.544183285849952,10.425277029050614,10.539010665148592,23.07449358974359,2.9977063545384164,3.376181650285128,3.4610281455397693,0.08484649525464139,4.15040591948373,0.17058065246057963,0.0018275862068965517,2.0689655172413794,0.6437902272369012
follow_ellipse4_out1_EI0.875,response,2511,847102,up3__ellipse4,椭圆4:1｜离核EE×1，同核EI×0.875,COMPLETE_NO_RUNAWAY,60000.0,151,38,113,175,38,137,2.9914529914529915,318.0,230.0,0.23599014172275048,0.07471264367816093,90.0,24,0,0,13.445370370370371,10.367314027691386,9.576066920686738,21.251226495726495,7.090664858181311,11.467863433221158,11.529992247746991,0.06212881452583391,12.054204120308714,0.1767178376471995,0.004172413793103448,5.172413793103448,0.7948615160564139
up3__circle__EE_core_to_out_scale_1.25__x_minus075,response,2511,847101,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,COMPLETE_NO_RUNAWAY,60000.0,140,68,72,192,109,83,3.282051282051282,296.0,216.0,0.1849683300409848,0.13612565445026178,84.0,52,0,0,8.23721980325754,11.34863040523418,11.282748688371967,24.632636752136754,2.870836478856572,3.130383728795702,3.2183866634095297,0.08800293461382774,3.900409406666695,0.1700634309969995,0.0,0.0,0.6482729130202671
up3__circle__EE_core_to_out_scale_1.25__y_minus10,response,2511,847101,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜y_minus10,COMPLETE_NO_RUNAWAY,60000.0,143,59,84,181,68,113,3.094017094017094,311.0,222.0,0.20119231472650512,0.08888888888888889,86.0,38,0,0,11.050600109110748,8.855645402815215,11.45079376286352,24.932113247863246,5.48519942806025,8.588900415143701,8.68222485704843,0.0933244419047278,9.422987614667207,0.1550980225788403,0.003103448275862069,3.103448275862069,0.8137119697991743
follow_ellipse4_out1.25_EI0.875,response,2511,847102,up3__ellipse4__EE_core_to_out_scale_1.25,椭圆4:1｜离核EE×1.25，同核EI×0.875,COMPLETE_NO_RUNAWAY,60000.0,160,30,130,171,30,141,2.923076923076923,315.0,238.0,0.2521549007007518,0.029411764705882353,90.0,11,0,0,15.879107312440647,13.314004653627295,12.632427134359155,27.212758547008548,9.340413683555107,13.877462748856075,13.924113061671362,0.04665031281528669,14.34396587700894,0.31282504376144626,0.0,0.0,0.713464819661146
follow_circle_out1.125_EI1,response,2511,847102,up3__circle,圆核｜离核EE×1.125，同核EI×1,COMPLETE_NO_RUNAWAY,60000.0,130,49,81,186,55,131,3.1794871794871793,306.0,200.0,0.20729954045906068,0.1891891891891892,88.0,56,0,0,9.475237416904084,7.692722371967656,9.842350262220588,21.658175213675214,4.906487018583496,7.41806008270377,7.522645336543366,0.10458525383959531,8.267815270150482,0.15597172443722596,0.004896551724137931,5.172413793103448,0.785995828522647
up3__circle__EE_core_to_out_scale_1.25__radius235,response,2511,847102,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜radius235,COMPLETE_NO_RUNAWAY,60000.0,136,15,121,169,15,154,2.888888888888889,305.0,228.0,0.3558408644556502,0.10119047619047619,90.0,33,0,0,12.091461802802009,5.546870320455225,10.204598805133921,22.250741452991452,11.073047700386866,18.493338637125266,18.535308105203427,0.041969468078163444,18.850079115789654,0.2378902884231956,0.0019310344827586207,2.0689655172413794,0.74730515619226
follow_ellipse4_out1.125_EI0.75,response,2511,847102,follow_ellipse4_out1.125_EI1,椭圆4:1｜离核EE×1.125，同核EI×0.75,COMPLETE_NO_RUNAWAY,60000.0,163,31,132,170,31,139,2.905982905982906,322.0,238.0,0.24610051840382344,0.023668639053254437,90.0,7,0,0,16.174453941120607,16.339323150643907,12.49771756975896,27.068801282051282,8.973960719992213,13.337432034235539,13.384479674450322,0.04704764021478286,13.81672986892364,0.30026380771387273,0.0,0.0,0.7269067983977319
