candidate,reference,axis,shape,EE_out,EI,noise,mode,n,reference_n,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,pair_order_probability_mae,SCL_minus_ICL_lag_median_ms,local_width_ms_median,recruitment_span_ms_median,B_minus_A_t10_ms_median,first_10pct_mass_core_share_median,peak_active_components_median,union_active_area_mm2_median,peak_active_area_mm2_median,native_spatial_rms_mm_median,peak_largest_component_fraction_median
up3__circle__EE_core_to_out_scale_1.25,up3__circle,EE_out,circle,1.25,1.0,847101,ALL,19.0,127,-0.3597778017473843,0.037315774507016064,0.0,0.053405262521659724,-0.2183683837635484,-44.09880106077253,0.0,-48.0,63.77970370370531,-0.0013197429921431164,1.0,61.0,19.5,0.22597837158206602,-0.0629008063056633
up3__circle__EE_core_to_out_scale_1.25,up3__circle,EE_out,circle,1.25,1.0,847101,TA,49.0,22,-0.5937900128040974,0.05243859853334876,0.0,0.05541935890683908,-0.09339829652117632,-107.75282564870031,0.0,-78.0,-0.9479850494167295,-0.0015530525788833988,1.0,-30.0,16.0,-0.48908365541443466,-0.05861217156972831
up3__circle__EE_core_to_out_scale_1.25,up3__circle,EE_out,circle,1.25,1.0,847101,TB,-30.0,105,-0.12571428571428567,0.03463203463203468,0.0,0.015947802891027735,0.018454504587418097,-1.3634317903979536,0.0,-10.0,-5.346956763012713,0.004101003414818893,1.0,83.0,19.0,0.4979104488211501,-0.06521739130434778
follow_ellipse4_out1_EI0.875,up3__ellipse4,EI,ellipse4,1.0,0.875,847102,ALL,39.0,112,-0.1977885525070957,0.015422077922077948,0.0,0.014490077231588017,-0.06709113496020958,-0.7677316985236757,0.0,-12.0,6.966845643108172,0.12759107837727143,0.0,27.0,5.0,0.3883162251984027,0.0
follow_ellipse4_out1_EI0.875,follow_circle_out1_EI0.875,shape,ellipse4,1.0,0.875,847102,ALL,5.0,146,0.21500498956726832,0.001245330012453305,0.0,-0.04539296622214162,0.061790086656685284,0.9225937926530605,0.0,1.0,-47.37838396676216,-0.008700972659084344,-1.0,-19.0,-7.0,0.024921597718148725,0.01407498006128649
follow_ellipse4_out1_EI0.875,up3__ellipse4,EI,ellipse4,1.0,0.875,847102,TA,18.0,20,-0.6815789473684211,0.018181818181818077,0.0,0.08326517014145701,-0.09933217473772077,-111.43831776394904,0.0,-67.0,-8.6597591162772,0.11546163606409406,0.0,-30.5,15.5,-0.6214862384667326,-0.01923105766175537
follow_ellipse4_out1_EI0.875,follow_circle_out1_EI0.875,shape,ellipse4,1.0,0.875,847102,TA,-19.0,57,0.05701754385964912,0.0031897926634769647,0.0,-0.031578947368420984,-0.08432004336220378,-2.3985044520020438,0.0,6.0,0.4121497939577239,-0.039222314899066496,0.0,9.5,5.0,0.14073662345854743,-0.04038396241884645
follow_ellipse4_out1_EI0.875,up3__ellipse4,EI,ellipse4,1.0,0.875,847102,TB,21.0,92,-0.020873412851096562,0.014822134387351693,0.0,0.011068359625497015,0.0022160708614394897,-0.4296667365633766,0.0,-10.0,8.986817825620165,0.1305356024634372,0.0,22.0,3.0,0.3727742694081586,0.0
follow_ellipse4_out1_EI0.875,follow_circle_out1_EI0.875,shape,ellipse4,1.0,0.875,847102,TB,24.0,89,0.1326439296012727,0.0,0.0,0.017645256004940435,0.012129456623571733,-0.06595140899298713,0.0,0.0,-1.8538455063462607,-0.010706956527741646,0.0,-4.0,-5.0,-0.03817713672581036,0.0
follow_ellipse4_out1.25_EI0.875,follow_ellipse4_out1_EI0.875,EE_out,ellipse4,1.25,0.875,847102,ALL,9.0,151,0.2781456953642385,0.0,0.0,0.016282256992946526,-0.03469859805645764,-1.3258412494160439,2.0,-2.0,2.1645685278872406,0.00875198394982829,1.0,73.0,16.0,0.44420616687370806,-0.01997209447498971
follow_ellipse4_out1.25_EI0.875,up3__ellipse4__EE_core_to_out_scale_1.25,EI,ellipse4,1.25,0.875,847102,ALL,11.0,149,0.09395973154362414,0.0024405125076264467,0.0,0.016107382550335586,0.006764849697012354,-1.0716945467702317,2.0,-6.0,4.060698256538672,0.10765714203524081,0.0,16.0,4.0,0.2462493388953222,0.03960961758726711
follow_ellipse4_out1.25_EI0.875,follow_circle_out1.25_EI0.875,shape,ellipse4,1.25,0.875,847102,ALL,-2.0,162,0.0185185185185186,0.0033670033670034627,0.0,0.005349794238683148,0.22232986059866086,40.55346331940018,2.0,22.0,-59.94510014649859,-0.011824373635324542,0.0,5.0,-3.5,0.1456407827542856,0.00541684020836164
follow_ellipse4_out1.25_EI0.875,follow_ellipse4_out1_EI0.875,EE_out,ellipse4,1.25,0.875,847102,TA,-8.0,38,0.881578947368421,0.0,0.0,-0.09085600442427763,-0.03838367271963644,-0.47303944091913763,0.0,2.0,-4.884009057431285,0.04207130342073809,0.0,35.0,8.5,0.23478829983564875,0.05008829541255744
follow_ellipse4_out1.25_EI0.875,up3__ellipse4__EE_core_to_out_scale_1.25,EI,ellipse4,1.25,0.875,847102,TA,-3.0,33,0.28787878787878785,0.0027548209366391463,0.0,0.007070630344462481,0.00023385971781603176,3.0378568048654415,0.0,0.0,-1.546046479560573,0.03525397308462161,0.0,10.5,2.5,0.07496270122702686,0.01424868442428362
follow_ellipse4_out1.25_EI0.875,follow_circle_out1.25_EI0.875,shape,ellipse4,1.25,0.875,847102,TA,-39.0,69,0.03623188405797095,0.006587615283267456,0.0,0.010628019323671495,-0.001486328950412008,1.0020961937443644,0.0,2.0,-1.675689815790065,-0.019339646119406084,0.0,7.5,2.5,0.08886091282501596,0.015079402502332084
follow_ellipse4_out1.25_EI0.875,follow_ellipse4_out1_EI0.875,EE_out,ellipse4,1.25,0.875,847102,TB,17.0,113,0.0752212389380531,0.0,0.0,0.01356932153392329,-0.02027600791619044,-1.2906276409466955,2.0,-2.0,2.4831876808966626,0.0018873438351787453,1.0,79.0,17.0,0.49496559726947,-0.01934054432632637
