candidate,stage,topology,noise,comparison,description,layer,mode,n,SCL_any,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,rank_correlation,rank_shared_contacts,lag_joint_n,SCL_minus_ICL_lag_median_ms,SCL_minus_ICL_lag_q05_ms,SCL_minus_ICL_lag_q95_ms,mean_contacts_per_event,pair_order_probability_mae,pair_order_supported_pairs,local_width_ms_n,local_width_ms_mean,local_width_ms_median,local_width_ms_variance,local_width_ms_q05,local_width_ms_q95,recruitment_span_ms_n,recruitment_span_ms_mean,recruitment_span_ms_median,recruitment_span_ms_variance,recruitment_span_ms_q05,recruitment_span_ms_q95,B_minus_A_t10_ms_n,B_minus_A_t10_ms_mean,B_minus_A_t10_ms_median,B_minus_A_t10_ms_variance,B_minus_A_t10_ms_q05,B_minus_A_t10_ms_q95,B_minus_A_t50_ms_n,B_minus_A_t50_ms_mean,B_minus_A_t50_ms_median,B_minus_A_t50_ms_variance,B_minus_A_t50_ms_q05,B_minus_A_t50_ms_q95,first_10pct_mass_core_share_n,first_10pct_mass_core_share_mean,first_10pct_mass_core_share_median,first_10pct_mass_core_share_variance,first_10pct_mass_core_share_q05,first_10pct_mass_core_share_q95,peak_active_components_n,peak_active_components_mean,peak_active_components_median,peak_active_components_variance,peak_active_components_q05,peak_active_components_q95,peak_largest_component_fraction_n,peak_largest_component_fraction_mean,peak_largest_component_fraction_median,peak_largest_component_fraction_variance,peak_largest_component_fraction_q05,peak_largest_component_fraction_q95,union_active_area_mm2_n,union_active_area_mm2_mean,union_active_area_mm2_median,union_active_area_mm2_variance,union_active_area_mm2_q05,union_active_area_mm2_q95,peak_active_area_mm2_n,peak_active_area_mm2_mean,peak_active_area_mm2_median,peak_active_area_mm2_variance,peak_active_area_mm2_q05,peak_active_area_mm2_q95,native_spatial_rms_mm_n,native_spatial_rms_mm_mean,native_spatial_rms_mm_median,native_spatial_rms_mm_variance,native_spatial_rms_mm_q05,native_spatial_rms_mm_q95
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,primary,ALL,165,1.0,0.9939393939393939,0.9988980716253444,1.0,0.1840793366134793,-0.9214285714285713,15,165,33.37775198041345,-36.84874391648045,35.86491507759056,14.975757575757576,0.3215210897970871,105,165,16.618181818181817,16.0,0.8594235033259423,16.0,18.0,165,65.32121212121213,68.0,123.43887657058389,42.0,76.0,165,-12.451463091060486,-51.29850469025405,3234.9436218733126,-63.531793265606396,64.93555645827873,165,-12.979635216144692,-52.553734990135126,3187.8006954704347,-63.46823093359999,63.96249131779477,165,0.27455649351292666,0.2743611953226505,0.0006669861319996732,0.23772969763339538,0.31092863238691776,165,2.0242424242424244,2.0,0.3042867701404286,1.0,3.0,165,0.9373387922260218,0.950702548225768,0.008556236168116401,0.8927493979899174,1.0,165,375.6424242424242,375.0,135.7189209164819,347.6,392.4,165,107.78787878787878,101.0,257.48521803399854,90.2,139.59999999999997,165,7.751002424941509,7.75297754238134,0.014575107093016102,7.575504389624465,8.000046139252813
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,primary,TA,57,1.0,0.9824561403508771,0.996810207336523,1.0,0.15783334776998195,0.782142857142857,15,57,-29.74105552228866,-41.25643331651581,-21.626117793151934,14.929824561403509,0.23925941457046201,105,57,16.17543859649123,16.0,0.3258145363408521,16.0,18.0,57,57.6140350877193,60.0,74.20551378446115,41.2,68.0,57,60.49259423237766,62.80578088578113,46.51774918142967,48.16149209723226,65.53352626974575,57,59.470724697252365,61.42248742248921,44.10978736195759,47.617740392304405,64.41246567737953,57,0.2503045372468378,0.24961141726720362,0.00013512191192558237,0.23344112862763017,0.2663010452490366,57,1.9824561403508771,2.0,0.017543859649122806,2.0,2.0,57,0.9560338015731396,0.9581755904092302,0.0006067970541973307,0.9013594004715525,0.9924722924783129,57,380.12280701754383,382.0,61.96679197994987,364.2,387.0,57,112.21052631578948,110.0,95.91917293233082,100.0,132.39999999999998,57,7.714346011139926,7.716464285200541,0.008735174157746713,7.58234652934267,7.889119454483322
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,primary,TB,108,1.0,1.0,1.0,1.0,0.23190512238203384,0.5249999999999999,15,108,34.86839836437366,-16.94024690556639,35.90479479217656,15.0,0.34877084125009244,105,108,16.85185185185185,16.0,0.987192800276912,16.0,18.0,108,69.38888888888889,74.0,102.01557632398753,42.0,76.0,108,-50.949715567319515,-62.240508849555226,603.454847465344,-63.5890022814112,13.832316350239994,108,-51.217325170437576,-62.27185893507158,590.878411741959,-63.52657093428297,12.976703476222161,108,0.28735613709780683,0.28503375158487404,0.00047289900156240704,0.2615573865511833,0.3262960597221907,108,2.0462962962962963,2.0,0.4557805469020422,1.0,3.0,108,0.9274719817372651,0.9431808942680389,0.012512207267984158,0.5577166678140322,1.0,108,373.27777777777777,374.0,159.24922118380064,344.35,394.65,108,105.45370370370371,98.0,328.5305469020422,88.7,142.64999999999998,108,7.77034886555901,7.767594416673413,0.016674154892508966,7.573889968407017,8.036415963962996
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,all_detected,ALL,169,1.0,0.9940828402366864,0.9989241527703066,1.0,0.18411758895942396,-0.9178571428571428,15,169,32.67488703003619,-36.71925116643688,35.86251137478958,14.976331360946746,0.30956058149967136,105,169,16.60355029585799,16.0,0.8478444632290787,16.0,18.0,169,65.19526627218934,68.0,121.49140602986756,42.0,76.0,169,-10.661060619111721,-50.41865582871105,3290.9650976328785,-63.52912990807672,65.00641813894762,169,-11.204237354182432,-52.02279202279169,3242.7422751318727,-63.46791652409884,64.03506187036037,169,0.2741648837459399,0.2739400444682972,0.0006585763097595968,0.23777048066703665,0.3106927791021443,169,2.0236686390532546,2.0,0.2970555085939702,1.0,3.0,169,0.9376969212434803,0.950702548225768,0.008375705774746339,0.8943394965636546,1.0,169,375.7100591715976,375.0,134.27852916314455,348.2,391.79999999999995,169,107.76923076923077,102.0,251.77380952380952,90.4,139.2,169,7.749693503293433,7.7499240518327595,0.014437278375694241,7.575944739882682,7.997628138331233
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,all_detected,TA,61,1.0,0.9836065573770492,0.9970193740685545,1.0,0.15814012564362784,0.782142857142857,15,61,-29.572594483586727,-41.21410414935235,-21.645229403526173,14.934426229508198,0.2386120408668822,105,61,16.16393442622951,16.0,0.3060109289617485,16.0,18.0,61,57.77049180327869,60.0,70.54644808743173,42.0,68.0,61,60.66967273181354,62.80578088578113,43.950091440702835,50.07805836139596,65.49854263565885,61,59.63860664836767,61.42248742248921,41.70656008918338,49.56179192014679,64.39491708723926,61,0.25080987781148706,0.2507591861524446,0.00013291337698462634,0.23487249132337407,0.26626961069145844,61,1.9836065573770492,2.0,0.016393442622950824,2.0,2.0,61,0.9558000928282543,0.9581755904092302,0.0006171640747027374,0.901921802518224,0.992200045882083,61,380.0163934426229,382.0,62.48306010928962,365.0,387.0,61,111.8688524590164,110.0,92.34918032786885,100.0,132.0,61,7.713123353708478,7.716464285200541,0.00856117860637926,7.584167151836776,7.887259831408781
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,all_detected,TB,108,1.0,1.0,1.0,1.0,0.23190512238203384,0.5249999999999999,15,108,34.86839836437366,-16.94024690556639,35.90479479217656,15.0,0.34877084125009244,105,108,16.85185185185185,16.0,0.987192800276912,16.0,18.0,108,69.38888888888889,74.0,102.01557632398753,42.0,76.0,108,-50.949715567319515,-62.240508849555226,603.454847465344,-63.5890022814112,13.832316350239994,108,-51.217325170437576,-62.27185893507158,590.878411741959,-63.52657093428297,12.976703476222161,108,0.28735613709780683,0.28503375158487404,0.00047289900156240704,0.2615573865511833,0.3262960597221907,108,2.0462962962962963,2.0,0.4557805469020422,1.0,3.0,108,0.9274719817372651,0.9431808942680389,0.012512207267984158,0.5577166678140322,1.0,108,373.27777777777777,374.0,159.24922118380064,344.35,394.65,108,105.45370370370371,98.0,328.5305469020422,88.7,142.64999999999998,108,7.77034886555901,7.767594416673413,0.016674154892508966,7.573889968407017,8.036415963962996
up3__circle__EE_core_to_out_scale_1.25__x_minus075,confirmation,2611,847301,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,primary,ALL,160,1.0,0.721875,0.9971590909090909,1.0,0.18572057831731587,-0.7357142857142855,15,160,7.0655548319000445,-21.56421642600453,36.73816227226653,14.39375,0.3248127859819111,105,160,16.325,16.0,0.5352201257861635,16.0,18.0,160,63.775,60.0,432.4018867924528,31.9,94.0,160,-2.576506980190821,-10.466715474067769,3226.077455350658,-69.13690229885124,68.41965306950532,160,-1.5684249903508403,-6.7710833583350905,3009.0730945334885,-66.00734685019616,66.1975898100497,160,0.14030742761251855,0.12974081320815317,0.002333095666945544,0.07885610807703364,0.2214256938216462,160,1.60625,2.0,0.32826257861635216,1.0,2.0,160,0.9607395878815552,0.9870344831223983,0.005610841424123901,0.9034957876338257,1.0,160,366.175,364.0,399.1012578616352,327.0,392.0,160,103.00625,103.0,255.20121855345914,81.95,130.04999999999998,160,7.5641738262536276,7.53215505843419,0.028765647192843906,7.347625858071068,7.864329201909522
up3__circle__EE_core_to_out_scale_1.25__x_minus075,confirmation,2611,847301,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,primary,TA,58,1.0,0.5344827586206896,0.9968652037617555,1.0,0.19331115680291264,0.7,15,58,-18.9724026118638,-23.525334510970424,-11.504877282626467,14.017241379310345,0.2142425613105788,105,58,16.0,16.0,0.03508771929824561,16.0,16.0,58,48.48275862068966,50.0,129.72776769509983,30.0,54.0,58,63.31560736855098,65.49841364525673,75.44388679699674,43.93386671109174,69.93654708067842,58,61.64328023044544,64.41319458089129,65.51238676494764,43.95811404552724,66.6600354455311,58,0.1463271152793063,0.14174944523824964,0.0016427523988595911,0.08703258496908642,0.20466931013717138,58,1.5862068965517242,2.0,0.24682395644283125,1.0,2.0,58,0.9647587686276528,0.9626905838890146,0.0011868343556164411,0.9118014164528566,1.0,58,379.6034482758621,384.0,118.03297035692681,360.85,391.15,58,103.82758620689656,103.0,65.79431336963097,88.85,117.89999999999999,58,7.603254732932857,7.613937065121241,0.01776016750235956,7.397387141629694,7.83402101916898
up3__circle__EE_core_to_out_scale_1.25__x_minus075,confirmation,2611,847301,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,primary,TB,102,1.0,0.8284313725490196,0.9973262032085561,1.0,0.2072080469836181,0.557142857142857,15,102,35.191397031230736,-11.318735995091991,36.94567941307596,14.607843137254902,0.3163149826090561,105,102,16.50980392156863,16.0,0.7276257037468455,16.0,18.0,102,72.47058823529412,78.0,396.84566103669187,34.1,97.79999999999995,102,-40.044572002024395,-63.54487672396499,1125.0496027541158,-70.07590942028938,21.859865953658996,102,-37.512335802176175,-55.43874085684365,1100.7551765353599,-66.33078018935885,24.28844335333824,102,0.13688446795885495,0.12474738433335973,0.002713153471560134,0.07854774360448405,0.24144901301566343,102,1.6176470588235294,2.0,0.37711124053581846,1.0,2.0,102,0.9584541713788723,0.9910484250570208,0.008148559879652077,0.8526715267133516,1.0,102,358.53921568627453,358.0,399.2410211609396,326.0,391.95,102,102.53921568627452,95.0,364.0132983886624,81.0,132.0,102,7.541951349906614,7.50667287678267,0.03388566764494894,7.300178248474406,7.905450233402841
up3__circle__EE_core_to_out_scale_1.25__x_minus075,confirmation,2611,847301,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,all_detected,ALL,191,1.0,0.7172774869109948,0.9957163255592575,1.0,0.18561368477455845,-0.5964285714285712,15,191,3.3407226061390247,-21.712430800636866,36.69893716525803,14.3717277486911,0.3133067273565237,105,191,16.32460732984293,16.0,0.5361807660512536,16.0,18.0,191,63.225130890052355,60.0,419.6490493248829,31.0,94.0,191,-0.9590076202485078,-3.2867612293143793,3285.6530194105985,-69.06200757575789,68.18232280750271,191,-0.08889322190941049,2.6003599114064855,3089.510621094761,-66.05938969706335,66.00952431381302,191,0.14458585183741446,0.13913255360623783,0.0024511571560589538,0.07890915866861015,0.22213727166209532,191,1.6020942408376964,2.0,0.3250482226508681,1.0,2.0,191,0.9612794854565514,0.9891591750396616,0.005627132511400181,0.9039243372701606,1.0,191,365.83769633507853,364.0,407.6524662441443,327.0,391.5,191,102.61780104712042,102.0,247.68999724441994,82.0,129.5,191,7.5577258562829295,7.542882647035971,0.029588009843979825,7.345745363814149,7.8608925519849
