candidate,comparison,stage,topology,noise,layer,mode,description,n_condition,n_reference,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,pair_order_probability_mae,SCL_minus_ICL_lag_median_ms,local_width_ms_median,recruitment_span_ms_median,B_minus_A_t10_ms_median,first_10pct_mass_core_share_median,peak_active_components_median,n,union_active_area_mm2_median,peak_active_area_mm2_median,native_spatial_rms_mm_median,peak_largest_component_fraction_median
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847101,primary,ALL,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,165,156,0.048426573426573416,0.0023945751218478195,0.0,0.008212898212898195,-0.09473901747706842,-1.5740038014864695,0.0,-4.0,7.857406046543474,-0.007042925395865929,0.0,9,2.0,1.0,0.004229254680049976,0.017946323078200987
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847101,primary,TA,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,57,39,0.136302294197031,0.008465218991534629,0.0,0.016272682836738217,0.004559920242420495,-7.939042373349366,0.0,8.0,3.068416864253777,0.020948229792293938,0.0,18,10.0,4.0,0.06728652209292552,0.03360309099484737
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847101,primary,TB,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,108,117,0.021367521367521403,0.0007770007770008247,0.0,0.003418803418803462,-0.024745074374093234,-0.34144058119773035,0.0,0.0,-2.4551687760258574,0.00048394602100926276,0.0,-9,1.0,0.0,0.001904061113389588,0.005702073529306184
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847101,all_detected,ALL,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,169,166,0.045287659513794765,0.0022100235260568146,0.0,0.007659038520947681,-0.12120110633456893,-2.2919911757981026,0.0,-4.0,9.020383282955663,-0.007464076250219276,0.0,3,2.0,3.0,-0.0012563999170973617,0.017181462709138118
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847101,all_detected,TA,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,61,39,0.13745271122320302,0.008674385723566047,0.0,0.016579460710384103,0.003912546538840683,-7.7705813346474315,0.0,8.0,3.068416864253777,0.022095998677534895,0.0,22,10.0,4.0,0.06728652209292552,0.03360309099484737
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847101,all_detected,TB,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,108,127,0.019685039370078705,0.0007158196134574579,0.0,0.0031496062992125706,-0.02741647145055387,-0.34144058119773035,0.0,0.0,-2.379375638066449,0.00048394602100926276,0.0,-19,1.0,1.0,0.0013617417043381153,0.005517320630161193
up3__circle__EE_core_to_out_scale_1.25__x_minus075,up3__circle__EE_core_to_out_scale_1.25,confirmation,2611,847301,primary,ALL,圆核｜离核EE×1.25，同核EI×1｜x_minus075,160,155,-0.11683467741935472,0.02179252199413495,0.0,0.044099462365591424,-0.07229316075569037,-27.385150220579817,0.0,-18.0,18.212207602860417,0.013349946979069327,0.0,5,0.0,10.0,-0.08210933216622163,0.02463021299011703
up3__circle__EE_core_to_out_scale_1.25__x_minus075,up3__circle__EE_core_to_out_scale_1.25,confirmation,2611,847301,primary,TA,圆核｜离核EE×1.25，同核EI×1｜x_minus075,58,48,-0.17385057471264365,0.06315308254963425,0.0,0.029946595888028893,-0.03929304571222622,2.6658347009033605,0.0,0.0,2.092281437917336,0.02964011339324138,0.0,10,-3.0,3.0,-0.14392652648324233,0.034454104551789766
up3__circle__EE_core_to_out_scale_1.25__x_minus075,up3__circle__EE_core_to_out_scale_1.25,confirmation,2611,847301,primary,TB,圆核｜离核EE×1.25，同核EI×1｜x_minus075,102,107,-0.06876488913322343,0.0032735269128891797,0.0,-0.003513274775362729,-0.0313315616495779,-0.29209022489885683,0.0,-2.0,-2.0621494512379286,0.007854119760770259,0.0,-5,-1.0,4.0,-0.03230497077302541,0.020606298877189788
up3__circle__EE_core_to_out_scale_1.25__x_minus075,up3__circle__EE_core_to_out_scale_1.25,confirmation,2611,847301,all_detected,ALL,圆核｜离核EE×1.25，同核EI×1｜x_minus075,191,185,-0.1259657563322485,0.02274335258628446,0.0,0.04587260834152446,-0.08315518058372251,-31.251768129697666,0.0,-18.0,33.689996302969575,0.022741687377153985,0.0,6,2.0,10.0,-0.0650118058731266,0.02214388944030521
up3__circle__EE_core_to_out_scale_1.25__x_minus075,up3__circle__EE_core_to_out_scale_1.25,confirmation,2611,847301,all_detected,TA,圆核｜离核EE×1.25，同核EI×1｜x_minus075,73,60,-0.17260273972602735,0.06525529265255303,0.0,0.018925515685761063,-0.04230566313594844,2.2863157239080465,0.0,0.0,2.2856087715285867,0.035198276271704076,0.0,13,-4.0,4.0,-0.1511634699074964,0.034951027372958965
up3__circle__EE_core_to_out_scale_1.25__x_minus075,up3__circle__EE_core_to_out_scale_1.25,confirmation,2611,847301,all_detected,TB,圆核｜离核EE×1.25，同核EI×1｜x_minus075,118,125,-0.07725423728813552,0.002779661016949042,0.0,-0.0067254237288135454,-0.039875061739229334,-0.31665888508359785,0.0,-2.0,-2.0174204408140213,0.01151880485235618,0.0,-7,0.0,4.0,-0.025671467964521355,0.01881939586221748
up3__circle__EE_core_to_out_scale_1.25,up3__circle,response,2511,847101,primary,ALL,圆核｜离核EE×1.25，同核EI×1,146,127,-0.3597778017473843,0.037315774507016064,0.0,0.053405262521659724,-0.2183683837635484,-44.09880106077253,0.0,-48.0,63.77970370370531,-0.0013197429921431164,1.0,19,61.0,19.5,0.22597837158206602,-0.0629008063056633
up3__circle__EE_core_to_out_scale_1.25,up3__circle,response,2511,847101,primary,TA,圆核｜离核EE×1.25，同核EI×1,71,22,-0.5937900128040974,0.05243859853334876,0.0,0.05541935890683908,-0.09339829652117632,-107.75282564870031,0.0,-78.0,-0.9479850494167295,-0.0015530525788833988,1.0,49,-30.0,16.0,-0.48908365541443466,-0.05861217156972831
up3__circle__EE_core_to_out_scale_1.25,up3__circle,response,2511,847101,primary,TB,圆核｜离核EE×1.25，同核EI×1,75,105,-0.12571428571428567,0.03463203463203468,0.0,0.015947802891027735,0.018454504587418097,-1.3634317903979536,0.0,-10.0,-5.346956763012713,0.004101003414818893,1.0,-30,83.0,19.0,0.4979104488211501,-0.06521739130434778
up3__circle__EE_core_to_out_scale_1.25,up3__circle,response,2511,847101,all_detected,ALL,圆核｜离核EE×1.25，同核EI×1,185,156,-0.3826576576576576,0.029902979902980076,0.0,0.054369223898814156,-0.2746874322484239,-43.96505669164253,0.0,-40.0,108.15365123013908,-0.004140080291052964,1.0,29,74.0,19.0,0.41884526455698623,-0.06325459317585302
up3__circle__EE_core_to_out_scale_1.25,up3__circle,response,2511,847101,all_detected,TA,圆核｜离核EE×1.25，同核EI×1,97,22,-0.5967666354264293,0.0518445940189145,0.0,0.052621817645525454,-0.09685682827269762,-107.98064776903084,0.0,-78.0,-2.0022868392475175,0.0009566151419602292,1.0,75,-29.0,15.0,-0.4757207428394219,-0.058510638297872286
up3__circle__EE_core_to_out_scale_1.25,up3__circle,response,2511,847101,all_detected,TB,圆核｜离核EE×1.25，同核EI×1,88,134,-0.12177747625508817,0.027137042062415184,0.0,0.009233258728722382,0.007222701018056832,-0.9169574499483133,0.0,-8.0,2.489946043053351,0.0031481936940447736,1.0,-46,84.0,19.0,0.5325987008895297,-0.06598877973340889
follow_ellipse4_out1_EI0.875,up3__ellipse4,response,2511,847102,primary,ALL,椭圆4:1｜离核EE×1，同核EI×0.875,151,112,-0.1977885525070957,0.015422077922077948,0.0,0.014490077231588017,-0.06709113496020958,-0.7677316985236757,0.0,-12.0,6.966845643108172,0.12759107837727143,0.0,39,27.0,5.0,0.3883162251984027,0.0
follow_ellipse4_out1_EI0.875,up3__ellipse4,response,2511,847102,primary,TA,椭圆4:1｜离核EE×1，同核EI×0.875,38,20,-0.6815789473684211,0.018181818181818077,0.0,0.08326517014145701,-0.09933217473772077,-111.43831776394904,0.0,-67.0,-8.6597591162772,0.11546163606409406,0.0,18,-30.5,15.5,-0.6214862384667326,-0.01923105766175537
follow_ellipse4_out1_EI0.875,up3__ellipse4,response,2511,847102,primary,TB,椭圆4:1｜离核EE×1，同核EI×0.875,113,92,-0.020873412851096562,0.014822134387351693,0.0,0.011068359625497015,0.0022160708614394897,-0.4296667365633766,0.0,-10.0,8.986817825620165,0.1305356024634372,0.0,21,22.0,3.0,0.3727742694081586,0.0
follow_ellipse4_out1_EI0.875,up3__ellipse4,response,2511,847102,all_detected,ALL,椭圆4:1｜离核EE×1，同核EI×0.875,175,159,-0.18339622641509434,0.011435105774728282,0.0,0.0038136067016875663,-0.07248458901192834,-0.5629373738302093,0.0,-10.0,6.468904226337145,0.12435654503178256,0.0,16,25.0,5.0,0.39622715768535866,0.0
follow_ellipse4_out1_EI0.875,up3__ellipse4,response,2511,847102,all_detected,TA,椭圆4:1｜离核EE×1，同核EI×0.875,38,20,-0.6815789473684211,0.018181818181818077,0.0,0.08326517014145701,-0.09933217473772077,-111.43831776394904,0.0,-67.0,-8.6597591162772,0.11546163606409406,0.0,18,-30.5,15.5,-0.6214862384667326,-0.01923105766175537
follow_ellipse4_out1_EI0.875,up3__ellipse4,response,2511,847102,all_detected,TB,椭圆4:1｜离核EE×1，同核EI×0.875,137,139,-0.026072572598855315,0.01046435578809668,0.0,0.0060739729384375885,0.0003665516299822813,-0.32138911024230765,0.0,-8.0,6.866381396379438,0.12655122263189145,0.0,-2,22.0,4.0,0.3741730721159371,0.0
up3__circle__EE_core_to_out_scale_1.25__x_minus075,up3__circle__EE_core_to_out_scale_1.25,response,2511,847101,primary,ALL,圆核｜离核EE×1.25，同核EI×1｜x_minus075,140,146,0.1788160469667318,0.0006226650062266526,0.0,-0.015647226206396414,-0.057950028508699014,1.6811869796665633,0.0,0.0,-8.296506931010299,0.017013339503737568,0.0,-6,14.0,4.0,0.05060883575591202,-0.002446816932984097
up3__circle__EE_core_to_out_scale_1.25__x_minus075,up3__circle__EE_core_to_out_scale_1.25,response,2511,847101,primary,TA,圆核｜离核EE×1.25，同核EI×1｜x_minus075,68,71,0.31638359569179786,0.001280409731113985,0.0,-0.04309839226447659,-0.03728484794503539,4.0741098327143845,0.0,0.0,-0.5943043530553496,0.01497277294488672,0.0,-3,29.0,2.0,0.12749583209610194,-0.00673545166891909
