candidate,comparison,topology,noise,description,L_search,TA,TB,primary,rotation_time_fraction,rotation_tracks_per_minute,max_fixed_ring_turns,coreAE_rate_hz,coreBE_rate_hz,surroundE_rate_hz
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,up3__ellipse4__EI_same_core_scale_0.75,2511,847101,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,-1.0581953672235604,18,-9,9,0.0,0.0,-0.017202205008435945,-0.3373205900633405,0.3923330338424691,0.42152073497945963
up3__circle__EE_core_to_out_scale_1.25__x_minus075,up3__circle__EE_core_to_out_scale_1.25,2611,847301,圆核｜离核EE×1.25，同核EI×1｜x_minus075,-0.4007847812942078,10,-5,5,-0.0016206896551724137,-2.0689655172413794,0.018300206449765932,0.16407477062839249,0.44747514390371457,0.3931762587923071
up3__circle__EE_core_to_out_scale_1.25,up3__circle,2511,847101,圆核｜离核EE×1.25，同核EI×1,-4.56364202860908,49,-30,19,-0.012620689655172414,-15.517241379310343,-0.2719535933227243,0.19783950617283885,4.13615315502108,2.0521743121782414
follow_ellipse4_out1_EI0.875,up3__ellipse4,2511,847102,椭圆4:1｜离核EE×1，同核EI×0.875,-2.4684490501604586,18,21,39,-0.0015172413793103452,-3.1034482758620694,-0.013350720657993365,1.5173076923076945,5.397493491833114,1.5666371672003994
up3__circle__EE_core_to_out_scale_1.25__x_minus075,up3__circle__EE_core_to_out_scale_1.25,2511,847101,圆核｜离核EE×1.25，同核EI×1｜x_minus075,-0.1268698756818445,-3,-3,-6,-0.0018275862068965517,-2.0689655172413794,0.0044826857833659695,-0.3069634825924119,0.9233533761835666,0.7437380232233757
up3__circle__EE_core_to_out_scale_1.25__y_minus10,up3__circle__EE_core_to_out_scale_1.25,2511,847101,圆核｜离核EE×1.25，同核EI×1｜y_minus10,2.4874930735218337,-12,9,-3,0.0012758620689655171,1.0344827586206895,0.1699217425622731,2.506416823260796,-1.5696316262353989,0.9117830977149293
follow_ellipse4_out1.25_EI0.875,up3__ellipse4__EE_core_to_out_scale_1.25,2511,847102,椭圆4:1｜离核EE×1.25，同核EI×0.875,0.8938001378181166,-3,14,11,-0.0015517241379310344,-2.0689655172413794,0.15072082339747017,0.9480531813865163,6.361992305388532,1.5106855799108097
follow_circle_out1.125_EI1,up3__circle,2511,847102,圆核｜离核EE×1.125，同核EI×1,-2.837301972203816,27,-24,3,-0.007896551724137932,-9.310344827586206,-0.23621559353126698,0.27253086419753103,1.2352615937521598,1.0399104828340544
up3__circle__EE_core_to_out_scale_1.25__radius235,up3__circle__EE_core_to_out_scale_1.25,2511,847102,圆核｜离核EE×1.25，同核EI×1｜radius235,7.109884737865048,-38,44,6,0.00034482758620689663,0.0,0.03176160810013906,2.543978421985294,-3.999769622411133,-0.9204946051779057
follow_ellipse4_out1.125_EI0.75,follow_ellipse4_out1.125_EI1,2511,847102,椭圆4:1｜离核EE×1.125，同核EI×0.75,0.6317129659545984,3,23,26,-0.004793103448275862,-5.172413793103448,-0.06492026361266956,3.2491452991452974,10.416637869468058,3.0484692463865937
follow_ellipse4_out1.125_EI0.75,follow_ellipse4_out1.125_EI1,2511,847101,椭圆4:1｜离核EE×1.125，同核EI×0.75,2.0652490658307556,-3,26,23,-0.00296551724137931,-3.103448275862069,-0.1030190726900807,3.767568850902183,9.777524362430022,2.906988798599251
up3__ellipse4,up3__circle,2511,847102,椭圆4:1｜离核EE×1，同核EI×1,1.8153249175544577,-2,-13,-15,-0.007103448275862069,-6.206896551724137,-0.2139991853395068,2.7253561253561234,-1.487640242357224,-0.7930100259001946
