candidate,description,comparison,mode,observable,observable_zh,paired_runs,topologies,networks_noise_min_event_support,positive_pairs,negative_pairs,zero_pairs,mean_paired_change,median_paired_change,minimum_paired_change,maximum_paired_change,interpretation
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,up3__ellipse4__EI_same_core_scale_0.75,ALL,SCL_upper_participation,SCL9/8 参与概率,2,1,156,2,0,0,0.04809863703175804,0.04809863703175804,0.047770700636942665,0.048426573426573416,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,up3__ellipse4__EI_same_core_scale_0.75,ALL,ICL_contact_participation,ICL 平均参与概率,2,1,156,2,0,0,0.002685999730674793,0.002685999730674793,0.0023945751218478195,0.0029774243395017663,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,up3__ellipse4__EI_same_core_scale_0.75,ALL,both_rods,两杆共同参与概率,2,1,156,0,0,2,0.0,0.0,0.0,0.0,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,up3__ellipse4__EI_same_core_scale_0.75,ALL,participation_mae,通道参与概率误差,2,1,156,2,0,0,0.008382884740062574,0.008382884740062574,0.008212898212898195,0.008552871267226952,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,up3__ellipse4__EI_same_core_scale_0.75,ALL,pair_order_probability_mae,成对顺序概率误差,2,1,156,0,2,0,-0.0944210140902817,-0.0944210140902817,-0.09473901747706842,-0.09410301070349497,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,up3__ellipse4__EI_same_core_scale_0.75,ALL,SCL_minus_ICL_lag_median_ms,SCL−ICL 质心时差 (ms),2,1,156,0,2,0,-0.918940120723164,-0.918940120723164,-1.5740038014864695,-0.26387643995985854,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,up3__ellipse4__EI_same_core_scale_0.75,ALL,local_width_ms_median,接触点局部宽度 (ms),2,1,156,0,0,2,0.0,0.0,0.0,0.0,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,up3__ellipse4__EI_same_core_scale_0.75,ALL,recruitment_span_ms_median,跨接触点 t10 跨度 (ms),2,1,156,0,2,0,-3.0,-3.0,-4.0,-2.0,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,up3__ellipse4__EI_same_core_scale_0.75,ALL,B_minus_A_t10_ms_median,右−左核 t10 (ms),2,1,156,1,1,0,3.0674900860994967,3.0674900860994967,-1.7224258743444807,7.857406046543474,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,up3__ellipse4__EI_same_core_scale_0.75,ALL,first_10pct_mass_core_share_median,早期10%活动的核内份额,2,1,156,1,1,0,-0.0032774506082480226,-0.0032774506082480226,-0.007042925395865929,0.0004880241793698836,descriptive paired effects; events not independent network replicates; direction consistency is not significance
