candidate,stage,topology,noise,comparison,description,physical_status,duration_ms,primary,TA,TB,n_all_detected,n_TA_all,n_TB_all,detection_rate_per_s,detection_interval_median_ms,detection_interval_min_ms,detection_interval_cv,detection_interval_below_250ms_fraction,qualifying_duration_median_ms,excluded_overlapping,excluded_prolonged,excluded_insufficient,coreAE_rate_hz,coreBE_rate_hz,surroundE_rate_hz,allI_rate_hz,L_search,L_off,L_off_A,L_off_B,L_D16,D_mask_off
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,COMPLETE_NO_RUNAWAY,60000.0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0.966025641025641,0.9666182873730044,4.478097345999631e-06,0.11285683760683761,,,,,,
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,COMPLETE_NO_RUNAWAY,60000.0,138,61,77,173,67,106,2.9572649572649574,314.0,206.0,0.30525748849535855,0.11046511627906977,82.0,35,0,0,8.872517472253271,7.978482733199714,8.689732184765134,19.269728632478632,4.647391727083623,7.17408617680832,7.2777326955821575,0.10364651877383779,8.06803740123267,0.1381130252060091
up3__ellipse4__core_ou_correlation_0.5,response,2511,847101,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜两核 OU 输入相关系数 0.5,COMPLETE_NO_RUNAWAY,60000.0,103,16,87,144,18,126,2.4615384615384617,334.0,212.0,0.5261299132694075,0.16083916083916083,88.0,41,0,0,10.2826685660019,4.7202524938374,7.298674539161801,16.16201709401709,8.920611000109927,15.65320763882745,15.753162943426688,0.09995530459923596,16.29666991218503,0.14249713331194747
up3__radius25_dose_matched,shape_range,2511,847102,up3__circle,左核上移3 mm｜半径 2.5 mm＋降阈值总量匹配,COMPLETE_NO_RUNAWAY,60000.0,87,2,85,153,2,151,2.6153846153846154,288.0,202.0,0.6767540046760758,0.2565789473684211,90.0,66,0,0,10.921092306595835,3.8566590642062337,7.27565318467369,16.376106837606837,13.111601207279895,23.040718625478448,23.094251769368775,0.05353314389032848,23.33180509538211,0.2072631810639678
up3__out_perp20,confirmation,2611,847201,up3__out_reference,左核上移3 mm｜左核输出横向范围 ×2,COMPLETE_NO_RUNAWAY,60000.0,126,30,96,172,32,140,2.9401709401709404,304.0,166.0,0.3617206894331253,0.14035087719298245,88.0,46,0,0,10.771223184468218,5.528519099947672,9.499915963722142,20.667972222222225,7.798164614548504,12.705457328241465,12.782954633921898,0.07749730568043427,13.315748610474884,0.18827159725854137
endpoint__circle,confirmation,2611,847201,endpoint__circle,端点原位｜圆形对照,COMPLETE_NO_RUNAWAY,60000.0,36,10,26,249,204,45,4.256410256410256,208.0,180.0,0.2576095800678618,0.8225806451612904,62.0,213,0,0,6.209182555336402,18.49465811965812,15.079626241079783,32.74288247863248,5.688635180041204,9.916829207983945,10.243718370160607,0.3268891621766623,10.652329822881434,0.09511303089089096
up3__ellipse4__EE_same_core_scale_1.0,response,2511,847102,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜同核 E→E 权重 × 1.0,COMPLETE_NO_RUNAWAY,60000.0,169,30,139,189,30,159,3.230769230769231,294.0,226.0,0.1847724331282752,0.06382978723404255,88.0,20,0,0,17.341096866096866,17.162830879812013,11.203730478994084,25.148401709401707,8.444403253366739,13.612823649811089,13.65900889905324,0.04618524924215302,14.10065534493133,0.21335242315020775
up3__circle,shape_range,2511,847101,up3__circle,左核上移3 mm｜圆形对照,COMPLETE_NO_RUNAWAY,60000.0,127,22,105,156,22,134,2.6666666666666665,344.0,212.0,0.3739212922923823,0.11612903225806452,88.0,29,0,0,8.346343779677113,6.289123874029534,8.48683635297035,18.710942307692306,7.561348383147497,13.200330095813648,13.302480617572161,0.10215052175851409,14.011149862271852,0.12519649987292614
up3__radius25,shape_range,2511,847102,up3__circle,左核上移3 mm｜左核半径 2.5 mm,COMPLETE_NO_RUNAWAY,60000.0,121,35,86,170,41,129,2.905982905982906,304.0,50.0,0.41394299914757127,0.1952662721893491,87.0,49,0,0,7.769269145792558,7.651899463220217,9.339420044359604,20.561450854700855,6.095093806330088,10.40641383795425,10.521785425223031,0.11537158726878181,11.278911466674412,0.11617046663755437
up3__ellipse4__II_same_core_scale_0.75,response,2511,847101,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜同核 I→I 权重 × 0.75,COMPLETE_NO_RUNAWAY,60000.0,92,20,72,136,20,116,2.324786324786325,356.0,200.0,0.509399732257546,0.1925925925925926,88.0,44,0,0,9.62542735042735,4.22187665583892,6.747626748347162,15.052136752136752,7.462385902152192,13.278252973523827,13.404632020610823,0.12637904708699463,14.004932494274046,0.10723156916623677
