candidate,stage,topology,noise,comparison,description,layer,mode,n,SCL_any,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,rank_correlation,rank_shared_contacts,lag_joint_n,SCL_minus_ICL_lag_median_ms,SCL_minus_ICL_lag_q05_ms,SCL_minus_ICL_lag_q95_ms,mean_contacts_per_event,pair_order_probability_mae,pair_order_supported_pairs,local_width_ms_n,local_width_ms_mean,local_width_ms_median,local_width_ms_variance,local_width_ms_q05,local_width_ms_q95,recruitment_span_ms_n,recruitment_span_ms_mean,recruitment_span_ms_median,recruitment_span_ms_variance,recruitment_span_ms_q05,recruitment_span_ms_q95,B_minus_A_t10_ms_n,B_minus_A_t10_ms_mean,B_minus_A_t10_ms_median,B_minus_A_t10_ms_variance,B_minus_A_t10_ms_q05,B_minus_A_t10_ms_q95,B_minus_A_t50_ms_n,B_minus_A_t50_ms_mean,B_minus_A_t50_ms_median,B_minus_A_t50_ms_variance,B_minus_A_t50_ms_q05,B_minus_A_t50_ms_q95,first_10pct_mass_core_share_n,first_10pct_mass_core_share_mean,first_10pct_mass_core_share_median,first_10pct_mass_core_share_variance,first_10pct_mass_core_share_q05,first_10pct_mass_core_share_q95,peak_active_components_n,peak_active_components_mean,peak_active_components_median,peak_active_components_variance,peak_active_components_q05,peak_active_components_q95,peak_largest_component_fraction_n,peak_largest_component_fraction_mean,peak_largest_component_fraction_median,peak_largest_component_fraction_variance,peak_largest_component_fraction_q05,peak_largest_component_fraction_q95,union_active_area_mm2_n,union_active_area_mm2_mean,union_active_area_mm2_median,union_active_area_mm2_variance,union_active_area_mm2_q05,union_active_area_mm2_q95,peak_active_area_mm2_n,peak_active_area_mm2_mean,peak_active_area_mm2_median,peak_active_area_mm2_variance,peak_active_area_mm2_q05,peak_active_area_mm2_q95,native_spatial_rms_mm_n,native_spatial_rms_mm_mean,native_spatial_rms_mm_median,native_spatial_rms_mm_variance,native_spatial_rms_mm_q05,native_spatial_rms_mm_q95
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,primary,ALL,0,,,,,,,0,0,,,,,,0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,primary,TA,0,,,,,,,0,0,,,,,,0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,primary,TB,0,,,,,,,0,0,,,,,,0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,all_detected,ALL,0,,,,,,,0,0,,,,,,0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,all_detected,TA,0,,,,,,,0,0,,,,,,0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,all_detected,TB,0,,,,,,,0,0,,,,,,0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,primary,ALL,138,0.8623188405797102,0.7282608695652174,0.9894598155467722,0.8623188405797102,0.15441475519195386,-0.6,15,119,36.90405383984762,27.288542129114283,107.17289176300764,13.978260869565217,0.42980959178418576,105,138,16.13768115942029,16.0,0.2509785253358722,16.0,18.0,138,93.34782608695652,88.0,1316.6226594731834,39.400000000000006,138.3,138,2.636264246544978,16.67024479070551,3263.4103811535883,-76.08882417582171,61.087841399244105,138,0.49399261369362946,18.982643539084847,2819.3134454812025,-66.64919425877925,58.68780480115656,138,0.09490149002774184,0.0865731232708003,0.0018541635893225287,0.04916286373937706,0.17223641582775037,138,2.028985507246377,2.0,1.050248598328573,1.0,4.0,138,0.8659946069979614,0.8737636125595017,0.019686465217888627,0.60509378890301,1.0,138,323.07246376811594,291.0,2873.6589442505024,257.7,394.15,138,77.6304347826087,75.0,88.03030783878134,66.0,97.15,138,7.434122942628814,7.29295079180676,0.2682107918323228,6.870462852695888,8.173648117240512
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,primary,TA,61,0.7377049180327869,0.5245901639344261,0.9970193740685545,0.7377049180327869,0.1922330903060981,0.0,15,45,100.2574693406932,25.728718984753506,105.9787353303036,13.40983606557377,0.4530598470085335,105,61,16.131147540983605,16.0,0.24918032786885239,16.0,18.0,61,89.8360655737705,110.0,1848.572677595628,26.0,132.0,61,56.26396263411799,58.210330578513094,97.71229755127533,44.72873900293416,61.981981981978606,61,46.059766435762555,56.79636363636382,253.3042688915769,18.86096256683959,58.89371594260592,61,0.07228169617599126,0.07409410492157924,0.0004439717013735007,0.0445414847161572,0.09649693970569084,61,2.5245901639344264,2.0,0.5868852459016394,2.0,4.0,61,0.8129339921169142,0.8414542728635682,0.009758306342115232,0.6069304370312905,0.929749715585893,61,346.5081967213115,388.0,3182.7540983606564,253.0,395.0,61,76.27868852459017,73.0,85.40437158469946,66.0,94.0,61,7.674139040554784,7.896309333172088,0.28647634037692365,6.791902777020602,8.177462205588858
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,primary,TB,77,0.961038961038961,0.8896103896103895,0.9834710743801653,0.961038961038961,0.1938098842867957,0.5,15,74,36.40194107145339,28.762501787579687,107.76266099031126,14.428571428571429,0.34200158327084884,105,77,16.142857142857142,16.0,0.25563909774436083,16.0,18.0,77,96.12987012987013,86.0,896.2460697197539,56.800000000000004,147.60000000000005,77,-39.848016294259615,-59.59090909090446,1668.6100934649062,-93.444794977751,37.78224561403768,77,-35.60356846612721,-59.909629990658686,1895.5717103685809,-71.64435530869669,54.7866258184411,77,0.11282106697523257,0.10184442662389735,0.0022558629581961435,0.06795114548111203,0.2057233070555297,77,1.6363636363636365,1.0,1.0765550239234452,1.0,4.0,77,0.9080296395660638,1.0,0.023733572489840465,0.5969696714402687,1.0,77,304.5064935064935,281.0,1877.3848257006148,267.0,388.8,77,78.7012987012987,76.0,88.63328776486672,66.0,98.0,77,7.243980319596552,7.017201065623386,0.17445199972534656,6.907499942026961,7.968042077372836
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,all_detected,ALL,173,0.8901734104046243,0.7745664739884393,0.9889647924330004,0.8901734104046243,0.153747362491387,-0.6392857142857141,15,154,36.58173619650779,26.21627584017624,106.75241080320902,14.109826589595375,0.4535537121012711,105,173,16.13294797687861,16.0,0.24384997983599954,16.0,18.0,173,93.5028901734104,88.0,1140.565398575077,40.0,140.0,173,-5.531212616833576,-4.71818181818162,3339.029583837359,-73.65616105901863,61.073201581028115,173,-7.097958738194333,-6.305626598463277,2935.898058441608,-66.34120600718816,58.58336645254385,173,0.09328184870430942,0.08702142606252196,0.001725556323437722,0.047015091827549746,0.16264144147105922,173,1.884393063583815,2.0,1.0098131469283507,1.0,4.0,173,0.886244708449186,0.9286962600489339,0.01830285945812951,0.6140797033623732,1.0,173,317.29479768786126,283.0,2729.546309987901,258.0,395.0,173,76.8728323699422,75.0,83.16978088452748,66.0,97.0,173,7.3861721021647995,7.192240086719163,0.273066400342311,6.87147957216857,8.174769907931204
