candidate,stage,topology,noise,comparison,description,start_ms,end_ms,n,TA,TB,intervals_ms
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,1500.0,7500.0,0,0,0,[]
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,7500.0,13500.0,0,0,0,[]
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,13500.0,19500.0,0,0,0,[]
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,19500.0,25500.0,0,0,0,[]
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,25500.0,31500.0,0,0,0,[]
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,31500.0,37500.0,0,0,0,[]
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,37500.0,43500.0,0,0,0,[]
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,43500.0,49500.0,0,0,0,[]
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,49500.0,55500.0,0,0,0,[]
up3__circle__EI_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,55500.0,60000.0,0,0,0,[]
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,1500.0,7500.0,12,4,8,"[295.0, 259.0, 309.0, 333.0, 327.0, 383.0, 324.0, 749.0, 321.0, 859.0, 868.0]"
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,7500.0,13500.0,16,7,9,"[331.0, 327.0, 439.0, 353.0, 380.0, 288.0, 344.0, 312.0, 368.0, 375.0, 353.0, 304.0, 319.0, 323.0, 553.0]"
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,13500.0,19500.0,17,9,8,"[394.0, 326.0, 323.0, 294.0, 396.0, 374.0, 743.0, 550.0, 262.0, 333.0, 252.0, 257.0, 262.0, 328.0, 278.0, 360.0]"
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,19500.0,25500.0,12,1,11,"[273.0, 319.0, 280.0, 490.0, 409.0, 947.0, 987.0, 294.0, 411.0, 291.0, 942.0]"
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,25500.0,31500.0,14,7,7,"[299.0, 262.0, 285.0, 270.0, 340.0, 641.0, 336.0, 293.0, 372.0, 306.0, 344.0, 1116.0, 253.0]"
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,31500.0,37500.0,16,7,9,"[297.0, 298.0, 348.0, 260.0, 253.0, 847.0, 561.0, 453.0, 343.0, 328.0, 317.0, 610.0, 295.0, 274.0, 412.0]"
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,37500.0,43500.0,15,11,4,"[486.0, 305.0, 410.0, 281.0, 321.0, 449.0, 263.0, 262.0, 309.0, 307.0, 368.0, 340.0, 266.0, 356.0]"
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,43500.0,49500.0,11,4,7,"[284.0, 343.0, 304.0, 506.0, 366.0, 558.0, 1064.0, 275.0, 756.0, 289.0]"
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,49500.0,55500.0,14,6,8,"[966.0, 389.0, 454.0, 273.0, 445.0, 322.0, 290.0, 400.0, 303.0, 695.0, 441.0, 298.0, 328.0]"
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,55500.0,60000.0,11,5,6,"[384.0, 382.0, 510.0, 314.0, 331.0, 411.0, 424.0, 337.0, 832.0, 318.0]"
