candidate,L_search,primary,TA,TB,n_runs,scorable_runs,complete_two_noise_development_summary
up3__circle__EE_core_to_out_scale_1.25__x_minus075,2.629909340544196,141.0,72.0,69.0,2,2,True
up3__circle__EE_core_to_out_scale_1.25,3.4804346585301174,138.0,62.0,76.0,2,2,True
follow_circle_out1.125_EI0.875,3.542057637965004,163.0,72.5,90.5,2,2,True
up3__circle__EI_same_core_scale_0.75,3.6363134780406003,166.5,75.5,91.0,2,2,True
up3__circle__EE_core_to_out_scale_1.25__x_plus075,3.8676248442259116,147.5,57.0,90.5,2,2,True
follow_circle_out1.25_EI0.75,3.8960549589547724,169.0,81.5,87.5,2,2,True
follow_circle_out1.25_EI0.875,4.030965459843261,165.5,77.5,88.0,2,2,True
follow_circle_out1.125_EI0.75,4.132256938431416,169.0,81.5,87.5,2,2,True
follow_circle_out1_EI0.875,4.232100407553011,151.0,62.5,88.5,2,2,True
follow_circle_out1.125_EI1,4.89893922203467,133.5,50.0,83.5,2,2,True
up3__circle__EE_core_to_out_scale_1.25__y_minus10,5.48519942806025,143.0,59.0,84.0,1,1,False
follow_ellipse4_out1_EI0.875,6.750121194476945,148.5,38.5,110.0,2,2,True
follow_ellipse4_out1.125_EI1,7.0999884915668625,135.0,33.5,101.5,2,2,True
up3__circle,7.652568686967404,127.0,22.0,105.0,2,2,True
up3__ellipse4__EE_core_to_out_scale_1.25,7.723456022207189,141.0,34.0,107.0,2,2,True
up3__ellipse4__EI_same_core_scale_0.75,8.157693841227335,156.5,35.0,121.5,2,2,True
follow_ellipse4_out1.125_EI0.875,8.184259120493596,156.5,35.5,121.0,2,2,True
follow_ellipse4_out1.125_EI0.75,8.448469507459539,159.5,33.5,126.0,2,2,True
follow_ellipse4_out1.25_EI0.75,8.510703806905664,158.0,33.5,124.5,2,2,True
follow_ellipse4_out1.25_EI0.875,8.675418021992211,158.5,34.5,124.0,2,2,True
up3__ellipse4,9.127345318049144,111.5,18.0,93.5,2,2,True
