candidate,stage,topology,noise,comparison,description,layer,mode,contact,events,participation,patient_participation,rank_n,rank_mean,rank_median,rank_variance,rank_q05,rank_q95
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,ALL,SCL9,156,0.46153846153846156,0.753313100657562,72,1.0,1.0,0.0,1.0,1.0
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,ALL,ICL11,156,0.9935897435897436,0.8663631765300961,155,0.6754782851557044,0.8571428571428571,0.07670896965024496,0.18181818181818182,1.0
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,ALL,SCL8,156,0.4423076923076923,0.8803743045017703,69,0.9098582576843448,0.9285714285714286,0.01270033354221544,0.8571428571428571,0.9285714285714286
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,ALL,ICL10,156,0.9935897435897436,0.8796661608497723,155,0.677475212959084,0.7142857142857143,0.015536863731646536,0.4863636363636364,0.9113636363636362
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,ALL,SCL7,156,0.6217948717948718,0.9031360647445624,97,0.5713341641176692,0.7857142857142857,0.1188270757813248,0.0,0.7857142857142857
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,ALL,ICL9,156,1.0,0.8845725847243298,156,0.4862703180010871,0.5714285714285714,0.038716318721031914,0.17803030303030304,0.8181818181818182
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,ALL,ICL8,156,1.0,0.8727364693980779,156,0.3436945888868966,0.5,0.04226443528020691,0.09090909090909091,0.6439393939393939
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,ALL,SCL6,156,1.0,0.7906929691451694,156,0.3511990146605531,0.5227272727272727,0.09245140479988138,0.0,0.6428571428571429
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,ALL,ICL7,156,1.0,0.7020738492665655,156,0.3866464731849346,0.42857142857142855,0.014906385287152159,0.18181818181818182,0.6363636363636364
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,ALL,ICL6,156,1.0,0.5341426403641881,156,0.41159036832113755,0.36363636363636365,0.0072245203786110825,0.35714285714285715,0.5965909090909092
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,ALL,ICL5,156,1.0,0.6830045523520486,156,0.45091624899317206,0.36363636363636365,0.03192991770594552,0.2857142857142857,0.6818181818181818
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,ALL,ICL4,156,1.0,0.9195751138088012,156,0.45959916152223856,0.2727272727272727,0.06906155068814368,0.21428571428571427,0.7548076923076923
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,ALL,ICL3,156,1.0,0.9306019221041982,156,0.4095683518760441,0.14285714285714285,0.1291634407066191,0.07142857142857142,0.8333333333333334
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,ALL,ICL2,156,1.0,0.843247344461305,156,0.3804477217938756,0.0,0.19213437857287713,0.0,0.9166666666666666
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,ALL,ICL1,156,1.0,0.7710672736469398,156,0.5129688687380997,0.18181818181818182,0.17487774009859244,0.07142857142857142,1.0
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TA,SCL9,68,0.014705882352941176,0.7913406760349412,1,1.0,1.0,,1.0,1.0
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TA,ICL11,68,0.9852941176470589,0.8876566654006837,67,0.40983891730160393,0.3333333333333333,0.04767413698382663,0.18181818181818182,0.8333333333333334
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TA,SCL8,68,0.014705882352941176,0.9051272312951006,1,0.0,0.0,,0.0,0.0
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TA,ICL10,68,0.9852941176470589,0.8992783896695784,67,0.5685297289774902,0.5454545454545454,0.004631585506612787,0.45454545454545453,0.6666666666666666
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TA,SCL7,68,0.3382352941176471,0.9323205469046715,23,0.003344481605351171,0.0,0.0002572678157962439,0.0,0.0
