candidate,topology,noise,mode,metric,value
up3__circle,2611,847201,TA,SCL_upper_participation,0.7058823529411764
up3__radius25,2611,847201,TA,SCL_upper_participation,0.8125
up3__radius25_dose_matched,2611,847201,TA,SCL_upper_participation,1.0
up3__circle,2611,847202,TA,SCL_upper_participation,0.8823529411764706
up3__radius25,2611,847202,TA,SCL_upper_participation,0.7222222222222223
up3__radius25_dose_matched,2611,847202,TA,SCL_upper_participation,1.0
up3__circle,2612,847201,TA,SCL_upper_participation,1.0
up3__radius25,2612,847201,TA,SCL_upper_participation,0.9464285714285714
up3__radius25_dose_matched,2612,847201,TA,SCL_upper_participation,1.0
up3__circle,2612,847202,TA,SCL_upper_participation,1.0
up3__radius25,2612,847202,TA,SCL_upper_participation,0.9444444444444444
up3__radius25_dose_matched,2612,847202,TA,SCL_upper_participation,1.0
up3__circle,2611,847201,TA,SCL_minus_ICL_lag_median_ms,87.9305471967673
up3__radius25,2611,847201,TA,SCL_minus_ICL_lag_median_ms,24.0265199763453
up3__radius25_dose_matched,2611,847201,TA,SCL_minus_ICL_lag_median_ms,-23.22284365066844
up3__circle,2611,847202,TA,SCL_minus_ICL_lag_median_ms,88.43894112401904
up3__radius25,2611,847202,TA,SCL_minus_ICL_lag_median_ms,0.6180162957280118
up3__radius25_dose_matched,2611,847202,TA,SCL_minus_ICL_lag_median_ms,-55.38862777885515
up3__circle,2612,847201,TA,SCL_minus_ICL_lag_median_ms,-4.5197758253634674
up3__radius25,2612,847201,TA,SCL_minus_ICL_lag_median_ms,-2.739996478478133
up3__radius25_dose_matched,2612,847201,TA,SCL_minus_ICL_lag_median_ms,-10.622466558889757
up3__circle,2612,847202,TA,SCL_minus_ICL_lag_median_ms,1.048778324489831
up3__radius25,2612,847202,TA,SCL_minus_ICL_lag_median_ms,1.498119394556852
up3__radius25_dose_matched,2612,847202,TA,SCL_minus_ICL_lag_median_ms,-46.23258014177191
up3__circle,2611,847201,TA,fraction,0.1440677966101695
up3__radius25,2611,847201,TA,fraction,0.24
up3__radius25_dose_matched,2611,847201,TA,fraction,0.058823529411764705
up3__circle,2611,847202,TA,fraction,0.1440677966101695
up3__radius25,2611,847202,TA,fraction,0.15
up3__radius25_dose_matched,2611,847202,TA,fraction,0.009433962264150943
up3__circle,2612,847201,TA,fraction,0.23841059602649006
up3__radius25,2612,847201,TA,fraction,0.2153846153846154
up3__radius25_dose_matched,2612,847201,TA,fraction,0.04195804195804196
up3__circle,2612,847202,TA,fraction,0.20279720279720279
up3__radius25,2612,847202,TA,fraction,0.2857142857142857
up3__radius25_dose_matched,2612,847202,TA,fraction,0.014705882352941176
up3__circle,2611,847201,TB,SCL_upper_participation,0.9752475247524752
up3__radius25,2611,847201,TB,SCL_upper_participation,0.9671052631578948
up3__radius25_dose_matched,2611,847201,TB,SCL_upper_participation,0.9947916666666669
up3__circle,2611,847202,TB,SCL_upper_participation,0.9653465346534652
up3__radius25,2611,847202,TB,SCL_upper_participation,0.9558823529411764
up3__radius25_dose_matched,2611,847202,TB,SCL_upper_participation,1.0
up3__circle,2612,847201,TB,SCL_upper_participation,0.9956521739130436
up3__radius25,2612,847201,TB,SCL_upper_participation,0.96078431372549
up3__radius25_dose_matched,2612,847201,TB,SCL_upper_participation,1.0
up3__circle,2612,847202,TB,SCL_upper_participation,0.9824561403508772
up3__radius25,2612,847202,TB,SCL_upper_participation,0.9888888888888888
up3__radius25_dose_matched,2612,847202,TB,SCL_upper_participation,1.0
up3__circle,2611,847201,TB,SCL_minus_ICL_lag_median_ms,37.19036681821672
up3__radius25,2611,847201,TB,SCL_minus_ICL_lag_median_ms,36.51985541287149
up3__radius25_dose_matched,2611,847201,TB,SCL_minus_ICL_lag_median_ms,36.54995709640116
up3__circle,2611,847202,TB,SCL_minus_ICL_lag_median_ms,36.77254702810024
up3__radius25,2611,847202,TB,SCL_minus_ICL_lag_median_ms,37.82900740038531
up3__radius25_dose_matched,2611,847202,TB,SCL_minus_ICL_lag_median_ms,36.88327270094487
up3__circle,2612,847201,TB,SCL_minus_ICL_lag_median_ms,36.05215914652581
up3__radius25,2612,847201,TB,SCL_minus_ICL_lag_median_ms,35.95437732672508
up3__radius25_dose_matched,2612,847201,TB,SCL_minus_ICL_lag_median_ms,36.66156481311191
up3__circle,2612,847202,TB,SCL_minus_ICL_lag_median_ms,36.270494095173945
up3__radius25,2612,847202,TB,SCL_minus_ICL_lag_median_ms,36.03565037625231
up3__radius25_dose_matched,2612,847202,TB,SCL_minus_ICL_lag_median_ms,36.64378084550481
up3__circle,2611,847201,TB,fraction,0.8559322033898306
up3__radius25,2611,847201,TB,fraction,0.76
up3__radius25_dose_matched,2611,847201,TB,fraction,0.9411764705882353
up3__circle,2611,847202,TB,fraction,0.8559322033898306
up3__radius25,2611,847202,TB,fraction,0.85
up3__radius25_dose_matched,2611,847202,TB,fraction,0.9905660377358491
up3__circle,2612,847201,TB,fraction,0.7615894039735099
up3__radius25,2612,847201,TB,fraction,0.7846153846153846
up3__radius25_dose_matched,2612,847201,TB,fraction,0.958041958041958
up3__circle,2612,847202,TB,fraction,0.7972027972027972
up3__radius25,2612,847202,TB,fraction,0.7142857142857143
up3__radius25_dose_matched,2612,847202,TB,fraction,0.9852941176470589
