candidate,noise,mode,metric,value
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847101,TA,SCL_upper_participation,0.6544117647058824
up3__circle__EE_core_to_out_scale_1.25,847101,TA,SCL_upper_participation,0.3380281690140845
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847101,TA,SCL_upper_participation,0.5307692307692308
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847102,TA,SCL_upper_participation,0.5855263157894737
up3__circle__EE_core_to_out_scale_1.25,847102,TA,SCL_upper_participation,0.330188679245283
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847102,TA,SCL_upper_participation,0.6224489795918366
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847101,TA,SCL_minus_ICL_lag_median_ms,-12.386752884578527
up3__circle__EE_core_to_out_scale_1.25,847101,TA,SCL_minus_ICL_lag_median_ms,-16.460862717292912
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847101,TA,SCL_minus_ICL_lag_median_ms,-23.227844389657548
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847102,TA,SCL_minus_ICL_lag_median_ms,-12.706284966514431
up3__circle__EE_core_to_out_scale_1.25,847102,TA,SCL_minus_ICL_lag_median_ms,-15.681420670632631
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847102,TA,SCL_minus_ICL_lag_median_ms,-23.536110173910856
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847101,TA,pair_order_probability_mae,0.1408946967733588
up3__circle__EE_core_to_out_scale_1.25,847101,TA,pair_order_probability_mae,0.1781795447183942
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847101,TA,pair_order_probability_mae,0.195125715371305
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847102,TA,pair_order_probability_mae,0.1578205094902566
up3__circle__EE_core_to_out_scale_1.25,847102,TA,pair_order_probability_mae,0.1890038571744708
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847102,TA,pair_order_probability_mae,0.2054812635097165
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847101,TA,fraction,0.4857142857142857
up3__circle__EE_core_to_out_scale_1.25,847101,TA,fraction,0.4863013698630137
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847101,TA,fraction,0.4166666666666667
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847102,TA,fraction,0.5352112676056338
up3__circle__EE_core_to_out_scale_1.25,847102,TA,fraction,0.4076923076923077
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847102,TA,fraction,0.35251798561151076
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847101,TB,SCL_upper_participation,0.875
up3__circle__EE_core_to_out_scale_1.25,847101,TB,SCL_upper_participation,0.8266666666666667
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847101,TB,SCL_upper_participation,0.8846153846153846
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847102,TB,SCL_upper_participation,0.8787878787878788
up3__circle__EE_core_to_out_scale_1.25,847102,TB,SCL_upper_participation,0.8311688311688312
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847102,TB,SCL_upper_participation,0.8444444444444444
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847101,TB,SCL_minus_ICL_lag_median_ms,35.35735759633462
up3__circle__EE_core_to_out_scale_1.25,847101,TB,SCL_minus_ICL_lag_median_ms,35.67206936948969
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847101,TB,SCL_minus_ICL_lag_median_ms,35.39180846577074
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847102,TB,SCL_minus_ICL_lag_median_ms,34.853553123430174
up3__circle__EE_core_to_out_scale_1.25,847102,TB,SCL_minus_ICL_lag_median_ms,35.44060550434733
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847102,TB,SCL_minus_ICL_lag_median_ms,35.34925644387113
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847101,TB,pair_order_probability_mae,0.3262068001941979
up3__circle__EE_core_to_out_scale_1.25,847101,TB,pair_order_probability_mae,0.3516017307685317
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847101,TB,pair_order_probability_mae,0.3277152465067538
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847102,TB,pair_order_probability_mae,0.3109871119026256
up3__circle__EE_core_to_out_scale_1.25,847102,TB,pair_order_probability_mae,0.3737454729379606
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847102,TB,pair_order_probability_mae,0.3367492586429413
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847101,TB,fraction,0.5142857142857142
up3__circle__EE_core_to_out_scale_1.25,847101,TB,fraction,0.5136986301369864
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847101,TB,fraction,0.5833333333333334
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847102,TB,fraction,0.4647887323943662
up3__circle__EE_core_to_out_scale_1.25,847102,TB,fraction,0.5923076923076923
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847102,TB,fraction,0.6474820143884892
