candidate,comparison,stage,topology,noise,layer,mode,description,n_condition,n_reference,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,pair_order_probability_mae,SCL_minus_ICL_lag_median_ms,local_width_ms_median,recruitment_span_ms_median,B_minus_A_t10_ms_median,first_10pct_mass_core_share_median,peak_active_components_median,n,union_active_area_mm2_median,peak_active_area_mm2_median,native_spatial_rms_mm_median,peak_largest_component_fraction_median
up3__circle__EE_core_to_out_scale_1.25,up3__circle,response,2511,847102,primary,ALL,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,130,127,-0.33370684433676556,0.041550575408843216,0.0,0.048022970806716164,-0.15895849643947452,-5.1922789357586225,0.0,-18.0,31.529399509801806,0.007593340118690631,1.0,3,67.0,18.5,0.25490157399085156,-0.057139573869781524
up3__circle__EE_core_to_out_scale_1.25,up3__circle,response,2511,847102,primary,TA,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,53,22,-0.6470840480274442,0.0850615936379231,0.0,0.024051736361964338,-0.17725226657311852,-108.53420531650727,0.0,-73.0,-1.0426104676080286,0.01224105431276934,0.0,31,-32.5,10.5,-0.8295907522435186,0.04283856812174869
up3__circle__EE_core_to_out_scale_1.25,up3__circle,response,2511,847102,primary,TB,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,77,105,-0.12597402597402585,0.03258559622195989,0.0,0.01603603898834785,0.05118924600583108,-0.9306384966184851,0.0,-8.0,3.111440616172331,0.021038732221653242,1.0,-28,83.0,22.0,0.5444156427805584,-0.062469966362325824
up3__circle__EE_core_to_out_scale_1.25,up3__circle,response,2511,847102,all_detected,ALL,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,194,169,-0.29697126822424214,0.036925406076873224,0.0,0.038631776357573894,-0.16999425101100757,-1.9438384332415808,0.0,-8.0,42.57288137820433,0.009009552988499522,1.0,25,78.0,19.0,0.46413243318140207,-0.05686338970637195
up3__circle__EE_core_to_out_scale_1.25,up3__circle,response,2511,847102,all_detected,TA,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,74,23,-0.5969447708578143,0.09240465762204897,0.0,0.021030301921333816,-0.17440502794214838,-108.79052558222611,0.0,-70.0,-1.6974510196023402,0.011965258864283984,0.0,51,-31.5,9.0,-0.8226285655508896,0.03361306402050124
up3__circle__EE_core_to_out_scale_1.25,up3__circle,response,2511,847102,all_detected,TB,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,120,146,-0.09834474885844746,0.02823785803237866,0.0,0.015465729228237968,0.038117834157619546,-0.797515265066977,0.0,-6.0,3.5633106510497328,0.01850422463245696,1.0,-26,84.0,20.0,0.5671620376146844,-0.06289757486820446
up3__out_perp20,up3__out_reference,confirmation,2612,847201,primary,ALL,左核上移3 mm｜左核输出横向范围 ×2,135,146,-0.00788939624556062,0.05855818458558171,-0.04556062912227288,0.0051603999007356904,0.11291572840669606,1.0441272449834287,0.0,2.0,-33.58389810648805,0.029518694817177782,0.0,-11,-8.0,-5.5,-0.07993691904062139,0.0
up3__out_perp20,up3__out_reference,confirmation,2612,847201,primary,TA,左核上移3 mm｜左核输出横向范围 ×2,15,32,-0.4395833333333333,0.06988636363636369,-0.5020833333333333,-0.018855445837025836,0.02936975681717019,-16.579306455388632,2.0,1.0,-12.961442355020154,0.01187312742092915,0.0,-17,-98.0,-18.5,-0.9193052187806776,0.0
up3__out_perp20,up3__out_reference,confirmation,2612,847201,primary,TB,左核上移3 mm｜左核输出横向范围 ×2,120,114,0.03947368421052633,0.04090909090909123,0.00877192982456143,0.041196462010438695,0.05608635582494931,0.5244695160909032,0.0,0.0,-1.16167791841076,0.013793337894400293,0.0,6,-4.5,-5.0,-0.02040929673709968,0.0
up3__out_perp20,up3__out_reference,confirmation,2612,847201,all_detected,ALL,左核上移3 mm｜左核输出横向范围 ×2,167,175,-0.008177929854576549,0.06572206236876887,-0.0424636441402908,3.037959055512962e-05,0.11465450189264331,0.9978958874780801,0.0,2.0,-22.856226986608817,0.034846843373201986,0.0,-8,-7.0,-5.0,-0.07790173198579531,0.0
