candidate,comparison,topology,noise,description,L_search,TA,TB,primary,rotation_time_fraction,rotation_tracks_per_minute,max_fixed_ring_turns,coreAE_rate_hz,coreBE_rate_hz,surroundE_rate_hz
up3__circle__EE_core_to_out_scale_1.25,up3__circle,2511,847102,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,-3.780626028265494,31,-28,3,-0.01120689655172414,-12.413793103448276,-0.30666787396179307,0.3447768281101613,3.0891791646508624,2.322653630925293
up3__out_perp20,up3__out_reference,2612,847201,左核上移3 mm｜左核输出横向范围 ×2,5.110977806575766,-17,6,-11,-0.01986206896551724,-18.620689655172413,-0.0841237527090376,2.1527593818984556,-2.6860298010740484,-1.0725067202377243
up3__circle__EE_same_core_scale_1.0,up3__circle,2511,847101,左核上移3 mm｜圆形对照｜同核 E→E 权重 × 1.0,-3.519892031474532,63,-13,50,-0.011344827586206896,-13.448275862068964,-0.11085914852801637,10.156647673314339,12.539475199852557,2.8943706398025615
up3__ellipse4__EE_same_core_scale_1.0,up3__ellipse4,2511,847101,左核上移3 mm｜沿端点轴拉长 4:1｜同核 E→E 权重 × 1.0,-0.4424705725253091,16,47,63,-0.004586206896551724,-7.2413793103448265,-0.04919311823872352,5.828347578347579,12.114221208560831,3.345666573186386
endpoint__ellipse4,endpoint__circle,2511,847102,端点原位｜沿端点轴拉长 4:1,0.6695134354850811,-22,6,-16,-0.002793103448275862,-3.1034482758620685,0.05997434899073817,2.147455656042183,-2.3807220033635126,-1.0253260576856515
up3__ellipse4__EE_same_core_scale_1.0,up3__ellipse4,2511,847102,左核上移3 mm｜沿端点轴拉长 4:1｜同核 E→E 权重 × 1.0,-1.1147106549750312,10,47,57,-0.00031034482758620675,-2.06896551724138,-0.058112338628731,5.413034188034189,12.193010343953741,3.1943007255077447
up3__out_angle_m15,up3__out_reference,2511,847101,左核上移3 mm｜左核输出方向 −15°,-0.9386541210918864,8,-11,-3,0.007896551724137932,8.275862068965516,0.10354437971409469,-0.21536087369420542,0.5570069343654254,0.25451042361121523
up3__radius25_dose_matched,up3__circle,2511,847102,左核上移3 mm｜半径 2.5 mm＋降阈值总量匹配,5.367812216492583,-20,-20,-40,-0.008862068965517243,-9.310344827586206,-0.34609468157875334,1.7183857538892813,-2.600801714009262,-1.5267865947128438
up3__ellipse4__IE_same_core_scale_1.25,up3__ellipse4,2511,847101,左核上移3 mm｜沿端点轴拉长 4:1｜同核 I→E 权重 × 1.25,-1.1293694155894043,3,-15,-12,-0.00013793103448275952,0.0,0.007834379394296542,-2.8697768281101608,-0.8350496463704009,-0.7345663774375533
up3__radius25_dose_matched,up3__circle,2611,847201,左核上移3 mm｜半径 2.5 mm＋降阈值总量匹配,3.2792434923092486,-11,-5,-16,-0.01106896551724138,-15.517241379310345,0.017150087791608315,0.0614265382477317,-2.1579234257805684,-0.874283789139934
up3__ellipse4__EI_same_core_scale_0.75,up3__ellipse4,2511,847101,左核上移3 mm｜沿端点轴拉长 4:1｜同核 E→I 权重 × 0.75,-1.2076695472183854,23,22,45,-0.00796551724137931,-11.379310344827585,-0.066362399185249,4.19019468186135,10.385928536871933,3.4706726605999654
up3__radius25_dose_matched,up3__circle,2511,847101,左核上移3 mm｜半径 2.5 mm＋降阈值总量匹配,3.9459467406362627,-14,-14,-28,-0.010482758620689654,-12.413793103448274,-0.08120019940492507,1.866086936922942,-2.3508881056050868,-1.488915043927454
up3__out_perp15,up3__out_reference,2511,847102,左核上移3 mm｜左核输出横向范围 ×1.5,4.429269566370753,-14,-6,-20,-0.0056896551724137925,-6.206896551724137,0.004307911067664483,2.159496676163341,-0.6906489736678418,-0.08377624514896098
up3__circle__depth_A_scale_0.75,up3__circle,2511,847102,左核上移3 mm｜圆形对照｜A核降阈值幅度 × 0.75,3.2479233728759276,-16,-2,-18,-0.005862068965517242,-5.172413793103448,-0.2177397155418772,2.7092830009496662,-2.135945815191099,-0.6232067319237391
up3__ellipse4__II_same_core_scale_0.75,up3__ellipse4,2511,847102,左核上移3 mm｜沿端点轴拉长 4:1｜同核 I→I 权重 × 0.75,-0.8581795452663155,0,-12,-12,-0.00013793103448275865,-1.0344827586206904,0.05382228774771547,-1.5772792022792004,-0.14919252655101722,-0.719580424669167
endpoint__ellipse4_orthogonal,endpoint__circle,2511,847102,端点原位｜转90°拉长 4:1,0.9805809405930868,8,6,14,-0.0017586206896551722,-2.068965517241379,-0.014452692754370111,3.5044089918594548,0.2022945607851261,0.857745171308661
up3__ellipse4__EI_same_core_scale_1.25,up3__ellipse4,2511,847101,左核上移3 mm｜沿端点轴拉长 4:1｜同核 E→I 权重 × 1.25,,-16,-95,-111,-0.00796551724137931,-11.379310344827585,-0.8028991052351557,-9.803561253561254,-3.6383762987536574,-7.437719461755089
up3__ellipse4__core_mean_rate_scale_1.0,up3__ellipse4,2511,847101,左核上移3 mm｜沿端点轴拉长 4:1｜核内平均外部输入 × 1.0,,-12,-88,-100,-0.005862068965517242,-8.275862068965516,-0.0012550405856560642,8.748789173789174,3.7475061626005024,4.64666524487076
endpoint__out_reference,endpoint__circle,2511,847101,端点原位｜离核重采样对照,-1.1769589592501983,16,-13,3,-0.0034482758620689637,-3.1034482758620676,-0.21678411476035275,-0.2583296638778787,1.035547261962357,0.4354112531549337
