candidate,description,comparison,mode,observable,observable_zh,paired_runs,topologies,networks_noise_min_event_support,positive_pairs,negative_pairs,zero_pairs,mean_paired_change,median_paired_change,minimum_paired_change,maximum_paired_change,interpretation
up3__circle__EE_core_to_out_scale_1.25,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,up3__circle,ALL,SCL_upper_participation,SCL9/8 参与概率,2,1,127,0,2,0,-0.3467423230420749,-0.3467423230420749,-0.3597778017473843,-0.33370684433676556,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__circle__EE_core_to_out_scale_1.25,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,up3__circle,ALL,ICL_contact_participation,ICL 平均参与概率,2,1,127,2,0,0,0.03943317495792964,0.03943317495792964,0.037315774507016064,0.041550575408843216,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__circle__EE_core_to_out_scale_1.25,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,up3__circle,ALL,both_rods,两杆共同参与概率,2,1,127,0,0,2,0.0,0.0,0.0,0.0,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__circle__EE_core_to_out_scale_1.25,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,up3__circle,ALL,participation_mae,通道参与概率误差,2,1,127,2,0,0,0.050714116664187944,0.050714116664187944,0.048022970806716164,0.053405262521659724,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__circle__EE_core_to_out_scale_1.25,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,up3__circle,ALL,pair_order_probability_mae,成对顺序概率误差,2,1,127,0,2,0,-0.18866344010151145,-0.18866344010151145,-0.2183683837635484,-0.15895849643947452,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__circle__EE_core_to_out_scale_1.25,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,up3__circle,ALL,SCL_minus_ICL_lag_median_ms,SCL−ICL 质心时差 (ms),2,1,127,0,2,0,-24.645539998265576,-24.645539998265576,-44.09880106077253,-5.1922789357586225,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__circle__EE_core_to_out_scale_1.25,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,up3__circle,ALL,local_width_ms_median,接触点局部宽度 (ms),2,1,127,0,0,2,0.0,0.0,0.0,0.0,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__circle__EE_core_to_out_scale_1.25,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,up3__circle,ALL,recruitment_span_ms_median,跨接触点 t10 跨度 (ms),2,1,127,0,2,0,-33.0,-33.0,-48.0,-18.0,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__circle__EE_core_to_out_scale_1.25,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,up3__circle,ALL,B_minus_A_t10_ms_median,右−左核 t10 (ms),2,1,127,2,0,0,47.65455160675356,47.65455160675356,31.529399509801806,63.77970370370531,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__circle__EE_core_to_out_scale_1.25,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,up3__circle,ALL,first_10pct_mass_core_share_median,早期10%活动的核内份额,2,1,127,1,1,0,0.003136798563273757,0.003136798563273757,-0.0013197429921431164,0.007593340118690631,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__circle__EE_core_to_out_scale_1.25,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,up3__circle,ALL,peak_active_components_median,峰值并行连通域数,2,1,127,2,0,0,1.0,1.0,1.0,1.0,descriptive paired effects; events not independent network replicates; direction consistency is not significance
up3__circle__EE_core_to_out_scale_1.25,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,up3__circle,ALL,n,本类合格事件数,2,1,127,2,0,0,11.0,11.0,3.0,19.0,descriptive paired effects; events not independent network replicates; direction consistency is not significance
