name,batch,observed_s,classification,preentry_brief_count,n_high,n_low_exit,n_brief_between_high,temporal_loop_pass,continuation
native_s9108401,initial,20.0,HIGH_WITHOUT_EXIT,42,1,0,0,False,False
fast_phi_s9108401,initial,20.0,NO_HIGH_OBSERVED,86,0,0,0,False,False
global_shunt_s9108401,initial,20.0,HIGH_WITHOUT_EXIT,52,1,0,0,False,False
global_shunt_phi_s9108401,initial,20.0,NO_HIGH_OBSERVED,78,0,0,0,False,False
current_g0.166667_phi0_s9108401,matched_spatial_round2,30.0,HIGH_WITHOUT_EXIT,28,1,0,0,False,False
current_g0.5_phi0_s9108401,matched_spatial_round2,30.0,HIGH_WITHOUT_EXIT,0,1,0,0,False,False
conductance_g0.166667_phi0_s9108401,matched_spatial_round2,30.0,HIGH_WITHOUT_EXIT,14,1,0,0,False,False
conductance_g0.5_phi0_s9108401,matched_spatial_round2,30.0,HIGH_WITHOUT_EXIT,0,1,0,0,False,False
conductance_g0.166667_phi2.5_s9108401,matched_spatial_round2,30.0,NO_HIGH_OBSERVED,141,0,0,0,False,False
conductance_g0.5_phi2.5_s9108401,matched_spatial_round2,30.0,HIGH_WITHOUT_EXIT,8,1,0,0,False,False
hyperpolar_g0.5_phi1.25_s9108401,hyperpolar_spatial_round3,20.0,HIGH_WITHOUT_EXIT,0,1,0,0,False,False
hyperpolar_g0.5_phi2.5_s9108401,hyperpolar_spatial_round3,20.0,HIGH_WITHOUT_EXIT,2,1,0,0,False,False
hyperpolar_g0.166667_phi1.25_s9108401,hyperpolar_spatial_round3,20.0,NO_HIGH_OBSERVED,87,0,0,0,False,False
hyperpolar_g0.166667_phi2.5_s9108401,hyperpolar_spatial_round3,20.0,NO_HIGH_OBSERVED,82,0,0,0,False,False
hyperpolar_g0.5_phi0_s9108401,hyperpolar_spatial_round3,20.0,HIGH_WITHOUT_EXIT,0,1,0,0,False,False
hyperpolar_g0.166667_phi0_s9108401,hyperpolar_spatial_round3,20.0,HIGH_WITHOUT_EXIT,18,1,0,0,False,False
sahp2_g0.5_s9108401,source_sahp_round4,40.0,NO_HIGH_OBSERVED,0,0,0,0,False,False
sahp4_g0.5_s9108401,source_sahp_round4,40.0,NO_HIGH_OBSERVED,0,0,0,0,False,False
sahp1_g0.5_s9108401,source_sahp_round4,40.0,HIGH_WITHOUT_EXIT,0,1,0,0,False,False
sahp2_g0_s9108401,source_sahp_round4,40.0,NO_HIGH_OBSERVED,13,0,0,0,False,False
sahp1.5_g0.5_s9108401,sahp_bracket_round5,30.0,HIGH_ENDED_NO_INTERICTAL_RETURN,0,1,1,0,False,False
sahp1.25_g0.5_s9108401,sahp_bracket_round5,30.0,HIGH_ENDED_NO_INTERICTAL_RETURN,0,1,1,0,False,False
sahp1.75_g0.5_s9108401,sahp_bracket_round5,30.0,HIGH_ENDED_NO_INTERICTAL_RETURN,0,1,1,0,False,False
sahp1_g0.166667_s9108401,sahp_bracket_round5,30.0,NO_HIGH_OBSERVED,16,0,0,0,False,False
sahp1.5_g0.5_s9108402,positive_candidate_confirmation,20.0,NO_HIGH_OBSERVED,0,0,0,0,False,False
sahp0.25_g0.166667_s9108401,low_fraction_round6,20.0,NO_HIGH_OBSERVED,27,0,0,0,False,False
sahp0.5_g0.166667_s9108401,low_fraction_round6,20.0,NO_HIGH_OBSERVED,17,0,0,0,False,False
sahp1.5_g0.5_s9108401_to50s,autonomous_recurrence_continuation,46.0,HIGH_LOW_HIGH_WITHOUT_INTERICTAL_RETURN,0,2,1,0,False,True
