candidate,stage,topology,noise,N,TA,TB,J,status,rank_pattern,local_and_interrod_timing,participation
bridge_circle_out125_xminus075,confirmation,3712,849402,154,60,94,4.505291317264205,SCORABLE,4.466076288594338,5.053259734938907,3.99653792825937
g2_b03_p01,adaptive,2511,847401,159,90,69,1.0804713641398542,SCORABLE,1.0429544113771936,1.2793601088089688,0.9190995722334004
g2_b02_p03,adaptive,2511,847402,159,104,55,0.7914856466818102,SCORABLE,0.6428021658561076,1.2629549434648173,0.468699830724506
g1_axis2_minus,initial,2511,847401,144,94,50,0.7683829901615403,SCORABLE,0.6534515779319716,1.0819489707384355,0.5697484218142139
g2_b02_p04,adaptive,2511,847402,153,71,82,2.7147857716253774,SCORABLE,2.4638868533224882,3.478145225065841,2.2023252364878023
g1_axis4_plus,initial,2511,847402,147,71,76,2.391713938916781,SCORABLE,2.387371791621912,2.550381849561574,2.237388175566857
g2_b03_p03,adaptive,2511,847402,167,106,61,0.9946834137340165,SCORABLE,0.7890020171827837,1.5125729879671346,0.6824752360521309
g1_axis1_plus,initial,2511,847402,143,75,68,1.8659078913135427,SCORABLE,1.7578516546554306,2.255063410844199,1.5848086084409991
g1_axis5_plus,initial,2511,847401,135,77,58,1.101006200322186,SCORABLE,0.9788889667361546,1.4491087620372693,0.8750208721931347
g1_axis0_minus,initial,2511,847402,148,89,59,0.995288722126868,SCORABLE,0.9261524749205191,1.2383668352002215,0.8213468562598638
g1_axis4_plus,initial,2511,847401,148,82,66,1.4358184798328724,SCORABLE,1.3685887585575962,1.6601275128122766,1.2787391681287448
g1_axis3_minus,initial,2511,847402,151,88,63,1.0942592235444264,SCORABLE,1.030351475977638,1.2998969624250143,0.9525292322306267
curve_circle_out1_EI1,initial,2511,847402,107,12,95,13.290947632393056,SCORABLE,13.13209772285145,14.920361326788457,11.820383847539265
g1_axis2_minus,initial,2511,847402,145,87,58,0.9313302637990523,SCORABLE,0.8801709630546932,1.1065158067011545,0.8073040216413088
