candidate,stage,topology,noise,comparison,description,event,primary,mode,event_time_ms,B_minus_A_t10_ms,B_minus_A_t50_ms,coreA_width_ms,coreB_width_ms,coreA_mass,coreB_mass,window_start_ms,n_contacts,local_width_ms,recruitment_span_ms,centroid_span_ms,t10_SCL_minus_ICL_ms,centroid_SCL_minus_ICL_ms,first_crossing_SCL_minus_ICL_ms,first_10pct_mass_core_share,first_10pct_core_A_share,first_10pct_core_B_share,first_10pct_core_to_outside_per_neuron_density,peak_active_components,peak_largest_component_fraction,union_active_area_mm2,peak_active_area_mm2,native_spatial_rms_mm,native_activity_axis_deg,native_axis_ratio
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,3,True,TA,1641.0,66.43767066035116,65.37047663358157,15.680067567567676,15.11120531843153,1483.0,3487.0,1516.0,14,16.0,52.0,53.31404028209522,-19.0,-19.126675688821706,-19.0,0.12415632030664112,0.12348970919090076,0.000666611115740355,2.9149824045198702,2,0.9668301798645177,366.0,99.0,7.381841733643752,173.2372972877222,1.1511956694273042
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,4,True,TA,1947.0,57.02197802197793,49.86740740740743,30.34102564102568,17.127819548872367,952.0,1926.0,1822.0,15,16.0,38.0,40.15890345314119,-23.0,-22.417725625289677,-23.0,0.0737437074980129,0.0711825487944891,0.0025611587035238013,1.637146342065171,2,0.9459269662921348,366.0,133.0,7.491840881641806,167.0864897860942,1.089105222548784
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,5,True,TB,2242.0,8.191308455361195,-6.834285086756154,30.22019110926476,13.974419904948263,1660.0,2240.0,2116.0,14,17.0,44.0,42.556358344771525,-4.0,-3.3234838526718704,-2.0,0.19718524153670597,0.05507797641688855,0.14210726511981742,5.050713852782119,2,0.5077466169837223,386.0,140.0,7.963703948497995,39.30767679116562,1.1714700671199514
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,6,True,TB,2586.0,-39.70590062111842,-38.58020924149923,14.679549114331621,17.531746031746025,3546.0,1005.0,2460.0,15,18.0,76.0,66.76455059009913,27.0,24.785059129010733,29.0,0.10268479776847977,0.015167364016736401,0.08751743375174338,2.3531782835315576,2,0.941010708247229,368.0,129.0,7.928872487751795,31.593808396263825,1.3211602781160807
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,7,True,TA,2905.0,66.33515738498772,66.30284090909072,14.006007294571646,15.1520496894409,1825.0,3362.0,2780.0,15,16.0,54.0,55.57304791847582,-25.0,-23.50580667143913,-25.0,0.1428793653262814,0.14186824298047757,0.0010111223458038423,3.427845720351627,2,0.9812047101449275,378.0,101.0,7.553279802941089,156.89541904507666,1.1571978312964972
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,8,True,TA,3183.0,69.75407407407374,56.647415940224164,31.651363636363385,14.978167305236184,1209.0,3439.0,3058.0,14,16.0,48.0,48.78268945935861,-16.0,-16.793528428917398,-16.0,0.07896399241945673,0.0780615467918058,0.000902445627650934,1.7629751644426699,3,0.9372165194557174,369.0,104.0,7.445853474025656,158.19248656882596,1.172073337934997
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,9,True,TA,3549.0,44.50846774193542,43.751689189189165,15.681250000000091,14.996219758064399,1611.0,1751.0,3424.0,15,16.0,32.0,32.282366160436595,-14.0,-15.21258393782091,-15.0,0.13973577235772358,0.13592479674796748,0.0038109756097560975,3.340176690765686,1,1.0,355.0,118.0,7.357135741946917,174.2452031942796,1.1484000539244756
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,10,True,TA,3888.0,53.067060810810744,47.30002184360001,29.097916666666606,17.442710315949626,1139.0,1745.0,3762.0,15,16.0,28.0,30.058233730960183,-11.0,-11.363913630174466,-14.0,0.08684738955823293,0.08291499330655958,0.00393239625167336,1.955721946687333,2,0.9759682224428997,375.0,125.0,7.41649656242137,174.454109731807,1.1511261638731574
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,11,True,TB,4176.0,29.84477124183013,43.10866261398132,17.785317460317856,30.35784313725526,883.0,1623.0,4050.0,14,16.0,40.0,40.5103910707694,-19.0,-19.49466406047577,-18.0,0.08094532279314888,0.0722167325428195,0.00872859025032938,1.8111070243394223,2,0.9328046744574291,382.0,135.0,7.785663009300255,30.3384051857808,1.1568787696448313
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,12,True,TB,4433.0,7.284615384614881,-3.031543995572065,34.66666666666606,13.49142628205118,814.0,1904.0,4308.0,15,18.0,48.0,48.67529200053832,1.0,-0.6135490785163711,2.0,0.20869413102422812,0.04521997725881221,0.1634741537654159,5.423249118037967,2,0.5939265536723164,371.0,119.0,8.00086003139261,38.38494309246752,1.2551560584356258
