candidate,stage,topology,noise,comparison,description,layer,mode,contact_i,contact_j,model_joint_n,patient_joint_n,model_i_precedes_j,patient_i_precedes_j,absolute_probability_error,lag_n,lag_mean,lag_median,lag_variance,lag_q05,lag_q95
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL9,ICL11,43,13490,0.5116279069767442,0.5521126760563381,0.04048476907959386,43,-0.44698317438690877,0.08009640221462178,59.27987177941459,-14.468133277255948,14.430719637320951
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL9,SCL8,37,14284,0.2972972972972973,0.6945533464015682,0.39725604910427087,37,-4.072600443946078,-6.690279552916763,70.3874661988598,-13.022996223567679,12.585067876502205
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL9,ICL10,42,13614,0.7142857142857143,0.5811297194064933,0.13315599487922103,42,1.6009673881563695,3.491630401753355,129.43874211684704,-21.04823462540917,17.8243347480392
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL9,SCL7,43,14122,0.27906976744186046,0.5919841382240476,0.31291437078218715,43,-2.339071630439231,-3.4638629125984153,38.58205126192286,-9.430997786577246,8.380737871867037
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL9,ICL9,43,13805,0.6976744186046512,0.5922854038391887,0.10538901476546247,43,3.1021249911803426,8.708683918566749,280.4557356523247,-28.983477958599543,24.319193278443425
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL9,ICL8,43,13369,0.6976744186046512,0.6293290448051463,0.0683453737995049,43,0.3589644091419645,6.831487610281329,443.94641825238017,-37.51404497548974,23.7295675268826
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL9,SCL6,43,12483,0.5813953488372093,0.5901626211647841,0.008767272327574793,43,2.0990753071752626,2.210739173973707,27.182981085420952,-6.571353900277336,11.75597352526529
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL9,ICL7,43,10928,0.6744186046511628,0.712298682284041,0.03788007763287826,43,-0.03329990875997896,9.533561133603143,642.6301172238376,-44.76710524180926,28.641017116223452
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL9,ICL6,43,8257,0.6511627906976745,0.7623834322393122,0.11122064154163769,43,-1.925891257283289,11.39371471314007,777.0009761735676,-50.787997303175324,29.782831999536207
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL9,ICL5,43,10174,0.6046511627906976,0.7711814428936504,0.1665302801029528,43,-3.5801001645925172,15.056154469896683,1030.039311966617,-58.24041644099761,29.313524857133046
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL9,ICL4,43,13638,0.5581395348837209,0.7729505792638217,0.2148110443801008,43,-3.8353607332368123,20.908431216867484,1398.4200272745159,-65.23154975785837,31.20674624116054
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL9,ICL3,43,13829,0.5348837209302325,0.7730855448694772,0.23820182393924472,43,-7.069516513678647,18.327463324974815,1878.849195983364,-75.4273666440029,35.756799499246156
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL9,ICL2,42,12465,0.5238095238095238,0.791255515443241,0.2674459916337172,42,-13.236978401407853,7.4424185741308975,2267.831893934384,-83.14004931696718,41.218395663273895
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL9,ICL1,43,11351,0.5348837209302325,0.7668046868117346,0.23192096588150213,43,-2.784401492865786,19.37737341534921,2114.5566165982937,-74.17345699513662,48.054221703680284
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL11,SCL8,44,15434,0.2727272727272727,0.5692950628482571,0.29656779012098444,44,-2.17918061786923,-7.735632121642993,212.9605921683965,-15.280999008238814,27.68791331274924
