candidate,stage,topology,noise,comparison,description,start_ms,end_ms,n,TA,TB,intervals_ms
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,1500.0,7500.0,16,8,8,"[306.0, 295.0, 344.0, 319.0, 278.0, 366.0, 339.0, 288.0, 257.0, 272.0, 346.0, 298.0, 419.0, 307.0, 300.0]"
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,7500.0,13500.0,17,9,8,"[280.0, 375.0, 328.0, 304.0, 258.0, 314.0, 299.0, 325.0, 262.0, 298.0, 377.0, 329.0, 329.0, 295.0, 288.0, 550.0]"
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,13500.0,19500.0,15,7,8,"[309.0, 376.0, 259.0, 299.0, 326.0, 310.0, 448.0, 280.0, 369.0, 309.0, 767.0, 1080.0, 256.0, 335.0]"
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,19500.0,20000.0,2,0,2,[273.0]
global_axis_+0,response,2511,847102,global_axis_+0,左移圆核｜全局EE轴偏移+0°,1500.0,7500.0,12,6,6,"[306.0, 343.0, 298.0, 1531.0, 274.0, 272.0, 420.0, 737.0, 268.0, 255.0, 894.0]"
global_axis_+0,response,2511,847102,global_axis_+0,左移圆核｜全局EE轴偏移+0°,7500.0,13500.0,14,12,2,"[340.0, 336.0, 1568.0, 316.0, 914.0, 369.0, 287.0, 270.0, 286.0, 306.0, 276.0, 272.0, 338.0]"
global_axis_+0,response,2511,847102,global_axis_+0,左移圆核｜全局EE轴偏移+0°,13500.0,19500.0,12,3,9,"[304.0, 267.0, 255.0, 285.0, 281.0, 285.0, 1192.0, 344.0, 1216.0, 340.0, 399.0]"
global_axis_+0,response,2511,847102,global_axis_+0,左移圆核｜全局EE轴偏移+0°,19500.0,20000.0,1,1,0,[]
global_axis_+0,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+0°,1500.0,7500.0,16,4,12,"[303.0, 304.0, 282.0, 798.0, 321.0, 357.0, 308.0, 293.0, 345.0, 278.0, 256.0, 324.0, 288.0, 318.0, 327.0]"
global_axis_+0,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+0°,7500.0,13500.0,18,9,9,"[315.0, 286.0, 384.0, 315.0, 309.0, 263.0, 303.0, 298.0, 328.0, 265.0, 297.0, 377.0, 306.0, 349.0, 291.0, 297.0, 543.0]"
global_axis_+0,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+0°,13500.0,19500.0,17,9,8,"[311.0, 348.0, 287.0, 293.0, 314.0, 306.0, 381.0, 347.0, 390.0, 297.0, 258.0, 254.0, 266.0, 1084.0, 258.0, 330.0]"
global_axis_+0,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+0°,19500.0,20000.0,2,0,2,[274.0]
global_axis_-15,response,2511,847102,global_axis_+0,左移圆核｜全局EE轴偏移-15°,1500.0,7500.0,12,5,7,"[315.0, 287.0, 300.0, 1590.0, 267.0, 272.0, 428.0, 736.0, 269.0, 256.0, 892.0]"
global_axis_-15,response,2511,847102,global_axis_+0,左移圆核｜全局EE轴偏移-15°,7500.0,13500.0,15,13,2,"[338.0, 348.0, 762.0, 815.0, 284.0, 919.0, 390.0, 274.0, 273.0, 286.0, 310.0, 273.0, 274.0, 350.0]"
global_axis_-15,response,2511,847102,global_axis_+0,左移圆核｜全局EE轴偏移-15°,13500.0,19500.0,13,4,9,"[315.0, 255.0, 253.0, 289.0, 278.0, 288.0, 1193.0, 342.0, 392.0, 849.0, 318.0, 396.0]"
global_axis_-15,response,2511,847102,global_axis_+0,左移圆核｜全局EE轴偏移-15°,19500.0,20000.0,1,1,0,[]
global_axis_-15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移-15°,1500.0,7500.0,10,3,7,"[299.0, 304.0, 273.0, 1101.0, 342.0, 949.0, 851.0, 296.0, 297.0]"
global_axis_-15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移-15°,7500.0,13500.0,17,9,8,"[266.0, 382.0, 325.0, 299.0, 261.0, 315.0, 300.0, 329.0, 263.0, 295.0, 370.0, 314.0, 350.0, 291.0, 294.0, 543.0]"
global_axis_-15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移-15°,13500.0,19500.0,18,11,7,"[318.0, 368.0, 260.0, 293.0, 315.0, 305.0, 388.0, 343.0, 385.0, 285.0, 268.0, 250.0, 257.0, 800.0, 274.0, 262.0, 350.0]"
global_axis_-15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移-15°,19500.0,20000.0,2,0,2,[278.0]
