candidate,noise,L,TB_n,TA_n,TB_order,TB_lag,TB_leftreturn,TB_leftreturn_n,TA_part,TA_lag
up3__circle__EI_same_core_scale_1.25,847102,,0,0,,,,0,,
endpoint__out_parallel15,847101,4.647391727083623,77,61,0.34200158327084884,36.40194107145339,0.02702702702702703,74,0.5245901639344261,100.2574693406932
up3__ellipse4__core_ou_correlation_0.5,847101,8.920611000109927,87,16,0.3754687981843885,36.20543609176707,0.08235294117647059,85,0.78125,92.41898000525543
up3__radius25_dose_matched,847102,13.111601207279895,85,2,0.38808817489447844,36.12634458064713,0.03614457831325301,83,1.0,43.431235020805616
up3__ellipse4__EE_same_core_scale_1.0,847102,8.444403253366739,139,30,0.37610966532719564,35.40319866745267,0.02877697841726619,139,0.44999999999999996,-20.297267402565467
up3__circle,847101,7.561348383147497,105,22,0.33314722618111364,37.035501159887644,0.09574468085106383,94,0.9318181818181819,91.2919629314074
up3__radius25,847102,6.095093806330088,86,35,0.33045043265641866,36.484351360697474,0.06578947368421052,76,0.9142857142857143,91.71357579553296
up3__ellipse4__II_same_core_scale_0.75,847101,7.462385902152192,72,20,0.382753650611402,36.33010162215578,0.08571428571428572,70,0.675,93.65807904956273
up3__circle__EE_same_core_scale_0.75,847101,5.868395753931198,17,9,0.39214846172709916,45.237891790107824,0.0,17,1.0,-22.10473714415275
up3__out_parallel15,847101,6.896098504041861,103,26,0.31322790932833267,36.60881340831111,0.1111111111111111,90,0.9807692307692308,90.96416445654904
up3__circle__core_ou_correlation_1.0,847102,10.451205567681352,103,4,0.37114873868927406,36.237170173887534,0.07142857142857142,98,1.0,56.76105096395986
endpoint__ellipse9,847101,8.112267323658278,79,22,0.4022637051588221,35.959978838094685,0.0,77,0.20454545454545453,36.241847425427295
endpoint__ellipse4,847102,7.006791321104979,84,26,0.37559358642043195,36.417217925409204,0.04938271604938271,81,0.4230769230769231,97.34773370932453
up3__circle__EE_core_to_out_scale_0.75,847102,,3,0,0.4076591580194656,40.54174112486726,0.0,3,,
