candidate,topology,noise,n,lag,order,leftreturn,leftreturn_n,B_minus_A_t10
up3__out_perp20,2612,847201,120,36.57914465897193,0.39546809075348094,0.041666666666666664,120,-61.86135751512779
endpoint__circle,2612,847201,136,36.7828935282123,0.3554108218431115,0.034782608695652174,115,-55.01068254695383
up3__circle,2612,847202,114,36.270494095173945,0.3546272509439323,0.11009174311926606,109,-61.6467556132111
up3__radius25_dose_matched,2611,847201,96,36.54995709640116,0.3890272735341741,0.010752688172043012,93,-69.80076572265159
endpoint__circle,2612,847202,127,36.51563446402997,0.34045537295162565,0.0625,112,-54.79369747899182
up3__circle,2612,847201,115,36.05215914652581,0.3498490322347922,0.11214953271028037,107,-61.79835698282113
up3__circle,2611,847202,101,36.772547028100234,0.3575451848752595,0.023809523809523808,84,-66.35078625509777
up3__out_reference,2612,847202,111,36.252596692866064,0.34859070279356413,0.043010752688172046,93,-60.44607633588021
endpoint__ellipse4,2612,847202,118,36.78813130010076,0.38445300624346024,0.009174311926605505,109,-57.34103543866058
up3__out_perp20,2611,847202,92,36.18870464749125,0.3720732428427355,0.010869565217391304,92,-68.22263980234493
up3__radius25,2612,847202,90,36.035650376252306,0.28470980585268846,0.11538461538461539,78,-31.406240682688804
up3__radius25,2612,847201,102,35.95437732672508,0.3104231417130546,0.06896551724137931,87,-47.57884918752461
up3__ellipse4,2611,847201,109,36.72504633760218,0.3805844505023745,0.0,102,-68.70859564164857
up3__radius25_dose_matched,2611,847202,105,36.88327270094487,0.39212339070501434,0.009900990099009901,101,-68.35285714285783
endpoint__circle,2611,847202,67,36.58896232943334,0.3353693245422309,0.0,54,-55.265034965035284
up3__circle,2611,847201,101,37.19036681821672,0.34708248834801236,0.0,83,-65.95904761904967
up3__ellipse4,2611,847202,95,36.77617213942358,0.3909748964593566,0.010869565217391304,92,-69.69317073170714
up3__out_perp20,2612,847202,110,36.55219396824032,0.38736736421970414,0.03636363636363636,110,-61.70937117067933
endpoint__ellipse4,2611,847202,93,36.902459573531814,0.37015304116354497,0.011494252873563218,87,-62.55722891566256
up3__radius25_dose_matched,2612,847202,134,36.64378084550481,0.3978523780862072,0.0,132,-61.932388895440454
endpoint__ellipse4,2612,847201,128,36.67855746405439,0.3988478888256176,0.0,125,-58.11097650508873
endpoint__circle,2611,847201,26,35.93663365661723,0.34887217140525295,0.0,25,-43.45249999999942
up3__ellipse4,2612,847201,130,36.25990932416789,0.37751613406824547,0.04065040650406504,123,-63.47581430864011
up3__radius25,2611,847201,76,36.51985541287149,0.3412330888575965,0.03225806451612903,62,-56.82016366008884
up3__out_reference,2612,847201,114,36.054675142881024,0.33938173492853163,0.022222222222222223,90,-60.69967959671703
up3__radius25,2611,847202,102,37.82900740038531,0.3232468066489862,0.04,75,-33.429861111109176
up3__radius25_dose_matched,2612,847201,137,36.66156481311191,0.4024635629268528,0.0072992700729927005,137,-61.80196361015987
up3__out_perp20,2611,847201,96,36.59958743662355,0.37602385589421733,0.052083333333333336,96,-66.05202615254166
up3__out_reference,2611,847202,101,36.9386849244911,0.35353195173546004,0.0,81,-65.59495798319404
up3__ellipse4,2612,847202,124,36.20432926365129,0.36494357451548276,0.08403361344537816,119,-62.98661925201759
endpoint__ellipse4,2611,847201,62,36.40611852593247,0.3758115023173069,0.0,59,-61.217310303000886
up3__out_reference,2611,847201,109,37.1974193651331,0.35610057322614375,0.0,88,-65.6692307692283
