candidate,stage,topology,noise,comparison,description,layer,mode,n,SCL_any,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,rank_correlation,rank_shared_contacts,lag_joint_n,SCL_minus_ICL_lag_median_ms,SCL_minus_ICL_lag_q05_ms,SCL_minus_ICL_lag_q95_ms,mean_contacts_per_event,pair_order_probability_mae,pair_order_supported_pairs,local_width_ms_n,local_width_ms_mean,local_width_ms_median,local_width_ms_variance,local_width_ms_q05,local_width_ms_q95,recruitment_span_ms_n,recruitment_span_ms_mean,recruitment_span_ms_median,recruitment_span_ms_variance,recruitment_span_ms_q05,recruitment_span_ms_q95,B_minus_A_t10_ms_n,B_minus_A_t10_ms_mean,B_minus_A_t10_ms_median,B_minus_A_t10_ms_variance,B_minus_A_t10_ms_q05,B_minus_A_t10_ms_q95,B_minus_A_t50_ms_n,B_minus_A_t50_ms_mean,B_minus_A_t50_ms_median,B_minus_A_t50_ms_variance,B_minus_A_t50_ms_q05,B_minus_A_t50_ms_q95,first_10pct_mass_core_share_n,first_10pct_mass_core_share_mean,first_10pct_mass_core_share_median,first_10pct_mass_core_share_variance,first_10pct_mass_core_share_q05,first_10pct_mass_core_share_q95,peak_active_components_n,peak_active_components_mean,peak_active_components_median,peak_active_components_variance,peak_active_components_q05,peak_active_components_q95,peak_largest_component_fraction_n,peak_largest_component_fraction_mean,peak_largest_component_fraction_median,peak_largest_component_fraction_variance,peak_largest_component_fraction_q05,peak_largest_component_fraction_q95,union_active_area_mm2_n,union_active_area_mm2_mean,union_active_area_mm2_median,union_active_area_mm2_variance,union_active_area_mm2_q05,union_active_area_mm2_q95,peak_active_area_mm2_n,peak_active_area_mm2_mean,peak_active_area_mm2_median,peak_active_area_mm2_variance,peak_active_area_mm2_q05,peak_active_area_mm2_q95,native_spatial_rms_mm_n,native_spatial_rms_mm_mean,native_spatial_rms_mm_median,native_spatial_rms_mm_variance,native_spatial_rms_mm_q05,native_spatial_rms_mm_q95,no_SCL
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,primary,ALL,165,1.0,0.993939393939394,0.9988980716253444,1.0,0.1840793366134793,-0.9214285714285712,15,165,33.37775198041345,-36.84874391648045,35.86491507759056,14.975757575757576,0.3215210897970871,105,165,16.618181818181817,16.0,0.8594235033259423,16.0,18.0,165,65.32121212121213,68.0,123.43887657058389,42.0,76.0,165,-12.451463091060486,-51.29850469025405,3234.9436218733126,-63.5317932656064,64.93555645827873,165,-12.979635216144692,-52.553734990135126,3187.8006954704347,-63.46823093359999,63.96249131779477,165,0.2745564935129266,0.2743611953226505,0.0006669861319996,0.2377296976333953,0.3109286323869177,165,2.0242424242424244,2.0,0.3042867701404286,1.0,3.0,165,0.9373387922260218,0.950702548225768,0.0085562361681164,0.8927493979899174,1.0,165,375.6424242424242,375.0,135.7189209164819,347.6,392.4,165,107.78787878787878,101.0,257.48521803399854,90.2,139.59999999999997,165,7.751002424941509,7.75297754238134,0.0145751070930161,7.575504389624465,8.000046139252813,0.0
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,primary,TA,57,1.0,0.9824561403508772,0.996810207336523,1.0,0.1578333477699819,0.782142857142857,15,57,-29.74105552228866,-41.25643331651581,-21.62611779315193,14.929824561403509,0.239259414570462,105,57,16.17543859649123,16.0,0.3258145363408521,16.0,18.0,57,57.6140350877193,60.0,74.20551378446115,41.2,68.0,57,60.49259423237766,62.80578088578113,46.51774918142967,48.16149209723226,65.53352626974575,57,59.470724697252365,61.42248742248921,44.10978736195759,47.617740392304405,64.41246567737953,57,0.2503045372468378,0.2496114172672036,0.0001351219119255,0.2334411286276301,0.2663010452490366,57,1.9824561403508767,2.0,0.0175438596491228,2.0,2.0,57,0.9560338015731396,0.9581755904092302,0.0006067970541973,0.9013594004715524,0.9924722924783128,57,380.12280701754383,382.0,61.96679197994987,364.2,387.0,57,112.21052631578948,110.0,95.91917293233082,100.0,132.39999999999998,57,7.714346011139926,7.716464285200541,0.0087351741577467,7.58234652934267,7.889119454483322,0.0
up3__ellipse4__EI_same_core_scale_0.75__y_plus10,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜y_plus10,primary,TB,108,1.0,1.0,1.0,1.0,0.2319051223820338,0.5249999999999999,15,108,34.86839836437366,-16.94024690556639,35.90479479217656,15.0,0.3487708412500924,105,108,16.85185185185185,16.0,0.987192800276912,16.0,18.0,108,69.38888888888889,74.0,102.01557632398752,42.0,76.0,108,-50.94971556731952,-62.240508849555226,603.454847465344,-63.5890022814112,13.832316350239994,108,-51.217325170437576,-62.27185893507158,590.878411741959,-63.52657093428297,12.97670347622216,108,0.2873561370978068,0.285033751584874,0.0004728990015624,0.2615573865511833,0.3262960597221907,108,2.0462962962962963,2.0,0.4557805469020422,1.0,3.0,108,0.9274719817372652,0.9431808942680387,0.0125122072679841,0.5577166678140322,1.0,108,373.27777777777777,374.0,159.24922118380064,344.35,394.65,108,105.45370370370372,98.0,328.5305469020422,88.7,142.64999999999998,108,7.77034886555901,7.767594416673413,0.0166741548925089,7.573889968407017,8.036415963962996,0.0
up3__circle__EE_core_to_out_scale_1.25__x_minus075,confirmation,2611,847301,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,primary,ALL,160,1.0,0.721875,0.9971590909090908,1.0,0.1857205783173158,-0.7357142857142855,15,160,7.0655548319000445,-21.56421642600453,36.73816227226653,14.39375,0.3248127859819111,105,160,16.325,16.0,0.5352201257861635,16.0,18.0,160,63.775,60.0,432.4018867924528,31.9,94.0,160,-2.576506980190821,-10.466715474067769,3226.077455350658,-69.13690229885124,68.41965306950532,160,-1.5684249903508405,-6.7710833583350905,3009.0730945334885,-66.00734685019616,66.1975898100497,160,0.1403074276125185,0.1297408132081531,0.0023330956669455,0.0788561080770336,0.2214256938216462,160,1.60625,2.0,0.3282625786163521,1.0,2.0,160,0.9607395878815552,0.9870344831223984,0.0056108414241239,0.9034957876338257,1.0,160,366.175,364.0,399.1012578616352,327.0,392.0,160,103.00625,103.0,255.20121855345917,81.95,130.04999999999998,160,7.5641738262536276,7.53215505843419,0.0287656471928439,7.347625858071068,7.864329201909522,0.0
up3__circle__EE_core_to_out_scale_1.25__x_minus075,confirmation,2611,847301,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,primary,TA,58,1.0,0.5344827586206896,0.9968652037617556,1.0,0.1933111568029126,0.7,15,58,-18.9724026118638,-23.525334510970424,-11.504877282626468,14.017241379310343,0.2142425613105788,105,58,16.0,16.0,0.0350877192982456,16.0,16.0,58,48.48275862068966,50.0,129.72776769509983,30.0,54.0,58,63.31560736855098,65.49841364525673,75.44388679699674,43.93386671109174,69.93654708067842,58,61.64328023044544,64.41319458089129,65.51238676494764,43.95811404552724,66.6600354455311,58,0.1463271152793063,0.1417494452382496,0.0016427523988595,0.0870325849690864,0.2046693101371713,58,1.5862068965517242,2.0,0.2468239564428312,1.0,2.0,58,0.9647587686276528,0.9626905838890146,0.0011868343556164,0.9118014164528566,1.0,58,379.6034482758621,384.0,118.0329703569268,360.85,391.15,58,103.82758620689656,103.0,65.79431336963097,88.85,117.9,58,7.603254732932857,7.613937065121241,0.0177601675023595,7.397387141629694,7.83402101916898,0.0
up3__circle__EE_core_to_out_scale_1.25__x_minus075,confirmation,2611,847301,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,primary,TB,102,1.0,0.8284313725490196,0.997326203208556,1.0,0.2072080469836181,0.557142857142857,15,102,35.191397031230736,-11.318735995091991,36.94567941307596,14.607843137254902,0.3163149826090561,105,102,16.50980392156863,16.0,0.7276257037468455,16.0,18.0,102,72.47058823529412,78.0,396.8456610366919,34.1,97.79999999999995,102,-40.0445720020244,-63.54487672396499,1125.0496027541158,-70.07590942028938,21.859865953659,102,-37.512335802176175,-55.43874085684365,1100.75517653536,-66.33078018935885,24.28844335333824,102,0.1368844679588549,0.1247473843333597,0.0027131534715601,0.078547743604484,0.2414490130156634,102,1.6176470588235294,2.0,0.3771112405358184,1.0,2.0,102,0.9584541713788725,0.9910484250570208,0.008148559879652,0.8526715267133516,1.0,102,358.53921568627453,358.0,399.2410211609396,326.0,391.95,102,102.53921568627452,95.0,364.0132983886624,81.0,132.0,102,7.541951349906614,7.50667287678267,0.0338856676449489,7.300178248474406,7.905450233402841,0.0
up3__circle__EE_core_to_out_scale_1.25,response,2511,847101,up3__circle,圆核｜离核EE×1.25，同核EI×1,primary,ALL,146,1.0,0.589041095890411,0.9993773349937732,1.0,0.2024774403355483,-0.35,15,146,-6.632702381259151,-23.84999232546033,36.81286003019068,13.753424657534246,0.2774804566852951,105,146,16.267123287671232,16.0,0.4316013226263581,16.0,18.0,146,58.93150684931507,48.0,582.6297590930562,26.0,93.0,146,9.104137381777534,36.9426666666659,3831.246669477826,-69.05597255851353,73.4835049674075,146,7.058259653584781,27.82223960541819,3406.719715025243,-65.19649859943956,68.11821250471439,146,0.0917281466491189,0.0821208655508645,0.0010857673136844,0.0504973215589246,0.1560361958559252,146,2.212328767123288,2.0,0.4580538497874351,1.0,3.0,146,0.932956763282516,0.9370991936943368,0.003068854538037,0.8520221872041778,1.0,146,356.8972602739726,357.0,371.3479924421351,331.0,389.75,146,99.38356164383562,97.5,59.64496929617383,89.25,113.0,146,7.484314385535295,7.45418723499679,0.0412138588880126,7.218137056628547,7.86579085469113,0.0
up3__circle__EE_core_to_out_scale_1.25,response,2511,847101,up3__circle,圆核｜离核EE×1.25，同核EI×1,primary,TA,71,1.0,0.3380281690140845,0.998719590268886,1.0,0.238838433818508,0.7857142857142856,15,71,-16.460862717292912,-26.93713367187229,-6.632702381259151,13.0,0.1781795447183942,105,71,16.04225352112676,16.0,0.0410462776659959,16.0,16.0,71,42.50704225352113,42.0,181.682092555332,23.0,50.0,71,66.4046120328463,67.48324915824924,59.003870286701655,50.68990091463456,76.46244514106729,71,61.47731979430792,64.18576541688526,75.17279402294417,43.43701276629327,69.07804778914578,71,0.0798436594592777,0.073415113774698,0.0007504456940139,0.0491308343325879,0.1319595834582037,71,2.014084507042253,2.0,0.3283702213279678,1.0,3.0,71,0.9418584622328074,0.9413878284302716,0.0013387873933604,0.8763308118516565,1.0,71,349.7042253521127,345.0,239.26841046277664,332.0,379.5,71,99.056338028169,99.0,58.45392354124749,87.0,111.5,71,7.378748582862647,7.350652675884502,0.017579733749797,7.204647455454304,7.649370846294653,0.0
up3__circle__EE_core_to_out_scale_1.25,response,2511,847101,up3__circle,圆核｜离核EE×1.25，同核EI×1,primary,TB,75,1.0,0.8266666666666667,1.0,1.0,0.2011499705610228,0.5357142857142856,15,75,35.67206936948969,-10.358475077480808,36.96346623062527,14.466666666666669,0.3516017307685317,105,75,16.48,16.0,0.7124324324324324,16.0,18.0,75,74.48,80.0,465.9286486486487,29.4,99.79999999999998,75,-45.140311954567565,-63.048695893448894,1318.898956852506,-70.46324487208167,30.21537878787276,75,-44.45845061296646,-62.30775803144206,1073.0078888769688,-65.8652458348427,27.33606920155976,75,0.1029787945221686,0.0936940730603221,0.0011538333452252,0.0665674093668955,0.1812613815976833,75,2.4,2.0,0.5135135135135135,1.0,3.0,75,0.9245298216095738,0.9347826086956522,0.0045988747593903,0.7577426591711199,1.0,75,363.70666666666665,366.0,404.6695495495496,329.5,394.0,75,99.69333333333331,97.0,61.37765765765766,91.0,115.9,75,7.584250012065404,7.536931330228833,0.0433129678413552,7.292369496849273,7.930798234527951,0.0
follow_ellipse4_out1_EI0.875,response,2511,847102,up3__ellipse4,椭圆4:1｜离核EE×1，同核EI×0.875,primary,ALL,151,1.0,0.7218543046357615,1.0,1.0,0.1694132412366944,-0.9392857142857142,15,151,35.51655431394465,-24.17133625034512,36.758945937484896,14.317880794701988,0.4890818594887099,105,151,16.43046357615894,16.0,0.6601324503311258,16.0,18.0,151,68.70198675496688,76.0,276.2772626931568,39.0,80.0,151,-25.87713240947436,-61.299818475192296,2840.209152031413,-63.71047805361286,64.18794700854778,151,-26.874416319045217,-61.665986969113874,2750.693014354552,-63.78168098564856,62.08492937859046,151,0.206282712193025,0.2064973861090366,0.0019044781015639,0.1407152777128321,0.2908026466237425,151,1.4172185430463575,1.0,0.3514348785871964,1.0,2.0,151,0.9512794432632548,1.0,0.0097369920882552,0.7419272193914809,1.0,151,321.3377483443709,309.0,834.9184988962472,289.0,373.0,151,90.17218543046356,84.0,111.49015452538634,80.0,110.0,151,7.407883033819585,7.359465666174294,0.044138309617486,7.160372418950274,7.858663183001003,0.0
