figure,source,candidate,topology,noise,mode,metric,x,value,support_n
circle_EE_EI_original,followup,up3__circle,2511,847101,TB,participation_mae,1.0,0.185202167669995,105
circle_EE_EI_original,followup,follow_circle_out1.125_EI1,2511,847101,TB,participation_mae,1.125,0.2058075571125938,86
circle_EE_EI_original,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847101,TB,participation_mae,1.25,0.2011499705610228,75
circle_EE_EI_original,followup,up3__circle,2511,847102,TB,participation_mae,1.0,0.1890116914795188,105
circle_EE_EI_original,followup,follow_circle_out1.125_EI1,2511,847102,TB,participation_mae,1.125,0.2038265062943337,81
circle_EE_EI_original,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847102,TB,participation_mae,1.25,0.2050477304678667,77
circle_EE_EI_original,followup,follow_circle_out1_EI0.875,2511,847101,TB,participation_mae,1.0,0.2015843139953662,88
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.875,2511,847101,TB,participation_mae,1.125,0.2185717890487005,85
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.875,2511,847101,TB,participation_mae,1.25,0.2311019095306282,83
circle_EE_EI_original,followup,follow_circle_out1_EI0.875,2511,847102,TB,participation_mae,1.0,0.2006905448431701,89
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.875,2511,847102,TB,participation_mae,1.125,0.2096829001598115,96
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.875,2511,847102,TB,participation_mae,1.25,0.2304714306257614,93
circle_EE_EI_original,followup,up3__circle__EI_same_core_scale_0.75,2511,847101,TB,participation_mae,1.0,0.2011679297873142,87
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.75,2511,847101,TB,participation_mae,1.125,0.2310612405254937,79
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.75,2511,847101,TB,participation_mae,1.25,0.2319051223820338,80
circle_EE_EI_original,followup,up3__circle__EI_same_core_scale_0.75,2511,847102,TB,participation_mae,1.0,0.2050477442660398,95
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.75,2511,847102,TB,participation_mae,1.125,0.2319051223820338,96
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.75,2511,847102,TB,participation_mae,1.25,0.2312033679960689,95
circle_EE_EI_original,followup,up3__circle,2511,847101,TB,rank_correlation,1.0,0.5357142857142856,105
circle_EE_EI_original,followup,follow_circle_out1.125_EI1,2511,847101,TB,rank_correlation,1.125,0.5357142857142856,86
circle_EE_EI_original,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847101,TB,rank_correlation,1.25,0.5357142857142856,75
circle_EE_EI_original,followup,up3__circle,2511,847102,TB,rank_correlation,1.0,0.5428571428571428,105
circle_EE_EI_original,followup,follow_circle_out1.125_EI1,2511,847102,TB,rank_correlation,1.125,0.5357142857142856,81
circle_EE_EI_original,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847102,TB,rank_correlation,1.25,0.5357142857142856,77
circle_EE_EI_original,followup,follow_circle_out1_EI0.875,2511,847101,TB,rank_correlation,1.0,0.5392857142857141,88
circle_EE_EI_original,followup,follow_circle_out1.125_EI0.875,2511,847101,TB,rank_correlation,1.125,0.5142857142857142,85
circle_EE_EI_original,followup,follow_circle_out1.25_EI0.875,2511,847101,TB,rank_correlation,1.25,0.5249999999999999,83
