id,topology,noise,mode,i,j,covariance_ms2
patient_FIT,,,ALL,0,0,191.44103957351322
patient_FIT,,,ALL,0,1,-9.090461769787876
patient_FIT,,,ALL,0,2,6.5407909847881776
patient_FIT,,,ALL,1,0,-9.090461769787876
patient_FIT,,,ALL,1,1,113.23049848499734
patient_FIT,,,ALL,1,2,-25.945321138719407
patient_FIT,,,ALL,2,0,6.5407909847881776
patient_FIT,,,ALL,2,1,-25.945321138719407
patient_FIT,,,ALL,2,2,89.67772818559702
patient_FIT,,,TA,0,0,178.968033372884
patient_FIT,,,TA,0,1,-5.156550284449253
patient_FIT,,,TA,0,2,5.234978856372103
patient_FIT,,,TA,1,0,-5.156550284449253
patient_FIT,,,TA,1,1,109.75461320527016
patient_FIT,,,TA,1,2,-21.4398258019785
patient_FIT,,,TA,2,0,5.234978856372103
patient_FIT,,,TA,2,1,-21.4398258019785
patient_FIT,,,TA,2,2,83.33737878725015
patient_FIT,,,TB,0,0,217.81667640036127
patient_FIT,,,TB,0,1,-10.684857431490277
patient_FIT,,,TB,0,2,2.0910593388621246
patient_FIT,,,TB,1,0,-10.684857431490277
patient_FIT,,,TB,1,1,112.91827304002629
patient_FIT,,,TB,1,2,-29.985940174811237
patient_FIT,,,TB,2,0,2.0910593388621246
patient_FIT,,,TB,2,1,-29.985940174811237
patient_FIT,,,TB,2,2,100.18062232374126
t2511_n847401,2511.0,847401.0,ALL,0,0,50.428424482961226
t2511_n847401,2511.0,847401.0,ALL,0,1,36.14504996825725
t2511_n847401,2511.0,847401.0,ALL,0,2,7.148218521405628
t2511_n847401,2511.0,847401.0,ALL,1,0,36.14504996825725
t2511_n847401,2511.0,847401.0,ALL,1,1,35.255028623397614
t2511_n847401,2511.0,847401.0,ALL,1,2,4.707210438710748
t2511_n847401,2511.0,847401.0,ALL,2,0,7.148218521405628
t2511_n847401,2511.0,847401.0,ALL,2,1,4.707210438710748
t2511_n847401,2511.0,847401.0,ALL,2,2,53.41396750872698
t2511_n847401,2511.0,847401.0,TA,0,0,9.15865323056583
t2511_n847401,2511.0,847401.0,TA,0,1,6.125977714869286
t2511_n847401,2511.0,847401.0,TA,0,2,-23.35317431694316
t2511_n847401,2511.0,847401.0,TA,1,0,6.125977714869286
t2511_n847401,2511.0,847401.0,TA,1,1,8.325132508680454
t2511_n847401,2511.0,847401.0,TA,1,2,-25.10470761855577
t2511_n847401,2511.0,847401.0,TA,2,0,-23.35317431694316
t2511_n847401,2511.0,847401.0,TA,2,1,-25.10470761855577
t2511_n847401,2511.0,847401.0,TA,2,2,107.2467006190056
t2511_n847401,2511.0,847401.0,TB,0,0,32.508862598376915
t2511_n847401,2511.0,847401.0,TB,0,1,14.28040682027095
t2511_n847401,2511.0,847401.0,TB,0,2,5.944616741752645
t2511_n847401,2511.0,847401.0,TB,1,0,14.28040682027095
t2511_n847401,2511.0,847401.0,TB,1,1,14.731429166948752
t2511_n847401,2511.0,847401.0,TB,1,2,4.664883073897972
t2511_n847401,2511.0,847401.0,TB,2,0,5.944616741752645
t2511_n847401,2511.0,847401.0,TB,2,1,4.664883073897972
t2511_n847401,2511.0,847401.0,TB,2,2,10.67461358884293
t2511_n847402,2511.0,847402.0,ALL,0,0,58.43784469887671
t2511_n847402,2511.0,847402.0,ALL,0,1,33.16737609237824
t2511_n847402,2511.0,847402.0,ALL,0,2,-3.248451330902993
t2511_n847402,2511.0,847402.0,ALL,1,0,33.16737609237824
t2511_n847402,2511.0,847402.0,ALL,1,1,35.87700209636473
t2511_n847402,2511.0,847402.0,ALL,1,2,-3.922940528761953
t2511_n847402,2511.0,847402.0,ALL,2,0,-3.248451330902993
t2511_n847402,2511.0,847402.0,ALL,2,1,-3.922940528761953
t2511_n847402,2511.0,847402.0,ALL,2,2,57.1981829237036
t2511_n847402,2511.0,847402.0,TA,0,0,8.854254280259388
t2511_n847402,2511.0,847402.0,TA,0,1,7.133091631456716
t2511_n847402,2511.0,847402.0,TA,0,2,-32.26370732907971
t2511_n847402,2511.0,847402.0,TA,1,0,7.133091631456716
t2511_n847402,2511.0,847402.0,TA,1,1,6.639469219216062
t2511_n847402,2511.0,847402.0,TA,1,2,-28.218940793994985
t2511_n847402,2511.0,847402.0,TA,2,0,-32.26370732907971
t2511_n847402,2511.0,847402.0,TA,2,1,-28.218940793994985
t2511_n847402,2511.0,847402.0,TA,2,2,135.2144079087469
t2511_n847402,2511.0,847402.0,TB,0,0,53.27939404524429
t2511_n847402,2511.0,847402.0,TB,0,1,14.44953099188106
t2511_n847402,2511.0,847402.0,TB,0,2,-2.868862167885121
t2511_n847402,2511.0,847402.0,TB,1,0,14.44953099188106
t2511_n847402,2511.0,847402.0,TB,1,1,19.668028568273666
t2511_n847402,2511.0,847402.0,TB,1,2,-6.002295430871081
t2511_n847402,2511.0,847402.0,TB,2,0,-2.868862167885121
t2511_n847402,2511.0,847402.0,TB,2,1,-6.002295430871081
t2511_n847402,2511.0,847402.0,TB,2,2,5.81315499630564
t2711_n847401,2711.0,847401.0,ALL,0,0,23.491663404782553
t2711_n847401,2711.0,847401.0,ALL,0,1,15.412303968956175
t2711_n847401,2711.0,847401.0,ALL,0,2,22.31745483475979
t2711_n847401,2711.0,847401.0,ALL,1,0,15.412303968956175
t2711_n847401,2711.0,847401.0,ALL,1,1,14.96434214305903
t2711_n847401,2711.0,847401.0,ALL,1,2,23.65414970262215
t2711_n847401,2711.0,847401.0,ALL,2,0,22.31745483475979
t2711_n847401,2711.0,847401.0,ALL,2,1,23.65414970262215
t2711_n847401,2711.0,847401.0,ALL,2,2,48.19019746810001
t2711_n847401,2711.0,847401.0,TA,0,0,11.031777282451339
t2711_n847401,2711.0,847401.0,TA,0,1,2.2667493793675106
t2711_n847401,2711.0,847401.0,TA,0,2,-3.074064357346856
t2711_n847401,2711.0,847401.0,TA,1,0,2.2667493793675106
t2711_n847401,2711.0,847401.0,TA,1,1,0.911817180300918
t2711_n847401,2711.0,847401.0,TA,1,2,-1.9678724021319822
t2711_n847401,2711.0,847401.0,TA,2,0,-3.074064357346856
t2711_n847401,2711.0,847401.0,TA,2,1,-1.9678724021319822
t2711_n847401,2711.0,847401.0,TA,2,2,8.08165988851454
t2711_n847401,2711.0,847401.0,TB,0,0,18.653106610468438
t2711_n847401,2711.0,847401.0,TB,0,1,11.389730819292344
t2711_n847401,2711.0,847401.0,TB,0,2,16.31005753100695
t2711_n847401,2711.0,847401.0,TB,1,0,11.389730819292344
