id,topology,noise,mode,centroid_order,n,denominator,fraction
patient_FIT,,,ALL,SCL9>SCL8>SCL7>SCL6,1327,11888,0.11162516823687753
patient_FIT,,,ALL,SCL9>SCL8>SCL6>SCL7,872,11888,0.07335127860026917
patient_FIT,,,ALL,SCL9>SCL7>SCL8>SCL6,766,11888,0.06443472409152086
patient_FIT,,,ALL,SCL9>SCL7>SCL6>SCL8,701,11888,0.05896702557200539
patient_FIT,,,ALL,SCL9>SCL6>SCL8>SCL7,590,11888,0.04962987886944818
patient_FIT,,,ALL,SCL9>SCL6>SCL7>SCL8,667,11888,0.05610699865410498
patient_FIT,,,ALL,SCL8>SCL9>SCL7>SCL6,365,11888,0.030703230148048453
patient_FIT,,,ALL,SCL8>SCL9>SCL6>SCL7,278,11888,0.02338492597577389
patient_FIT,,,ALL,SCL8>SCL7>SCL9>SCL6,205,11888,0.0172442799461642
patient_FIT,,,ALL,SCL8>SCL7>SCL6>SCL9,154,11888,0.012954239569313594
patient_FIT,,,ALL,SCL8>SCL6>SCL9>SCL7,122,11888,0.010262449528936743
patient_FIT,,,ALL,SCL8>SCL6>SCL7>SCL9,144,11888,0.012113055181695828
patient_FIT,,,ALL,SCL7>SCL9>SCL8>SCL6,442,11888,0.03718034993270525
patient_FIT,,,ALL,SCL7>SCL9>SCL6>SCL8,491,11888,0.0413021534320323
patient_FIT,,,ALL,SCL7>SCL8>SCL9>SCL6,259,11888,0.021786675639300136
patient_FIT,,,ALL,SCL7>SCL8>SCL6>SCL9,254,11888,0.021366083445491253
patient_FIT,,,ALL,SCL7>SCL6>SCL9>SCL8,631,11888,0.053078734858681025
patient_FIT,,,ALL,SCL7>SCL6>SCL8>SCL9,493,11888,0.041470390309555856
patient_FIT,,,ALL,SCL6>SCL9>SCL8>SCL7,420,11888,0.03532974427994617
patient_FIT,,,ALL,SCL6>SCL9>SCL7>SCL8,600,11888,0.05047106325706595
patient_FIT,,,ALL,SCL6>SCL8>SCL9>SCL7,222,11888,0.018674293405114402
patient_FIT,,,ALL,SCL6>SCL8>SCL7>SCL9,261,11888,0.021954912516823688
patient_FIT,,,ALL,SCL6>SCL7>SCL9>SCL8,924,11888,0.07772543741588156
patient_FIT,,,ALL,SCL6>SCL7>SCL8>SCL9,691,11888,0.05812584118438762
patient_FIT,,,TA,SCL9>SCL8>SCL7>SCL6,1027,8779,0.11698371112883016
patient_FIT,,,TA,SCL9>SCL8>SCL6>SCL7,583,8779,0.06640847476933591
patient_FIT,,,TA,SCL9>SCL7>SCL8>SCL6,635,8779,0.07233170064927669
patient_FIT,,,TA,SCL9>SCL7>SCL6>SCL8,586,8779,0.0667501993393325
patient_FIT,,,TA,SCL9>SCL6>SCL8>SCL7,409,8779,0.046588449709534116
patient_FIT,,,TA,SCL9>SCL6>SCL7>SCL8,514,8779,0.05854880965941451
patient_FIT,,,TA,SCL8>SCL9>SCL7>SCL6,247,8779,0.028135322929718647
patient_FIT,,,TA,SCL8>SCL9>SCL6>SCL7,160,8779,0.018225310399817746
patient_FIT,,,TA,SCL8>SCL7>SCL9>SCL6,138,8779,0.015719330219842807
patient_FIT,,,TA,SCL8>SCL7>SCL6>SCL9,86,8779,0.009796104339902039
patient_FIT,,,TA,SCL8>SCL6>SCL9>SCL7,54,8779,0.00615104225993849
patient_FIT,,,TA,SCL8>SCL6>SCL7>SCL9,67,8779,0.0076318487299236815
patient_FIT,,,TA,SCL7>SCL9>SCL8>SCL6,367,8779,0.04180430572958196
patient_FIT,,,TA,SCL7>SCL9>SCL6>SCL8,420,8779,0.04784143979952159
patient_FIT,,,TA,SCL7>SCL8>SCL9>SCL6,203,8779,0.023123362569768765
patient_FIT,,,TA,SCL7>SCL8>SCL6>SCL9,183,8779,0.02084519876979155
patient_FIT,,,TA,SCL7>SCL6>SCL9>SCL8,536,8779,0.06105478983938945
patient_FIT,,,TA,SCL7>SCL6>SCL8>SCL9,385,8779,0.043854653149561454
patient_FIT,,,TA,SCL6>SCL9>SCL8>SCL7,252,8779,0.028704863879712952
patient_FIT,,,TA,SCL6>SCL9>SCL7>SCL8,429,8779,0.04886661350951133
patient_FIT,,,TA,SCL6>SCL8>SCL9>SCL7,124,8779,0.014124615559858753
patient_FIT,,,TA,SCL6>SCL8>SCL7>SCL9,151,8779,0.017200136689827998
patient_FIT,,,TA,SCL6>SCL7>SCL9>SCL8,747,8779,0.0850894179291491
patient_FIT,,,TA,SCL6>SCL7>SCL8>SCL9,467,8779,0.05319512472946805
patient_FIT,,,TB,SCL9>SCL8>SCL7>SCL6,300,3109,0.0964940495336121
patient_FIT,,,TB,SCL9>SCL8>SCL6>SCL7,289,3109,0.09295593438404631
patient_FIT,,,TB,SCL9>SCL7>SCL8>SCL6,131,3109,0.04213573496301062
patient_FIT,,,TB,SCL9>SCL7>SCL6>SCL8,115,3109,0.0369893856545513
patient_FIT,,,TB,SCL9>SCL6>SCL8>SCL7,181,3109,0.05821807655194596
patient_FIT,,,TB,SCL9>SCL6>SCL7>SCL8,153,3109,0.049211965262142165
patient_FIT,,,TB,SCL8>SCL9>SCL7>SCL6,118,3109,0.037954326149887425
patient_FIT,,,TB,SCL8>SCL9>SCL6>SCL7,118,3109,0.037954326149887425
patient_FIT,,,TB,SCL8>SCL7>SCL9>SCL6,67,3109,0.021550337729173367
patient_FIT,,,TB,SCL8>SCL7>SCL6>SCL9,68,3109,0.021871984560952074
patient_FIT,,,TB,SCL8>SCL6>SCL9>SCL7,68,3109,0.021871984560952074
patient_FIT,,,TB,SCL8>SCL6>SCL7>SCL9,77,3109,0.024766806046960438
patient_FIT,,,TB,SCL7>SCL9>SCL8>SCL6,75,3109,0.024123512383403024
patient_FIT,,,TB,SCL7>SCL9>SCL6>SCL8,71,3109,0.022836925056288194
patient_FIT,,,TB,SCL7>SCL8>SCL9>SCL6,56,3109,0.018012222579607592
patient_FIT,,,TB,SCL7>SCL8>SCL6>SCL9,71,3109,0.022836925056288194
patient_FIT,,,TB,SCL7>SCL6>SCL9>SCL8,95,3109,0.030556449018977163
patient_FIT,,,TB,SCL7>SCL6>SCL8>SCL9,108,3109,0.03473785783210035
patient_FIT,,,TB,SCL6>SCL9>SCL8>SCL7,168,3109,0.05403666773882277
patient_FIT,,,TB,SCL6>SCL9>SCL7>SCL8,171,3109,0.055001608234158894
patient_FIT,,,TB,SCL6>SCL8>SCL9>SCL7,98,3109,0.03152138951431328
patient_FIT,,,TB,SCL6>SCL8>SCL7>SCL9,110,3109,0.035381151495657764
patient_FIT,,,TB,SCL6>SCL7>SCL9>SCL8,177,3109,0.056931489224831135
patient_FIT,,,TB,SCL6>SCL7>SCL8>SCL9,224,3109,0.07204889031843037
t2511_n847401,2511.0,847401.0,ALL,SCL9>SCL8>SCL7>SCL6,13,66,0.19696969696969696
t2511_n847401,2511.0,847401.0,ALL,SCL9>SCL8>SCL6>SCL7,3,66,0.045454545454545456
t2511_n847401,2511.0,847401.0,ALL,SCL9>SCL7>SCL8>SCL6,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL9>SCL7>SCL6>SCL8,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL9>SCL6>SCL8>SCL7,12,66,0.18181818181818182
t2511_n847401,2511.0,847401.0,ALL,SCL9>SCL6>SCL7>SCL8,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL8>SCL9>SCL7>SCL6,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL8>SCL9>SCL6>SCL7,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL8>SCL7>SCL9>SCL6,2,66,0.030303030303030304
t2511_n847401,2511.0,847401.0,ALL,SCL8>SCL7>SCL6>SCL9,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL8>SCL6>SCL9>SCL7,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL8>SCL6>SCL7>SCL9,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL7>SCL9>SCL8>SCL6,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL7>SCL9>SCL6>SCL8,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL7>SCL8>SCL9>SCL6,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL7>SCL8>SCL6>SCL9,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL7>SCL6>SCL9>SCL8,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL7>SCL6>SCL8>SCL9,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL6>SCL9>SCL8>SCL7,2,66,0.030303030303030304
t2511_n847401,2511.0,847401.0,ALL,SCL6>SCL9>SCL7>SCL8,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL6>SCL8>SCL9>SCL7,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL6>SCL8>SCL7>SCL9,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,SCL6>SCL7>SCL9>SCL8,1,66,0.015151515151515152
t2511_n847401,2511.0,847401.0,ALL,SCL6>SCL7>SCL8>SCL9,33,66,0.5
t2511_n847401,2511.0,847401.0,TA,SCL9>SCL8>SCL7>SCL6,11,26,0.4230769230769231
t2511_n847401,2511.0,847401.0,TA,SCL9>SCL8>SCL6>SCL7,2,26,0.07692307692307693
t2511_n847401,2511.0,847401.0,TA,SCL9>SCL7>SCL8>SCL6,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL9>SCL7>SCL6>SCL8,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL9>SCL6>SCL8>SCL7,9,26,0.34615384615384615
t2511_n847401,2511.0,847401.0,TA,SCL9>SCL6>SCL7>SCL8,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL8>SCL9>SCL7>SCL6,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL8>SCL9>SCL6>SCL7,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,SCL8>SCL7>SCL9>SCL6,2,26,0.07692307692307693
t2511_n847401,2511.0,847401.0,TA,SCL8>SCL7>SCL6>SCL9,0,26,0.0
