id,topology,noise,mode,n,mean,median,variance,q05,q95
patient_FIT,,,ALL,11888,17.84934614163549,14.0848388671875,187.01601412874737,4.796875,44.928613281249994
patient_FIT,,,TA,8779,17.911897716876354,14.2392578125,178.30671648157127,4.8822265625000005,44.646887207031256
patient_FIT,,,TB,3109,17.67271691068034,13.68359375,211.63180786954058,4.4134765625,46.1545654296875
t2511_n847401,2511.0,847401.0,ALL,66,17.984288755396605,20.878341942299357,21.145910330486117,9.502544181350459,22.118826035195298
t2511_n847401,2511.0,847401.0,TA,26,14.481113008179591,14.058892286543369,12.571330395371813,7.957074325573558,19.829435677478614
t2511_n847401,2511.0,847401.0,TB,40,20.261352991087666,21.861573180172854,13.685174411426756,11.849177702419365,22.160180503919538
t2511_n847402,2511.0,847402.0,ALL,73,18.206742850849672,20.19259134785534,17.39350470699958,10.672569583711994,22.07649393487518
t2511_n847402,2511.0,847402.0,TA,27,14.570355707322877,13.938105259679105,10.723467710154198,10.228579723890288,19.998220937414953
t2511_n847402,2511.0,847402.0,TB,46,20.341144000311054,21.899349008121135,9.042933973572389,13.18318456157158,22.08396314042966
t2711_n847401,2711.0,847401.0,ALL,131,13.691959566372672,11.281966613722034,36.06252557300006,6.532430039205792,22.403016622092537
t2711_n847401,2711.0,847401.0,TA,69,9.913198587361606,10.092862379011422,3.9322743246891405,6.828596690766426,12.483875776518834
t2711_n847401,2711.0,847401.0,TB,62,17.897354849465632,21.880860544521056,38.34407572451025,6.060255712394793,22.490443181162483
t2711_n847402,2711.0,847402.0,ALL,146,14.747764507239431,11.67982195831246,54.15114029673498,6.626292444616865,22.385062457606182
t2711_n847402,2711.0,847402.0,TA,61,10.045392401511174,10.467763773689512,3.0572986417517143,6.722975480770401,12.009222902361216
t2711_n847402,2711.0,847402.0,TB,85,18.12240801840912,21.772911172018212,63.70986089906063,6.3684804860400615,22.4605023126227
t2712_n847401,2712.0,847401.0,ALL,67,20.63680809898725,21.98996490454374,16.115283844593307,10.675771786019505,23.152770532450084
t2712_n847401,2712.0,847401.0,TA,7,10.685939541666812,10.584911387499233,0.24175360582186137,10.191805166272388,11.381678983866731
t2712_n847401,2712.0,847401.0,TB,60,21.797742764007968,22.23607575909955,4.883958627219348,20.670035959136296,23.161837465450663
t2712_n847402,2712.0,847402.0,ALL,78,21.482543159125967,22.00645611092432,7.399022433752736,19.302724196802867,23.094875506391872
t2712_n847402,2712.0,847402.0,TA,1,10.413396914445912,10.413396914445912,,10.413396914445912,10.413396914445912
t2712_n847402,2712.0,847402.0,TB,77,21.626298305160773,22.041345562494826,5.863256343131076,20.84261825259091,23.09488830603732
