id,topology,noise,mode,tolerance_ms,shape,n,denominator,fraction
patient_FIT,,,ALL,0,+++,1327,11888,0.11162516823687753
patient_FIT,,,ALL,0,++-,1883,11888,0.1583950201884253
patient_FIT,,,ALL,0,++0,0,11888,0.0
patient_FIT,,,ALL,0,+-+,3032,11888,0.2550471063257066
patient_FIT,,,ALL,0,+--,2192,11888,0.18438761776581428
patient_FIT,,,ALL,0,+-0,1,11888,8.411843876177658e-05
patient_FIT,,,ALL,0,+0+,1,11888,8.411843876177658e-05
patient_FIT,,,ALL,0,+0-,2,11888,0.00016823687752355316
patient_FIT,,,ALL,0,+00,0,11888,0.0
patient_FIT,,,ALL,0,-++,724,11888,0.060901749663526246
patient_FIT,,,ALL,0,-+-,1029,11888,0.0865578734858681
patient_FIT,,,ALL,0,-+0,0,11888,0.0
patient_FIT,,,ALL,0,--+,1006,11888,0.08462314939434724
patient_FIT,,,ALL,0,---,691,11888,0.05812584118438762
patient_FIT,,,ALL,0,--0,0,11888,0.0
patient_FIT,,,ALL,0,-0+,0,11888,0.0
patient_FIT,,,ALL,0,-0-,0,11888,0.0
patient_FIT,,,ALL,0,-00,0,11888,0.0
patient_FIT,,,ALL,0,0++,0,11888,0.0
patient_FIT,,,ALL,0,0+-,0,11888,0.0
patient_FIT,,,ALL,0,0+0,0,11888,0.0
patient_FIT,,,ALL,0,0-+,0,11888,0.0
patient_FIT,,,ALL,0,0--,0,11888,0.0
patient_FIT,,,ALL,0,0-0,0,11888,0.0
patient_FIT,,,ALL,0,00+,0,11888,0.0
patient_FIT,,,ALL,0,00-,0,11888,0.0
patient_FIT,,,ALL,0,000,0,11888,0.0
patient_FIT,,,ALL,2,+++,727,11888,0.06115410497981157
patient_FIT,,,ALL,2,++-,1091,11888,0.09177321668909826
patient_FIT,,,ALL,2,++0,363,11888,0.030534993270524897
patient_FIT,,,ALL,2,+-+,1992,11888,0.16756393001345896
patient_FIT,,,ALL,2,+--,1194,11888,0.10043741588156124
patient_FIT,,,ALL,2,+-0,776,11888,0.06527590847913863
patient_FIT,,,ALL,2,+0+,381,11888,0.03204912516823688
patient_FIT,,,ALL,2,+0-,524,11888,0.04407806191117093
patient_FIT,,,ALL,2,+00,200,11888,0.016823687752355317
patient_FIT,,,ALL,2,-++,349,11888,0.029357335127860026
patient_FIT,,,ALL,2,-+-,521,11888,0.0438257065948856
patient_FIT,,,ALL,2,-+0,201,11888,0.016907806191117092
patient_FIT,,,ALL,2,--+,467,11888,0.03928331090174966
patient_FIT,,,ALL,2,---,265,11888,0.022291386271870793
patient_FIT,,,ALL,2,--0,176,11888,0.014804845222072678
patient_FIT,,,ALL,2,-0+,191,11888,0.016066621803499326
patient_FIT,,,ALL,2,-0-,167,11888,0.014047779273216689
patient_FIT,,,ALL,2,-00,112,11888,0.009421265141318977
patient_FIT,,,ALL,2,0++,201,11888,0.016907806191117092
patient_FIT,,,ALL,2,0+-,385,11888,0.032385598923283986
patient_FIT,,,ALL,2,0+0,142,11888,0.011944818304172275
patient_FIT,,,ALL,2,0-+,508,11888,0.042732166890982505
patient_FIT,,,ALL,2,0--,296,11888,0.02489905787348587
patient_FIT,,,ALL,2,0-0,193,11888,0.016234858681022882
patient_FIT,,,ALL,2,00+,164,11888,0.01379542395693136
patient_FIT,,,ALL,2,00-,197,11888,0.016571332436069987
patient_FIT,,,ALL,2,000,105,11888,0.008832436069986542
patient_FIT,,,ALL,5,+++,296,11888,0.02489905787348587
patient_FIT,,,ALL,5,++-,429,11888,0.036086810228802155
patient_FIT,,,ALL,5,++0,469,11888,0.03945154777927322
patient_FIT,,,ALL,5,+-+,935,11888,0.0786507402422611
patient_FIT,,,ALL,5,+--,361,11888,0.030366756393001345
patient_FIT,,,ALL,5,+-0,1031,11888,0.08672611036339166
patient_FIT,,,ALL,5,+0+,476,11888,0.04004037685060565
patient_FIT,,,ALL,5,+0-,599,11888,0.05038694481830417
