id,topology,noise,mode,n,complete4_n,complete4_fraction,participating_0_n,participating_1_n,participating_2_n,participating_3_n,participating_4_n,SCL9_participation,SCL8_participation,SCL7_participation,SCL6_participation
patient_FIT,,,ALL,19770,11888,0.6013151239251391,347,1053,2266,4216,11888,0.753313100657562,0.8803743045017703,0.9031360647445624,0.7906929691451694
patient_FIT,,,TA,13165,8779,0.6668439042916825,160,515,1205,2506,8779,0.7913406760349412,0.9051272312951006,0.9323205469046715,0.8318268135206989
patient_FIT,,,TB,6605,3109,0.47070401211203633,187,538,1061,1710,3109,0.6775170325510976,0.8310370931112794,0.8449659348978047,0.7087055261165783
t2511_n847401,2511.0,847401.0,ALL,139,66,0.4748201438848921,0,8,37,28,66,0.8057553956834532,0.6546762589928058,0.6402877697841727,0.9928057553956835
t2511_n847401,2511.0,847401.0,TA,90,26,0.28888888888888886,0,8,33,23,26,0.7222222222222222,0.5111111111111111,0.5222222222222223,0.9888888888888889
t2511_n847401,2511.0,847401.0,TB,49,40,0.8163265306122449,0,0,4,5,40,0.9591836734693877,0.9183673469387755,0.8571428571428571,1.0
t2511_n847402,2511.0,847402.0,ALL,144,73,0.5069444444444444,0,3,39,29,73,0.8402777777777778,0.6875,0.6736111111111112,0.9930555555555556
t2511_n847402,2511.0,847402.0,TA,79,27,0.34177215189873417,0,3,29,20,27,0.7721518987341772,0.5822784810126582,0.5569620253164557,0.9873417721518988
t2511_n847402,2511.0,847402.0,TB,65,46,0.7076923076923077,0,0,10,9,46,0.9230769230769231,0.8153846153846154,0.8153846153846154,1.0
t2711_n847401,2711.0,847401.0,ALL,144,131,0.9097222222222222,0,0,6,7,131,0.9861111111111112,0.9305555555555556,0.9513888888888888,1.0
t2711_n847401,2711.0,847401.0,TA,78,69,0.8846153846153846,0,0,3,6,69,0.9743589743589743,0.9102564102564102,0.9615384615384616,1.0
t2711_n847401,2711.0,847401.0,TB,66,62,0.9393939393939394,0,0,3,1,62,1.0,0.9545454545454546,0.9393939393939394,1.0
t2711_n847402,2711.0,847402.0,ALL,158,146,0.9240506329113924,0,0,4,8,146,0.9936708860759493,0.9430379746835443,0.9620253164556962,1.0
t2711_n847402,2711.0,847402.0,TA,65,61,0.9384615384615385,0,0,2,2,61,0.9846153846153847,0.9538461538461539,0.9692307692307692,1.0
t2711_n847402,2711.0,847402.0,TB,93,85,0.9139784946236559,0,0,2,6,85,1.0,0.9354838709677419,0.956989247311828,1.0
t2712_n847401,2712.0,847401.0,ALL,165,67,0.40606060606060607,0,2,56,40,67,0.8363636363636363,0.4666666666666667,0.7393939393939394,1.0
t2712_n847401,2712.0,847401.0,TA,87,7,0.08045977011494253,0,0,45,35,7,0.8045977011494253,0.14942528735632185,0.6091954022988506,1.0
t2712_n847401,2712.0,847401.0,TB,78,60,0.7692307692307693,0,2,11,5,60,0.8717948717948718,0.8205128205128205,0.8846153846153846,1.0
t2712_n847402,2712.0,847402.0,ALL,174,78,0.4482758620689655,0,0,51,45,78,0.896551724137931,0.46551724137931033,0.7931034482758621,1.0
t2712_n847402,2712.0,847402.0,TA,71,1,0.014084507042253521,0,0,32,38,1,0.9154929577464789,0.04225352112676056,0.6056338028169014,1.0
t2712_n847402,2712.0,847402.0,TB,103,77,0.7475728155339806,0,0,19,7,77,0.883495145631068,0.7572815533980582,0.9223300970873787,1.0
