name,ee,depth,seed,topology,noise,family,duration_ms,group,observed_s,n_neurons,onset_threshold,mean_rate_hz,max_fraction_10ms,label,n_bursts,iei_median_s,cv,cv2,lag1_log_iei_r,half_median_ratio,burst_duty,max_burst_s,acf_peak,spectral_peak_hz,threshold_stable,median_peak_active_fraction_2ms,ordering_p,ordering_peak_hz,ordering_peak_score,v1_label,measurement_version,actual_duration_ms
ee0.85_d1_n1_t2511_s848101,0.85,1.0,848101,2511,True,grid,20000.0,coreAE,18.0,720,0.1,10.746527777777779,1.0,variable_bursts,63,0.27,0.3450657538131633,0.35760963328411166,-0.16316745291966323,1.037037037037028,0.11888888888888892,0.08,0.19891230235772756,3.5,True,0.625,0.71,5.444444444444444,4.079780044112995,variable_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2511_s848101,0.85,1.0,848101,2511,True,grid,20000.0,coreBE,18.0,742,0.1,5.916666666666666,1.0,variable_bursts,61,0.2950000000000005,0.27777735022481653,0.3254538264301906,0.016078669566340572,1.087719298245616,0.11611111111111118,0.08,0.06796842804278026,2.75,True,0.19002695417789758,0.67,6.0,4.136099562700986,variable_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2511_s848101,0.85,1.0,848101,2511,True,grid,20000.0,coreUnionE,18.0,1462,0.1,8.295257637938896,0.5075239398084815,patterned_bursts,107,0.16000000000000014,0.6290456567351027,0.9886863391041536,-0.605682018908499,1.7000000000000355,0.19444444444444428,0.1,0.017069888908395787,3.5,True,0.1354309165526676,0.02,11.555555555555555,7.637407119028765,irregular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2511_s848101,0.85,1.0,848101,2511,True,grid,20000.0,allE,18.0,32000,0.1,8.39034375,0.242875,regular_bursts,54,0.31000000000000005,0.2685890271067835,0.2372547224481882,0.01213538129735779,1.172413793103446,0.34388888888888874,0.18,0.2585415177615265,3.5,True,0.106046875,0.345,11.555555555555555,4.827476979698678,regular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2511_s848101,0.85,1.0,848101,2511,True,grid,20000.0,surroundE,18.0,30538,0.1,8.394895976597462,0.23511690353002815,regular_bursts,54,0.31000000000000005,0.26918829192536103,0.2415060359708564,0.003492450775494624,1.1525423728813537,0.33888888888888863,0.18,0.2609374462359594,3.5,True,0.10169297268976357,0.255,11.555555555555555,5.006993110443303,regular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2511_s848102,0.85,1.0,848102,2511,True,grid,20000.0,coreAE,18.0,720,0.1,9.412577160493829,1.0,variable_bursts,61,0.28,0.34969392886263945,0.35736574673554405,-0.019329763082587877,1.0545454545454518,0.11722222222222227,0.09,0.1254551680523487,3.0,True,0.35694444444444445,0.385,10.944444444444445,4.872742018799233,variable_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2511_s848102,0.85,1.0,848102,2511,True,grid,20000.0,coreBE,18.0,742,0.1,5.235100329439952,1.0,variable_bursts,55,0.3249999999999984,0.3102532235156654,0.3091691435233743,-0.025386301612780028,1.0645161290322558,0.10555555555555562,0.08,0.09015187437534557,3.0,True,0.1940700808625337,0.575,13.5,4.269620311296006,variable_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2511_s848102,0.85,1.0,848102,2511,True,grid,20000.0,coreUnionE,18.0,1462,0.1,7.292407660738715,0.5225718194254446,irregular_bursts,91,0.1849999999999996,0.6910095676207783,1.042042914269162,-0.6299297133116103,1.3529411764705912,0.17666666666666658,0.1,0.04682499619591273,3.0,True,0.13885088919288646,0.18,3.0,5.678433590990626,irregular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2511_s848102,0.85,1.0,848102,2511,True,grid,20000.0,allE,18.0,32000,0.1,7.908645833333333,0.25640625,variable_bursts,48,0.33999999999999986,0.3540879935898391,0.28954337515253614,0.19419801387593352,1.0937500000000022,0.3305555555555555,0.21,0.1887725016278308,3.0,True,0.108296875,0.275,14.388888888888888,5.009054763130395,variable_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.85_d1_n1_t2511_s848102,0.85,1.0,848102,2511,True,grid,20000.0,surroundE,18.0,30538,0.1,7.938148099635427,0.2616412338725522,variable_bursts,48,0.33999999999999986,0.35188192472946306,0.2879065854432266,0.21072103894709493,1.1093750000000004,0.3261111111111111,0.21,0.18698659744535542,3.0,True,0.1042307944200668,0.855,12.666666666666666,3.751825054257505,variable_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
