run,ee,seed,group,arm,contrast,context,lo_s,hi_s,burst_rate_hz,label,n_bursts,mean_rate_hz,cv,cv2,median_peak_active_fraction_2ms,iei_median_s
ee0.7_s848101_all_off_probe,0.7,848101,coreAE,all_off_probe,all_removed,baseline,8.0,12.0,1.75,sparse_bursts,7,0.9940972222222223,0.6399081661757735,0.46981071993321305,0.05138888888888889,0.4699999999999998
ee0.7_s848101_all_off_probe,0.7,848101,coreAE,all_off_probe,all_removed,intervention,8.0,12.0,0.0,background,0,0.0,,,,
ee0.7_s848101_all_off_probe,0.7,848101,coreBE,all_off_probe,all_removed,baseline,8.0,12.0,2.0,irregular_bursts,8,1.133423180592992,0.5661035691715842,0.5179788325582454,0.05323450134770889,0.33000000000000007
ee0.7_s848101_all_off_probe,0.7,848101,coreBE,all_off_probe,all_removed,intervention,8.0,12.0,0.0,background,0,0.0,,,,
ee0.7_s848101_all_off_probe,0.7,848101,coreAE,all_off_probe,probe_late,baseline,14.0,20.0,1.3333333333333333,irregular_bursts,8,0.8601851851851852,0.619932562456465,0.9002298908064201,0.04791666666666666,0.75
ee0.7_s848101_all_off_probe,0.7,848101,coreAE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee0.7_s848101_all_off_probe,0.7,848101,coreBE,all_off_probe,probe_late,baseline,14.0,20.0,2.0,irregular_bursts,12,0.9256513926325245,0.852159236301044,0.8257508089459872,0.05525606469002695,0.2400000000000002
ee0.7_s848101_all_off_probe,0.7,848101,coreBE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee0.7_s848101_ou_off,0.7,848101,coreAE,ou_off,ou_removed,baseline,8.0,20.0,1.6666666666666667,irregular_bursts,20,0.9373842592592593,0.6300680643115161,0.6771289846754749,0.05,0.5599999999999996
ee0.7_s848101_ou_off,0.7,848101,coreAE,ou_off,ou_removed,intervention,8.0,20.0,0.5,sparse_bursts,6,0.9541666666666667,0.6014101623793539,0.6740237692277243,0.0375,2.0199999999999996
ee0.7_s848101_ou_off,0.7,848101,coreBE,ou_off,ou_removed,baseline,8.0,20.0,1.9166666666666667,irregular_bursts,23,0.9705750224618148,0.7251413707687473,0.712239767976324,0.05256064690026954,0.3600000000000003
ee0.7_s848101_ou_off,0.7,848101,coreBE,ou_off,ou_removed,intervention,8.0,20.0,1.0,irregular_bursts,12,0.9430592991913745,0.8410337869603289,1.0437629873404453,0.0431266846361186,0.6599999999999984
ee0.7_s848102_all_off_probe,0.7,848102,coreAE,all_off_probe,all_removed,baseline,8.0,12.0,1.25,sparse_bursts,5,0.8541666666666666,1.1847129894001702,0.9512310256496305,0.04583333333333333,0.4000000000000001
ee0.7_s848102_all_off_probe,0.7,848102,coreAE,all_off_probe,all_removed,intervention,8.0,12.0,0.0,background,0,0.0,,,,
ee0.7_s848102_all_off_probe,0.7,848102,coreBE,all_off_probe,all_removed,baseline,8.0,12.0,2.0,irregular_bursts,8,0.8517520215633424,0.7260153286119132,0.8034031646613379,0.04245283018867924,0.22000000000000003
ee0.7_s848102_all_off_probe,0.7,848102,coreBE,all_off_probe,all_removed,intervention,8.0,12.0,0.0,background,0,0.0,,,,
ee0.7_s848102_all_off_probe,0.7,848102,coreAE,all_off_probe,probe_late,baseline,14.0,20.0,1.5,irregular_bursts,9,0.9497685185185185,0.7179889526133718,0.5753567476495605,0.04027777777777778,0.74
ee0.7_s848102_all_off_probe,0.7,848102,coreAE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee0.7_s848102_all_off_probe,0.7,848102,coreBE,all_off_probe,probe_late,baseline,14.0,20.0,1.1666666666666667,sparse_bursts,7,0.846136567834681,0.6860903448944052,0.5356234520227316,0.04043126684636118,0.52
ee0.7_s848102_all_off_probe,0.7,848102,coreBE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee0.7_s848102_ou_off,0.7,848102,coreAE,ou_off,ou_removed,baseline,8.0,20.0,1.5,irregular_bursts,18,0.9232638888888889,0.8429114904332916,0.6536892109314449,0.04513888888888889,0.5
ee0.7_s848102_ou_off,0.7,848102,coreAE,ou_off,ou_removed,intervention,8.0,20.0,0.8333333333333334,irregular_bursts,10,0.9581018518518519,0.8677431041339958,0.8905204908633442,0.03819444444444445,0.73
ee0.7_s848102_ou_off,0.7,848102,coreBE,ou_off,ou_removed,baseline,8.0,20.0,1.5,irregular_bursts,18,0.8528751123090745,0.7716213546871561,0.7401084039864589,0.041105121293800534,0.45000000000000107
ee0.7_s848102_ou_off,0.7,848102,coreBE,ou_off,ou_removed,intervention,8.0,20.0,0.5,sparse_bursts,6,0.8900494159928121,1.0789362498391808,1.4389653367407405,0.03504043126684636,1.200000000000001
ee0.85_s848101_all_off_probe,0.85,848101,coreAE,all_off_probe,all_removed,baseline,8.0,12.0,4.0,variable_bursts,16,15.061111111111112,0.15270684188867972,0.2094521729238368,0.6916666666666667,0.25
ee0.85_s848101_all_off_probe,0.85,848101,coreAE,all_off_probe,all_removed,intervention,8.0,12.0,0.0,background,0,0.0,,,,
ee0.85_s848101_all_off_probe,0.85,848101,coreBE,all_off_probe,all_removed,baseline,8.0,12.0,3.75,variable_bursts,15,5.190363881401618,0.261259104855397,0.3239447668570902,0.1792452830188679,0.2799999999999998
ee0.85_s848101_all_off_probe,0.85,848101,coreBE,all_off_probe,all_removed,intervention,8.0,12.0,0.0,background,0,0.0,,,,
ee0.85_s848101_all_off_probe,0.85,848101,coreAE,all_off_probe,probe_late,baseline,14.0,20.0,3.5,regular_bursts,21,12.931944444444445,0.270637191451101,0.363350524495223,0.6833333333333333,0.2650000000000001
ee0.85_s848101_all_off_probe,0.85,848101,coreAE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee0.85_s848101_all_off_probe,0.85,848101,coreBE,all_off_probe,probe_late,baseline,14.0,20.0,3.5,regular_bursts,21,5.993261455525607,0.29705355758026725,0.3534198503215645,0.21159029649595687,0.2849999999999999
ee0.85_s848101_all_off_probe,0.85,848101,coreBE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee0.85_s848101_ou_off,0.85,848101,coreAE,ou_off,ou_removed,baseline,8.0,20.0,3.5833333333333335,regular_bursts,43,12.265162037037037,0.27821580429072945,0.31875747552085176,0.6791666666666667,0.2699999999999998
ee0.85_s848101_ou_off,0.85,848101,coreAE,ou_off,ou_removed,intervention,8.0,20.0,3.4166666666666665,regular_bursts,41,11.463541666666666,0.25174144555077377,0.3019917062684224,0.6722222222222223,0.2999999999999998
