number,g,context,mean_A_hz,mean_B_hz,network_mean_hz,A_label,B_label,A_CV,B_CV,A_CV2,B_CV2,A_n_bursts,B_n_bursts,source
1,0.5,Original resting example,0.7551388888888889,0.6588948787061994,0.027214999999999996,background,background,,,,,0,0,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/burst_regime_map_20260914/per_run/ee0.5_d1_n1_t2511_s848101/trajectory.npz
2,0.7,Original irregular example,0.9347222222222222,0.9839622641509436,0.0492125,irregular_bursts,irregular_bursts,0.7520486497602913,0.6580405890727016,0.715600890951251,0.6960827515576918,16,16,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/burst_regime_map_20260914/per_run/ee0.7_d1_n1_t2511_s848101/trajectory.npz
3,0.85,Original intermediate example,10.65,5.3037735849056595,10.2142825,variable_bursts,variable_bursts,0.37573546054905377,0.269991954781779,0.34345475161498884,0.31181107851973533,36,34,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/burst_regime_map_20260914/per_run/ee0.85_d1_n1_t2511_s848101/trajectory.npz
4,1.0,Original regular example,19.05097222222222,18.774528301886793,14.759725,regular_bursts,regular_bursts,0.09390701029555998,0.12025643148252925,0.11862252205430279,0.11641775604195541,35,34,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/burst_regime_map_20260914/per_run/ee1_d1_n1_t2511_s848101/trajectory.npz
5,1.1,Below reduced fold,24.095694444444447,24.403234501347708,16.365855,regular_bursts,regular_bursts,0.11869817939639034,0.11701114510239982,0.1555466248180765,0.1137077552671471,35,35,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/core_network_bifurcation_v7_20260916/native/per_run/J1.1_s848101/trajectory.npz
6,1.14,Above reduced fold,26.435,26.72129380053908,17.11997,regular_bursts,regular_bursts,0.10819700278953938,0.12019290927991037,0.12911375596916275,0.1084787556283563,36,36,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/core_network_bifurcation_v7_20260916/native/per_run/J1.14_s848101/trajectory.npz
7,1.17623,Below reduced recruitment interval,27.87236111111111,28.068598382749325,17.27414,regular_bursts,regular_bursts,0.12618672284306187,0.11772659435235126,0.1466635308219951,0.11092019689122656,36,36,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/core_network_bifurcation_v7_20260916/native/per_run/J1.17623_s848101/trajectory.npz
8,1.17632,Above reduced recruitment interval,27.875277777777775,28.068598382749325,17.279407499999998,regular_bursts,regular_bursts,0.12618672284306187,0.11772659435235126,0.1466635308219951,0.11092019689122656,36,36,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/core_network_bifurcation_v7_20260916/native/per_run/J1.17632_s848101/trajectory.npz
9,1.24,Below reduced waveform-change region,29.823888888888888,31.261320754716984,17.584207499999998,regular_bursts,regular_bursts,0.09940988318628444,0.09920652378792537,0.11856954812654374,0.08937868846857215,36,36,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/core_network_bifurcation_v7_20260916/native/per_run/J1.24_s848101/trajectory.npz
10,1.25,Above reduced waveform-change region,30.265,31.30309973045822,17.6545025,regular_bursts,regular_bursts,0.1177835667698439,0.1040352047548755,0.11886469758558879,0.09892213206660268,36,36,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/core_network_bifurcation_v7_20260916/native/per_run/J1.25_s848101/trajectory.npz
11,1.34,Below reduced PD1,34.205,35.29757412398922,18.701954999999998,regular_bursts,regular_bursts,0.09667837663605024,0.07081699296051434,0.12273979452819371,0.07794847115507886,37,37,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/core_network_bifurcation_v7_20260916/native/per_run/J1.34_s848101/trajectory.npz
