name,seed,eta_m,population,phase,window_s,count,event_frequency_Hz,median_duration_ms,median_onset_interval_ms,median_quiet_gap_ms,active_fraction,mean_rate_Hz,mean_Z
baseline_s9108401,9108401,0.005,All E,early,"[0.5, 3.5]",13,4.333333333333333,100.0,240.0,130.0,0.4533333333333333,17.65448958333333,0.9290273682402642
baseline_s9108401,9108401,0.005,All E,late,"[7.090000000000002, 10.090000000000002]",13,4.333333333333333,100.0,189.9999999999995,90.0,0.5166666666666667,24.97308333333333,0.8014521481150897
baseline_s9108401,9108401,0.005,Core A,early,"[0.5, 3.5]",12,4.0,40.0,254.9999999999999,200.0,0.17333333333333334,27.03890362511052,0.9054058625841236
baseline_s9108401,9108401,0.005,Core A,late,"[7.090000000000002, 10.090000000000002]",9,3.0,50.0,270.00000000000136,220.0,0.19333333333333333,42.258178603006186,0.7659142635403213
baseline_s9108401,9108401,0.005,Core B,early,"[0.5, 3.5]",11,3.6666666666666665,40.0,250.0,220.0,0.15666666666666668,27.861747243426628,0.9082030991696998
baseline_s9108401,9108401,0.005,Core B,late,"[7.090000000000002, 10.090000000000002]",12,4.0,50.0,264.99999999999966,210.0,0.20666666666666667,42.691263782866834,0.750043314511787
baseline_s9108402,9108402,0.005,All E,early,"[0.5, 3.5]",12,4.0,110.0,224.99999999999997,120.0,0.44333333333333336,14.763843750000003,0.934233076742687
baseline_s9108402,9108402,0.005,All E,late,"[10.240000000000002, 13.240000000000002]",10,3.3333333333333335,114.99999999999999,290.0000000000009,160.0,0.44333333333333336,34.06279166666666,0.7694017822228015
baseline_s9108402,9108402,0.005,Core A,early,"[0.5, 3.5]",9,3.0,40.0,280.0,240.0,0.12,18.85234305923961,0.9206681310304956
baseline_s9108402,9108402,0.005,Core A,late,"[10.240000000000002, 13.240000000000002]",10,3.3333333333333335,65.0,285.0000000000001,220.0,0.25,59.885057471264375,0.7233726541504667
baseline_s9108402,9108402,0.005,Core B,early,"[0.5, 3.5]",10,3.3333333333333335,40.0,270.0,230.0,0.13666666666666666,25.57294317217981,0.9143229100872035
baseline_s9108402,9108402,0.005,Core B,late,"[10.240000000000002, 13.240000000000002]",10,3.3333333333333335,60.0,290.00000000000006,220.0,0.23666666666666666,58.72094995759117,0.7322297394605461
eta0.0025_s9108401,9108401,0.0025,All E,early,"[0.5, 3.5]",15,5.0,100.0,229.99999999999977,100.0,0.51,16.968666666666667,0.9292662407315216
eta0.0025_s9108401,9108401,0.0025,All E,late,"[6.600000000000001, 9.600000000000001]",11,3.6666666666666665,110.0,269.99999999999955,130.0,0.49,26.945458333333335,0.8045814395262489
eta0.0025_s9108401,9108401,0.0025,Core A,early,"[0.5, 3.5]",11,3.6666666666666665,40.0,270.0,210.0,0.15666666666666668,27.14765694076039,0.9057347921660136
eta0.0025_s9108401,9108401,0.0025,Core A,late,"[6.600000000000001, 9.600000000000001]",10,3.3333333333333335,55.0,274.9999999999995,215.0,0.22333333333333333,42.947391688771006,0.7646700194781175
eta0.0025_s9108401,9108401,0.0025,Core B,early,"[0.5, 3.5]",12,4.0,40.0,260.0,220.0,0.16,24.481340118744697,0.9088500895977919
eta0.0025_s9108401,9108401,0.0025,Core B,late,"[6.600000000000001, 9.600000000000001]",12,4.0,50.0,269.99999999999955,220.0,0.2,41.549618320610676,0.7619262545292076
eta0.0025_s9108402,9108402,0.0025,All E,early,"[0.5, 3.5]",13,4.333333333333333,90.0,260.0,150.0,0.39666666666666667,15.436593749999998,0.9341584615978612
eta0.0025_s9108402,9108402,0.0025,All E,late,"[7.630000000000001, 10.63]",11,3.6666666666666665,100.0,269.99999999999955,130.0,0.5233333333333333,28.811041666666668,0.7931110381161579
eta0.0025_s9108402,9108402,0.0025,Core A,early,"[0.5, 3.5]",10,3.3333333333333335,40.0,270.0,230.0,0.14,24.23342175066313,0.9146770677136448
eta0.0025_s9108402,9108402,0.0025,Core A,late,"[7.630000000000001, 10.63]",11,3.6666666666666665,50.0,269.99999999999955,220.0,0.20666666666666667,49.133510167992924,0.7602791462173871
eta0.0025_s9108402,9108402,0.0025,Core B,early,"[0.5, 3.5]",11,3.6666666666666665,40.0,280.0,230.0,0.14333333333333334,26.06488549618321,0.9153171289855903
eta0.0025_s9108402,9108402,0.0025,Core B,late,"[7.630000000000001, 10.63]",12,4.0,50.0,259.9999999999998,210.0,0.23,49.96225614927904,0.7469478894564952
eta0.001_s9108401,9108401,0.001,All E,early,"[0.5, 3.5]",13,4.333333333333333,110.0,250.0,140.0,0.45,17.3393125,0.9295384965188297
eta0.001_s9108401,9108401,0.001,All E,late,"[6.440000000000001, 9.440000000000001]",12,4.0,105.00000000000001,270.0000000000009,160.0,0.43,27.398479166666664,0.7977689157337682
eta0.001_s9108401,9108401,0.001,Core A,early,"[0.5, 3.5]",13,4.333333333333333,40.0,250.0,210.0,0.16333333333333333,30.44916003536693,0.9052707306207765
eta0.001_s9108401,9108401,0.001,Core A,late,"[6.440000000000001, 9.440000000000001]",11,3.6666666666666665,50.0,269.99999999999955,210.0,0.20666666666666667,40.89876215738284,0.7535607787838522
eta0.001_s9108401,9108401,0.001,Core B,early,"[0.5, 3.5]",11,3.6666666666666665,40.0,250.0,210.0,0.15666666666666668,26.21501272264631,0.9085751344780048
eta0.001_s9108401,9108401,0.001,Core B,late,"[6.440000000000001, 9.440000000000001]",12,4.0,50.0,269.99999999999955,210.0,0.21,43.78201865988125,0.7617839887083515
eta0.001_s9108402,9108402,0.001,All E,early,"[0.5, 3.5]",14,4.666666666666667,84.99999999999999,175.00000000000006,110.0,0.4,15.604749999999997,0.9323311153743326
eta0.001_s9108402,9108402,0.001,All E,late,"[8.030000000000001, 11.030000000000001]",11,3.6666666666666665,120.0,270.00000000000136,150.0,0.45,30.46939583333333,0.7845665449274785
eta0.001_s9108402,9108402,0.001,Core A,early,"[0.5, 3.5]",10,3.3333333333333335,40.0,270.0,230.0,0.13666666666666666,25.69893899204244,0.9135669939887949
eta0.001_s9108402,9108402,0.001,Core A,late,"[8.030000000000001, 11.030000000000001]",10,3.3333333333333335,60.0,264.99999999999966,205.00000000000003,0.25,52.64544650751547,0.7421501931970965
eta0.001_s9108402,9108402,0.001,Core B,early,"[0.5, 3.5]",11,3.6666666666666665,40.0,270.0,230.0,0.14,25.838846480067854,0.9151225110054734
eta0.001_s9108402,9108402,0.001,Core B,late,"[8.030000000000001, 11.030000000000001]",12,4.0,80.0,269.99999999999955,205.00000000000003,0.29,64.74978795589483,0.7326473068926329
eta0_s9108401,9108401,0.0,All E,early,"[0.5, 3.5]",14,4.666666666666667,100.0,254.9999999999999,145.00000000000003,0.43666666666666665,18.325916666666664,0.927561924419274
eta0_s9108401,9108401,0.0,All E,late,"[6.98, 9.98]",13,4.333333333333333,110.0,250.0,120.0,0.48,31.97160416666667,0.7896178597813289
eta0_s9108401,9108401,0.0,Core A,early,"[0.5, 3.5]",13,4.333333333333333,40.0,250.0,210.0,0.17,28.042882404951367,0.9042235366374388
eta0_s9108401,9108401,0.0,Core A,late,"[6.98, 9.98]",11,3.6666666666666665,50.0,269.99999999999955,210.0,0.22666666666666666,57.12687886825818,0.747979921529306
eta0_s9108401,9108401,0.0,Core B,early,"[0.5, 3.5]",11,3.6666666666666665,40.0,250.0,210.0,0.15666666666666668,27.216284987277355,0.9075260389208007
eta0_s9108401,9108401,0.0,Core B,late,"[6.98, 9.98]",11,3.6666666666666665,60.0,269.99999999999955,210.0,0.21666666666666667,52.108142493638674,0.7496056725715237
