name,tau_Z_s,threshold,seed,observed,onset_s,confirmation_s,restricted_time_s,horizon_s,pre_observation_s,pre_E_mean_Hz,pre_quiet_fraction,Z_at_endpoint,adaptation_current_at_endpoint,reference_prefix_qa,source
y0_x0_s9108401,2.5,75.0,9108401,True,27.02,27.22,27.22,180.0,20.0,17.587490624999997,0.612,0.7033933793909486,2.1387488674778066,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y0_x0_s9108401/result.json
y0_x0_s9108402,2.5,75.0,9108402,True,35.54,35.74,35.74,180.0,20.0,17.175875,0.618,0.7234415448272995,2.111356485045563,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y0_x0_s9108402/result.json
y0_x0_s9108403,2.5,75.0,9108403,True,20.96,21.16,21.16,180.0,20.0,16.835971875,0.5865,0.7084820562281311,1.927896085322859,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y0_x0_s9108403/result.json
y0_x1_s9108401,3.1498026247371813,75.0,9108401,True,21.38,21.580000000000002,21.580000000000002,180.0,20.0,17.733903125,0.608,0.7212662762775701,1.972367206625446,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y0_x1_s9108401/result.json
y0_x1_s9108402,3.1498026247371813,75.0,9108402,True,40.21,40.410000000000004,40.410000000000004,180.0,20.0,17.4131671875,0.6065,0.7350929216691814,2.328136059824301,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y0_x1_s9108402/result.json
y0_x1_s9108403,3.1498026247371813,75.0,9108403,True,108.74000000000001,108.94,108.94,180.0,20.0,18.509428125,0.5655,0.7207585370184185,2.174486801269528,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y0_x1_s9108403/result.json
y0_x2_s9108401,3.9685026299204997,75.0,9108401,True,49.77,49.97,49.97,180.0,20.0,17.475293750000002,0.616,0.7285085351966859,2.2630975807542812,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y0_x2_s9108401/result.json
y0_x2_s9108402,3.9685026299204997,75.0,9108402,True,42.99,43.19,43.19,180.0,20.0,18.2698984375,0.611,0.7330098495978586,2.288799133269627,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y0_x2_s9108402/result.json
y0_x2_s9108403,3.9685026299204997,75.0,9108403,True,147.0,147.20000000000002,147.20000000000002,180.0,20.0,18.410868750000002,0.585,0.7250325617785066,2.5392120270169767,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y0_x2_s9108403/result.json
y0_x3_s9108401,5.0,75.0,9108401,True,47.03,47.230000000000004,47.230000000000004,180.0,20.0,18.7452375,0.6055,0.7417228458583791,2.5747413743172753,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y0_x3_s9108401/result.json
y0_x3_s9108402,5.0,75.0,9108402,True,55.11,55.31,55.31,180.0,20.0,19.115546875,0.605,0.7364449004306739,2.574299469439359,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y0_x3_s9108402/result.json
y0_x3_s9108403,5.0,75.0,9108403,True,23.97,24.17,24.17,180.0,20.0,18.391175000000004,0.587,0.7416301446811763,2.423079543112705,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y0_x3_s9108403/result.json
