absolute_detector_margin,absolute_detector_threshold_mean_plus_5sd,available_neurons_in_fixed_radius,baseline_lfp_mean,baseline_lfp_sd,baseline_window_ms,contact_index,contact_name,forced_spike_collision_count,integrated_positive_lfp_excess,lfp_kernel,lfp_peak_snr,local_neuron_count,local_positive_spike_excess_per_cell,local_signed_spike_excess_per_cell,packet_max_distance_mm,packet_n_E,packet_positive_respike_excess_per_cell,packet_radius_mm,packet_signed_respike_excess_per_cell,peak_lfp_excess,peak_lfp_excess_per_packet_cell,pretrigger_lfp_bit_identical,pretrigger_spikes_bit_identical,response_window_ms,seed,shaft_id,sheet_xy_mm
1167.7219166212612,18.23880339131835,265,12.640210901312193,1.1197184980012314,"[20.0, 90.0]",0,SCL9,0,31246.887714048178,"{'neuron_count': 23, 'raw_kernel_mass': 38.16535397522461, 'normalized_weight_ess': 17.066474150038562, 'nearest_distance_mm': 0.0647525342088992}",1047.137970352628,265,3.8075471698113206,3.8075471698113206,0.7528385148676342,160,3.94375,1.0,3.94375,1172.4997553633025,7.328123471020641,True,True,"[100.10000000000001, 180.0]",1004,SCL,"[5.497640679895003, 16.197026825498998]"
1499.5310255379134,16.88260034380624,256,12.96367167642759,0.7837857334757296,"[20.0, 90.0]",1,ICL11,0,37895.95856209576,"{'neuron_count': 11, 'raw_kernel_mass': 21.93502906339181, 'normalized_weight_ess': 8.63024433045804, 'nearest_distance_mm': 0.051938295947822594}",1915.699990852913,256,5.1484375,5.1484375,0.8315599498597686,160,5.3,1.0,5.3,1501.4983224500988,9.384364515313118,True,True,"[100.10000000000001, 180.0]",1004,ICL,"[2.0, 5.822438458919169]"
1477.5649870988625,17.390180551978276,275,12.575488959428645,0.9629383185099261,"[20.0, 90.0]",2,SCL8,0,38372.60403171858,"{'neuron_count': 24, 'raw_kernel_mass': 50.0161479319473, 'normalized_weight_ess': 14.751800518799953, 'nearest_distance_mm': 0.017219065716449516}",1538.6851952030718,275,5.2290909090909095,5.2290909090909095,0.7525365726463031,160,5.3625,1.0,5.3625,1481.6589345849634,9.26036834115602,True,True,"[100.10000000000001, 180.0]",1004,SCL,"[7.378345406714329, 15.215952799938329]"
1384.1484432457019,17.02635534939084,275,13.084094572488976,0.7884521553803729,"[20.0, 90.0]",3,ICL10,0,36873.937796009945,"{'neuron_count': 30, 'raw_kernel_mass': 58.720772560983136, 'normalized_weight_ess': 16.001873543730284, 'nearest_distance_mm': 0.009865995041991458}",1759.7382316589953,275,4.858181818181818,4.850909090909091,0.7485333248429267,160,4.95625,1.0,4.95625,1387.469401656781,8.671683760354881,True,True,"[100.10000000000001, 180.0]",1004,ICL,"[3.4623886106762756, 5.790023065790164]"
1314.1270735048856,19.341662176920874,283,12.813593774839573,1.3056136804162604,"[20.0, 90.0]",4,SCL7,0,34378.23917040842,"{'neuron_count': 17, 'raw_kernel_mass': 32.98752289957533, 'normalized_weight_ess': 13.39998080761892, 'nearest_distance_mm': 0.09488103790525927}",1012.0079050131941,283,4.565371024734982,4.5583038869257955,0.7689287592900316,160,4.66875,1.0,4.6625,1321.2913654746255,8.25807103421641,True,True,"[100.10000000000001, 180.0]",1004,SCL,"[8.656304623418542, 14.658497902855213]"
1430.719859313916,17.1732727659764,251,12.468090703665185,0.9410364124622432,"[20.0, 90.0]",5,ICL9,0,36587.81297165531,"{'neuron_count': 19, 'raw_kernel_mass': 28.055226468182724, 'normalized_weight_ess': 12.737757517081414, 'nearest_distance_mm': 0.06456079580020906}",1525.2959962648758,251,5.298804780876494,5.290836653386454,0.797147659407466,160,5.54375,1.0,5.5375,1435.359072268122,8.970994201675762,True,True,"[100.10000000000001, 180.0]",1004,ICL,"[5.1000022680145864, 5.367238776530522]"
1189.1798565254621,18.188901300272903,233,12.991650259161675,1.0394502082222457,"[20.0, 90.0]",6,ICL8,0,31739.948260456727,"{'neuron_count': 24, 'raw_kernel_mass': 47.17389000539601, 'normalized_weight_ess': 15.60007000522363, 'nearest_distance_mm': 0.024385655199816707}",1150.871154124053,233,4.051502145922747,4.047210300429184,0.8276637949454787,160,4.125,1.0,4.11875,1196.273260791223,7.476707879945144,True,True,"[100.10000000000001, 180.0]",1004,ICL,"[6.989911342143938, 5.301573151054602]"
1268.6386688821462,19.00861365434148,221,13.064152497718906,1.1888922313245154,"[20.0, 90.0]",7,SCL6,0,34217.20016462568,"{'neuron_count': 17, 'raw_kernel_mass': 28.079181086348324, 'normalized_weight_ess': 10.55423779712902, 'nearest_distance_mm': 0.03324543890613261}",1073.0285676084347,221,4.542986425339366,4.53393665158371,0.8587753975908793,160,4.625,1.0,4.61875,1275.7153280189405,7.973220800118378,True,True,"[100.10000000000001, 180.0]",1004,SCL,"[10.537009350237868, 13.677423877294546]"
1264.527770873715,18.124390765813366,235,13.176395511159237,0.9895990509308256,"[20.0, 90.0]",8,ICL7,0,32943.98654535673,"{'neuron_count': 17, 'raw_kernel_mass': 32.746713834836115, 'normalized_weight_ess': 11.454730791152127, 'nearest_distance_mm': 0.034814976874946085}",1284.2437316400883,235,4.54468085106383,4.54468085106383,0.801819226379933,160,4.69375,1.0,4.69375,1270.886377994893,7.943039862468082,True,True,"[100.10000000000001, 180.0]",1004,ICL,"[8.447697779165201, 4.8114535578832225]"
1162.6143014888398,19.129980041179373,239,13.130412307800691,1.1999135466757358,"[20.0, 90.0]",9,ICL6,0,30595.386266588815,"{'neuron_count': 23, 'raw_kernel_mass': 43.276745212708796, 'normalized_weight_ess': 13.934083085469066, 'nearest_distance_mm': 0.03237804265120625}",973.9068426740771,239,3.916317991631799,3.912133891213389,0.8102319264774919,160,3.975,1.0,3.96875,1168.6040137248197,7.3037750857801225,True,True,"[100.10000000000001, 180.0]",1004,ICL,"[10.089913610158524, 4.846373468665954]"
