family,n_candidates,n_events,n_worker_artifacts,path,rank_parity_rows,reason,score_status,semantics
rev8_1_field_fit_history,48,,,results/topic4_sef_hfo/data_driven_core_field_stage3/joint_fit_kmeans_rev8_1/checkpoint_K3_r0.json,,per-event fixed-contact values were not retained,,NOT_RESCORABLE
rev8_1_final,,50,,results/topic4_sef_hfo/data_driven_core_field_stage3/joint_confirmation_rev8_1/final_event_profiles.npz,,,OK,ORDINAL_COMPATIBLE
rev9_null,,13,,results/topic4_sef_hfo/data_driven_core_field_rev9/node_edge_factorial/factorial_summary.npz,,,OK,ORDINAL_COMPATIBLE
rev9_node,,121,,results/topic4_sef_hfo/data_driven_core_field_rev9/node_edge_factorial/factorial_summary.npz,,,OK,ORDINAL_COMPATIBLE
rev9_edge,,18,,results/topic4_sef_hfo/data_driven_core_field_rev9/node_edge_factorial/factorial_summary.npz,,,OK,ORDINAL_COMPATIBLE
rev9_node_edge,,169,,results/topic4_sef_hfo/data_driven_core_field_rev9/node_edge_factorial/factorial_summary.npz,,,OK,ORDINAL_COMPATIBLE
hand_dual_core,,220,,results/topic4_sef_hfo/field_swap_subject_snn,,,OK,ORDINAL_COMPATIBLE
stage2_filament,,507,,results/topic4_sef_hfo/field_swap_subject_snn,,,OK,ORDINAL_COMPATIBLE
L2_sobol_component_pair_edge,64,,384,results/topic4_sef_hfo/data_driven_core_field_rev9_learnability/relaxed_edge_oracle/sobol_fit/workers,768,,,FULL_TIMING
L3_repeated_component_pair_edge,57,,1026,results/topic4_sef_hfo/data_driven_core_field_rev9_learnability/relaxed_edge_oracle/network_oracle_repeated/fit/workers,2052,,,FULL_TIMING
