dt_ms,segment,gate,pass
0.125,checkpoint,latch_on,True
0.125,checkpoint,regional_use_zero,True
0.125,checkpoint,regional_occupancy_zero,True
0.125,checkpoint,regional_rates_low,True
0.125,checkpoint,p_below_limit,True
0.125,checkpoint,q_below_reset,True
0.125,checkpoint,m_positive,True
0.125,checkpoint,finite_supported,True
0.125,B_sentinel_0.25,numeric_clean,True
0.125,B_sentinel_0.25,no_section_return,True
0.125,B_sentinel_0.25,latch_state_preserved,True
0.125,B_sentinel_0.25,zero_use_after_settling,True
0.125,B_sentinel_0.25,zero_occupancy_after_settling,True
0.125,B_sentinel_0.25,low_branch_after_settling,True
0.125,B_sentinel_0.50,numeric_clean,True
0.125,B_sentinel_0.50,no_section_return,True
0.125,B_sentinel_0.50,latch_state_preserved,True
0.125,B_sentinel_0.50,zero_use_after_settling,True
0.125,B_sentinel_0.50,zero_occupancy_after_settling,True
0.125,B_sentinel_0.50,low_branch_after_settling,True
0.125,B_sentinel_0.75,numeric_clean,True
0.125,B_sentinel_0.75,no_section_return,True
0.125,B_sentinel_0.75,latch_state_preserved,True
0.125,B_sentinel_0.75,zero_use_after_settling,True
0.125,B_sentinel_0.75,zero_occupancy_after_settling,True
0.125,B_sentinel_0.75,low_branch_after_settling,True
0.125,B_protected,stops_just_below_q_reset,True
0.125,C_reset,exactly_one_true_to_false,True
0.125,C_reset,no_reset_chatter_or_latch_reset,True
0.125,C_reset,reset_before_deadline,True
0.125,C_reset,transition_fast_low,True
0.125,C_reset,transition_q_safe,True
0.125,C_reset,transition_p_low,True
0.125,C_reset,no_section_return,True
0.125,D_sentinel_A_0.1,numeric_clean,True
0.125,D_sentinel_A_0.1,no_section_return,True
0.125,D_sentinel_A_0.1,latch_state_preserved,True
0.125,D_sentinel_A_0.1,zero_use_after_settling,True
0.125,D_sentinel_A_0.1,zero_occupancy_after_settling,True
0.125,D_sentinel_A_0.1,low_branch_after_settling,True
0.125,D_sentinel_A_0.1,q_nondecreasing,True
0.125,D_sentinel_A_0.1,m_nonincreasing,True
0.125,D_sentinel_A_0.1,no_latch_reactivation,True
0.125,D_sentinel_A_0.02,numeric_clean,True
0.125,D_sentinel_A_0.02,no_section_return,True
0.125,D_sentinel_A_0.02,latch_state_preserved,True
0.125,D_sentinel_A_0.02,zero_use_after_settling,True
0.125,D_sentinel_A_0.02,zero_occupancy_after_settling,True
0.125,D_sentinel_A_0.02,low_branch_after_settling,True
0.125,D_sentinel_A_0.02,q_nondecreasing,True
0.125,D_sentinel_A_0.02,m_nonincreasing,True
0.125,D_sentinel_A_0.02,no_latch_reactivation,True
0.125,D_sentinel_A_0.002,numeric_clean,True
0.125,D_sentinel_A_0.002,no_section_return,True
0.125,D_sentinel_A_0.002,latch_state_preserved,True
0.125,D_sentinel_A_0.002,zero_use_after_settling,True
0.125,D_sentinel_A_0.002,zero_occupancy_after_settling,True
0.125,D_sentinel_A_0.002,low_branch_after_settling,True
0.125,D_sentinel_A_0.002,q_nondecreasing,True
