dt_ms,segment,kind,absolute_time_ms,q,p,m,A_mv,rE_max_hz,rE_fast_max_hz,latch_on
0.125,checkpoint,source_double,20000.0,0.854555670502157,8.78582090663059e-07,0.2409701618719569,0.38555225899513107,0.9260795866749917,0.9263426831450943,True
0.125,B_protected,analytic_0.25,33129.076043383124,0.8652709663067013,2.19416176078942e-14,0.2409701618719569,0.38555225899513107,0.9260795866749917,0.9263426831450943,True
0.125,B_protected,full_0.25,33629.076043383124,0.8656248148079431,1.126457620243994e-14,0.2409701618719569,0.38555225899513107,0.7657218692494752,0.7658317987540456,True
0.125,B_protected,analytic_0.50,46258.15208676625,0.8734597082015373,5.479372272349853e-22,0.2409701618719569,0.38555225899513107,0.7657218692494752,0.7658317987540456,True
0.125,B_protected,full_0.50,46758.15208676625,0.8737301229374704,2.813047224066757e-22,0.2409701618719569,0.38555225899513107,0.6885346124421062,0.6886051221831517,True
0.125,B_protected,analytic_0.75,59387.228130149364,0.8797176306439105,1.3683366940181478e-29,0.2409701618719569,0.38555225899513107,0.6885346124421062,0.6886051221831517,True
0.125,B_protected,full_0.75,59887.228130149364,0.8799242844213132,7.024884507519856e-30,0.2409701618719569,0.38555225899513107,0.637595042899081,0.6376428623386304,True
0.125,B_protected,analytic_q_0p8845,72516.30225332972,0.8845000000000001,3.417088689814236e-37,0.2409701618719569,0.38555225899513107,0.637595042899081,0.6376428623386304,True
0.125,C_reset,full_chunk,73016.30225332972,0.8846579269903607,1.7542943562674786e-37,0.2409701618719569,0.38555225899513107,0.6024387489852726,0.6024723194469632,True
0.125,C_reset,full_chunk,73516.30225332972,0.8848142448881886,9.006347121178261e-38,0.2409701618719569,0.38555225899513107,0.6013273994617526,0.6013605372389413,True
0.125,C_reset,full_chunk,74016.30225332972,0.8849689700882588,4.6237558809536626e-38,0.2409701618719569,0.38555225899513107,0.6002303442833378,0.6002630563478439,True
0.125,C_reset,full_chunk,74516.30225332972,0.8851212043983802,2.373783528327598e-38,0.23308960325990283,0.37294336521584454,0.6081389281976776,0.6078160775436501,False
0.125,D_release,analytic_A_0.1,90311.37888827015,0.8884714363401095,1.6949424114254693e-47,0.0625,0.1,0.6081389281976776,0.6078160775436501,False
0.125,D_release,full_A_0.1,90811.37888827015,0.8885489448620468,8.70164100634958e-48,0.059949328059392536,0.09591892489502807,0.835269607388595,0.8351364198633975,False
0.125,D_release,analytic_A_0.02,109624.6312332946,0.8909124738483801,1.1107395993935874e-58,0.012499999999999999,0.02,0.835269607388595,0.8351364198633975,False
0.125,D_release,full_A_0.02,110124.6312332946,0.8909649713219387,5.702410406575981e-59,0.01198986561187858,0.01918378497900573,0.9109762907798535,0.9109641368003253,False
