additive_mv,leading_real_per_ms,rE_hz,rI_hz,residual_inf,residual_rate_det,z
0.0,-1.0309189730209101e-13,2.026389819297687,7.05590510763672,1.0183694165721846e-11,6.956361112619906e-12,0.8744746730086702
0.1,-1.7732378604164389e-13,1.926634045450492,6.942858067016512,1.229587425205425e-11,1.229587425205425e-11,0.8668870542801383
0.2,1.859234202889637e-13,1.8349566946358482,6.838962215861355,1.3245470791018105e-11,-1.3245470791018105e-11,0.8591625308371377
0.3,1.1905077738209036e-13,1.7504206816233867,6.743157576314845,8.728583433649294e-12,-8.728583433649294e-12,0.8513086199901017
0.3165,-2.327857265035609e-13,1.7371059791872705,6.728067936817861,1.7096434350259198e-11,1.7096434350259198e-11,0.8500007873385788
0.4,-5.114731762445884e-13,1.6722787643161747,6.654598722159379,3.832892655476807e-11,3.832892655476807e-11,0.8433324573200781
0.5,-1.3916135228912012e-13,1.5998409391063455,6.572504588446225,1.0659055849476515e-11,1.0659055849476515e-11,0.8352408241942676
1.0,-1.8670784614240307e-13,1.3054748535146798,6.238917117709982,1.5677251050756136e-11,1.5677251050756136e-11,0.7932661023694489
1.25,6.173622880258121e-14,1.1906399705909032,6.108798641291941,5.385199898408281e-12,-5.385199898408281e-12,0.7714771104308078
1.5,1.536149631885735e-13,1.0917424477096687,5.9967509544429785,1.3856547175782375e-11,-1.3856547175782375e-11,0.7492548546646671
2.0,-1.988881401263863e-13,0.9306614005567592,5.814283343403564,1.8924553291724523e-11,1.8924553291724523e-11,0.703768196237878
