q,phase,additive_mv,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms
0.8555,0.0,0.0,bounded_CCO,True,False,1.3995225648368556e-06,0.001562162531033954,1.8045045732955137e-06,C,7,1543.3623246428642,8.376510417539432e-09,127.0856112241745,2.3978971734460806,False,0,0,"[1543.3621444830387, 3086.724405486604, 4630.086682467642, 6173.448975381231, 7716.811284184768, 9260.173608839314, 10803.535949309824]",C,8,1543.362339557584,1.5643372255311267e-08,82.23944902420044,1.7627610049132414,False,0,0,"[7.331342983770733, 1550.693534960912, 3094.0558506147017, 4637.418177946124, 6180.780516904009, 7724.142867439551, 9267.505229507591, 10810.867535576761]",L,0,,,6.298812106251717,0.7934890984429303,False,0,0,[]
0.8555,0.0,0.005100176757,LLL,False,False,,,1.1889976093970577e-09,L,0,,,127.03828513622284,3.24131256460162,False,0,0,[],L,1,,,82.20215141773224,2.2165908305320197,False,0,0,[7.332461160780275],L,0,,,6.2714810483157635,0.8668178954336443,False,0,0,[]
0.8555,0.0,0.015100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,126.95887684822083,2.708593849092722,False,0,0,[],L,1,,,82.12894201278687,1.9572069868445396,False,0,0,[7.334656186998175],L,0,,,6.257407367229462,0.8556193788535893,False,0,0,[]
0.8555,0.0,0.030100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,126.8395185470581,2.425391459837556,False,0,0,[],L,1,,,82.01897144317627,1.8124216003343463,False,0,0,[7.337955194716603],L,0,,,6.236336659640074,0.8495376096107066,False,0,0,[]
0.8555,0.0,0.055100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,126.63997709751129,2.134103560820222,False,0,0,[],L,1,,,81.83526992797852,1.6571029555052519,False,0,0,[7.343470860379103],L,0,,,6.201324984431267,0.8431511232629418,False,0,0,[]
0.8555,0.0,0.105100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,126.23846530914307,1.7692409455776215,False,0,0,[],L,1,,,81.46624267101288,1.451004995033145,False,0,0,[7.3545676188337366],L,0,,,6.1317021027207375,0.834899372421205,False,0,0,[]
0.8555,0.0,0.205100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,125.42565166950226,1.3384309131652117,False,0,0,[],L,1,,,80.72168380022049,1.1854514013975859,False,0,0,[7.377008666516023],L,0,,,5.994065199047327,0.8246442885138094,False,0,0,[]
0.8555,0.25,0.0,bounded_CCO,True,False,1.3992786456373697e-06,0.001562162531033954,1.8045045523776975e-06,C,7,1543.362324638488,8.376519088160273e-09,127.0856112241745,2.397897162641066,False,0,0,"[1543.3621479953808, 3086.7244089944525, 4630.086685971136, 6173.448978880395, 7716.811287679522, 9260.173612329725, 10803.535952795859]",C,8,1543.362339564965,1.563387860949616e-08,82.23946392536163,1.7627609994526425,False,0,0,"[7.331342226471642, 1550.6935384576036, 3094.0558541080836, 4637.418181436337, 6180.78052039108, 7724.142870923401, 9267.50523298829, 10810.867539085975]",L,0,,,6.298812106251717,0.7934890972811007,False,0,0,[]
0.8555,0.25,0.005100176757,LLL,False,False,,,1.1889976137338664e-09,L,0,,,127.03830003738403,3.24131256460162,False,0,0,[],L,1,,,82.20215886831284,2.2165908305320197,False,0,0,[7.332460402761833],L,0,,,6.271484307944775,0.8668178954336443,False,0,0,[]
0.8555,0.25,0.015100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,126.95889174938202,2.708593849092722,False,0,0,[],L,1,,,82.12895691394806,1.9572069868445396,False,0,0,[7.334655427566595],L,0,,,6.25741109251976,0.8556193788535893,False,0,0,[]
0.8555,0.25,0.030100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,126.8395334482193,2.425391459837556,False,0,0,[],L,1,,,82.01898634433746,1.8124216003343463,False,0,0,[7.33795443315872],L,0,,,6.236340384930372,0.8495376096107066,False,0,0,[]
0.8555,0.25,0.055100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,126.63997709751129,2.134103560820222,False,0,0,[],L,1,,,81.83527737855911,1.6571029555052519,False,0,0,[7.3434700952596526],L,0,,,6.201328709721565,0.8431511232629418,False,0,0,[]
0.8555,0.25,0.105100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,126.23846530914307,1.7692409455776215,False,0,0,[],L,1,,,81.46625757217407,1.451004995033145,False,0,0,[7.354566846524044],L,0,,,6.131705828011036,0.834899372421205,False,0,0,[]
0.8555,0.25,0.205100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,125.42566657066345,1.3384309131652117,False,0,0,[],L,1,,,80.72169125080109,1.1854514013975859,False,0,0,[7.377007886526555],L,0,,,5.9940689243376255,0.8246442885138094,False,0,0,[]
0.8555,0.5,0.0,bounded_CCO,True,False,1.3982820192894211e-06,0.0015620452779730042,1.8045044669222702e-06,C,7,1543.3623246206926,8.376543136317121e-09,127.0856112241745,2.397897122790312,False,0,0,"[1543.3621623459244, 3086.7244233270544, 4630.0867002857085, 6173.448993176972, 7716.811301958275, 9260.17362659065, 10803.53596703905]",C,8,1543.3623395952097,1.559504842698874e-08,82.23950862884521,1.762760974705673,False,0,0,"[7.331340876410502, 1550.6935527442001, 3094.0558683815752, 4637.418195696644, 6180.780534638243, 7724.142885157597, 9267.505247209523, 10810.867553423872]",L,0,,,6.298812106251717,0.7934890912976785,False,0,0,[]
0.8555,0.5,0.005100176757,LLL,False,False,,,1.1889976128665047e-09,L,0,,,127.03834474086761,3.24131256460162,False,0,0,[],L,1,,,82.20220357179642,2.2165908305320197,False,0,0,[7.332459050798337],L,0,,,6.271497346460819,0.8668178954336443,False,0,0,[]
0.8555,0.5,0.015100176757,LLL,False,False,,,3.3827107781547738e-18,L,0,,,126.9589364528656,2.708593849092722,False,0,0,[],L,1,,,82.12900161743164,1.9572069868445396,False,0,0,[7.334654071865729],L,0,,,6.257423665374517,0.8556193788535893,False,0,0,[]
0.8555,0.5,0.030100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,126.83957815170288,2.425391459837556,False,0,0,[],L,1,,,82.01903104782104,1.8124216003343463,False,0,0,[7.337953071833242],L,0,,,6.2363529577851295,0.8495376096107066,False,0,0,[]
0.8555,0.5,0.055100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,126.64002180099487,2.134103560820222,False,0,0,[],L,1,,,81.83532953262329,1.6571029555052519,False,0,0,[7.343468724510169],L,0,,,6.2013412825763226,0.8431511232629418,False,0,0,[]
0.8555,0.5,0.105100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,126.23851001262665,1.7692409455776215,False,0,0,[],L,1,,,81.46630227565765,1.451004995033145,False,0,0,[7.354565456738419],L,0,,,6.131718400865793,0.834899372421205,False,0,0,[]
0.8555,0.5,0.205100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,125.42571127414703,1.3384309131652117,False,0,0,[],L,1,,,80.72174340486526,1.1854514013975859,False,0,0,[7.3770064705544],L,0,,,5.9940810315310955,0.8246442885138094,False,0,0,[]
0.8555,0.75,0.0,bounded_CCO,True,False,1.3963099667510514e-06,0.0015619280249120544,1.8045042978195176e-06,C,7,1543.3623245853832,8.37659871570612e-09,127.0856112241745,2.397897043902085,False,0,0,"[1543.362190741954, 3086.7244516874307, 4630.086728610618, 6173.449021466509, 7716.811330212388, 9260.173654809472, 10803.535995222659]",C,8,1543.3623396549594,1.551824420255607e-08,82.23959803581238,1.7627609286972223,False,0,0,"[7.331337510447223, 1550.693581013679, 3094.0558966249723, 4637.41822391416, 6180.780562829986, 7724.14291332353, 9267.505275349793, 10810.867581794864]",L,0,,,6.298811640590429,0.7934890803183892,False,0,0,[]
0.8555,0.75,0.005100176757,LLL,False,False,,,1.1889976191115093e-09,L,0,,,127.03841924667358,3.24131256460162,False,0,0,[],L,1,,,82.20230042934418,2.2165908305320197,False,0,0,[7.332455680657784],L,0,,,6.2715234234929085,0.8668178954336443,False,0,0,[]
0.8555,0.75,0.015100176757,LLL,False,False,,,3.3827107781547738e-18,L,0,,,126.95901095867157,2.708593849092722,False,0,0,[],L,1,,,82.1290910243988,1.9572069868445396,False,0,0,[7.334650693518652],L,0,,,6.257449742406607,0.8556193788535893,False,0,0,[]
0.8555,0.75,0.030100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,126.83966755867004,2.425391459837556,False,0,0,[],L,1,,,82.0191279053688,1.8124216003343463,False,0,0,[7.337949681136371],L,0,,,6.2363785691559315,0.8495376096107066,False,0,0,[]
0.8555,0.75,0.055100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,126.64011120796204,2.134103560820222,False,0,0,[],L,1,,,81.83541893959045,1.6571029555052519,False,0,0,[7.343465313122935],L,0,,,6.2013668939471245,0.8431511232629418,False,0,0,[]
0.8555,0.75,0.105100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,126.23859941959381,1.7692409455776215,False,0,0,[],L,1,,,81.46639913320541,1.451004995033145,False,0,0,[7.354562003563916],L,0,,,6.131743546575308,0.834899372421205,False,0,0,[]
0.8555,0.75,0.205100176757,LLL,False,False,,,3.469446951953614e-18,L,0,,,125.425785779953,1.3384309131652117,False,0,0,[],L,1,,,80.72183281183243,1.1854514013975859,False,0,0,[7.377002963493463],L,0,,,5.99410617724061,0.8246442885138094,False,0,0,[]
