q,low_fold_additive_mv,source_outcome,matched_a0_outcome,coarse_exit_additive_mv,coarse_failure_additive_mv,tested_safe_additive_margin_mv,failure_right_censored,fiber_safe_discovery
0.8555,0.005100176756672106,all_bounded_CCO,all_bounded_CCO,0.005100176757,,0.2,True,True
0.855,0.012776645603614434,all_bounded_CCO,all_bounded_CCO,0.012776645604,,0.2,True,True
0.8525,0.05090991293116221,all_bounded_CCO,all_bounded_CCO,0.050909912931,,0.2,True,True
0.85,0.08864421563031688,all_bounded_CCO,all_bounded_CCO,0.08864421563,,0.19999999999999998,True,True
0.8475,0.12600005634286518,all_bounded_CCO,all_bounded_CCO,0.126000056343,,0.2,True,True
0.845,0.16299625213297825,all_bounded_CCO,all_bounded_CCO,0.162996252133,,0.2,True,True
0.84,0.23597865821629854,all_bounded_CCO,all_bounded_CCO,0.235978658216,,0.2,True,True
0.835,0.3077171045276467,all_bounded_CCO,all_bounded_CCO,0.307717104528,,0.2,True,True
0.83,0.37832044948020666,all_bounded_CCO,all_bounded_CCO,0.37832044948,,0.20000000000000007,True,True
0.825,0.44788372899633555,all_bounded_CCO,all_bounded_CCO,0.447883728996,,0.2,True,True
0.82,0.5164906850170488,all_bounded_CCO,all_bounded_CCO,0.516490685017,,0.19999999999999996,True,True
