q,phase,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms,checkpoint_time_ms
0.8555,0.0,bounded_CCO,True,False,1.3690465994988032e-06,0.0017381895391100854,2.3346075709237968e-06,C,7,1543.3623577560966,9.304778911595491e-09,127.0863264799118,2.565469843532496,False,0,0,"[1481.3217945653469, 3024.684106093642, 4568.046433466968, 6111.408776650592, 7654.771135613734, 9198.133510323343, 10741.495849918882]",C,7,1543.362284070633,6.260831675751607e-09,82.23942667245865,1.8608312057693694,False,0,0,"[1488.653343562428, 3032.015696081445, 4575.378060125945, 6118.740348411754, 7662.10262064006, 9205.464904726601, 10748.827200623653]",L,0,,,6.299215834587812,0.8163351301631766,False,0,0,[],7654.771135613734
0.8555,0.25,bounded_CCO,True,False,1.6151014651581041e-06,0.0016330936054490478,3.0203816486841157e-06,C,7,1543.362270496693,8.450098534376815e-09,127.0863264799118,2.6803728680548344,False,0,0,"[1437.4052687102244, 2980.7676320433884, 4524.1300111140245, 6067.4923117472545, 7610.854566264119, 9154.216836775304, 10697.579123237334]",C,7,1543.362322588331,6.175012337371995e-09,82.23514258861542,1.925575508347558,False,0,0,"[1444.7368168024375, 2988.099092322701, 4531.461379690606, 6074.823678854184, 7618.185989762071, 9161.548312366982, 10704.910646619177]",L,0,,,6.298264488577843,0.8292548059153104,False,0,0,[],7610.854566264119
0.8555,0.5,bounded_CCO,True,False,1.4159338189053075e-06,0.001383732263481879,3.222687943253526e-06,C,7,1543.3623448481956,2.5613611661337837e-08,127.08613276481628,2.7043659569037533,False,0,0,"[1428.0672838905498, 2971.4296010514745, 4514.791934046819, 6058.154282841008, 7601.516647404065, 9144.87902769994, 10688.241317385595]",C,7,1543.3622882726477,6.251598334296817e-09,82.23879337310791,1.9388143126546087,False,0,0,"[1435.398847948352, 2978.761204565491, 4522.12355966347, 6065.485824225806, 7608.848100673082, 9152.210388962636, 10695.572689043749]",L,0,,,6.297903135418892,0.8316536275056486,False,0,0,[],7601.516647404065
0.8555,0.75,bounded_CCO,True,False,3.7574201020887145e-06,0.0018975859395483504,3.257792095262384e-06,C,7,1543.3623266267605,3.6279714508295736e-08,127.08014249801636,2.7082225174444194,False,0,0,"[1426.5609133500618, 2969.92323846512, 4513.2855793975605, 6056.6479361137335, 7600.010308581553, 9143.372668204947, 10686.734915994015]",C,7,1543.3622941996857,6.238241762274974e-09,82.23982155323029,1.9409330131880151,False,0,0,"[1433.8924977603954, 2977.2548601622825, 4520.617163203081, 6063.979433737985, 7607.34171613724, 9150.704010354446, 10694.066316337043]",L,0,,,6.299491971731186,0.8320295037664548,False,0,0,[],7600.010308581553
0.855,0.0,bounded_CCO,True,False,2.4899285370886375e-07,9.056495675610508e-05,4.156528907124386e-06,C,10,1146.091149579306,4.4413986462980346e-08,128.17804515361786,7.518873940488722,False,0,0,"[1083.537316582091, 2229.6285805618795, 3375.719584138526, 4521.810657237956, 5667.901843569196, 6813.99305728951, 7960.084051831861, 9106.175160124008, 10252.26638141666, 11398.357500569778]",C,10,1146.0911325262578,5.969792232587686e-08,83.0257385969162,4.750468588909116,False,0,0,"[1090.8130104947406, 2236.90417502678, 3382.995380650269, 4529.086402942753, 5675.177509729423, 6821.268700151625, 7967.359835655626, 9113.450884243097, 10259.542017055386, 11405.633233234399]",O_unresolved,0,,,6.540022790431976,0.9295856554577956,False,0,0,[],5667.901843569196
0.855,0.25,bounded_CCO,True,False,3.638358777161751e-06,0.00013754400129103008,3.7664471876850716e-06,C,10,1146.0911161695221,8.485226146166774e-08,128.1781643629074,7.498993333605696,False,0,0,"[1039.619093256585, 2185.7100840676317, 3331.8011889123563, 4477.892406779959, 5623.983535196946, 6770.074561627328, 7916.16570159786, 9062.256954364928, 10208.347988389503, 11354.439050106426]",C,10,1146.0911327727254,7.777740510011749e-08,83.02583545446396,4.740655081446084,False,0,0,"[1046.894727179714, 2192.98586925724, 3339.0769152702733, 4485.1680455342, 5631.259259191335, 6777.350331644426, 7923.441403874599, 9069.532560091784, 10215.623788411454, 11361.714802192775]",O_unresolved,0,,,6.537070963531733,0.9288192479085816,False,0,0,[],5623.983535196946
0.855,0.5,bounded_CCO,True,False,4.101670002072596e-06,0.0005020758254509915,3.693064148261628e-06,C,10,1146.0911438936837,6.89576202937072e-08,128.1593143939972,7.494934981395146,False,0,0,"[1030.2799853866347, 2176.3712271196187, 3322.4622110401087, 4468.553308780076, 5614.644519589226, 6760.735667097845, 7906.8266863913395, 9052.91781927199, 10199.009064994843, 11345.10011807239]",C,10,1146.0911506929378,5.9564111258689304e-08,82.99412578344345,4.738670892310803,False,0,0,"[1037.5556602164331, 2183.6468424394866, 3329.737998960188, 4475.829039666641, 5621.92016467794, 6768.011373136937, 7914.10245969564, 9060.193526636536, 10206.28467761768, 11352.375911774454]",O_unresolved,0,,,6.548297591507435,0.9286798887185291,False,0,0,[],5614.644519589226
0.855,0.75,bounded_CCO,True,False,7.548005950935384e-06,0.0004926785152664501,3.681584803274466e-06,C,10,1146.0911388130226,9.792684290154032e-08,128.08361649513245,7.494283566681739,False,0,0,"[1028.7734307070734, 2174.864613134412, 3320.9556192140717, 4467.046738967797, 5613.137971648059, 6759.229060001511, 7905.3201014087335, 9051.411256257337, 10197.502523806157, 11343.593517847801]",C,10,1146.0911496813105,4.243223682211642e-08,82.97663927078247,4.738353449105845,False,0,0,"[1036.0490872744854, 2182.14028562027, 3328.231398304257, 4474.3224554487815, 5620.4135967318925, 6766.504821293152, 7912.595864156853, 9058.68694748256, 10204.778114683051, 11350.869313200785]",O_unresolved,0,,,6.548329256474972,0.9286580419659562,False,0,0,[],5613.137971648059
0.8525,0.0,bounded_CCO,True,False,6.047585427095937e-06,0.0014512789887752326,1.3304603394660836e-05,C,15,775.4405491795636,8.93396420948417e-08,132.79558718204498,7.241592707183071,False,0,0,"[710.6295356988498, 1486.0699294291333, 2261.510629427068, 3036.951074977552, 3812.3917389539974, 4587.832224271877, 5363.272852180325, 6138.713377319047, 6914.153969116052, 7689.594534128319, 8465.035089770548, 9240.47569470151, 10015.916214145374, 10791.3568590378, 11566.797342240201]",C,15,775.4405649635524,2.157983548745427e-08,86.35137230157852,4.619080471776486,False,0,0,"[717.6778070780048, 1493.1184763805475, 2268.5589297539223, 3043.999642678196, 3819.4400686084346, 4594.8807579196, 5370.321210273162, 6145.761872611779, 6921.202354758847, 7696.642990077322, 8472.083502075584, 9247.524110318696, 10022.964652225632, 10798.405233335761, 11573.845805209354]",O_unresolved,0,,,7.692622486501932,0.9087575859801023,False,0,0,[],3812.3917389539974
0.8525,0.25,bounded_CCO,True,False,1.0587492577518271e-05,0.0016871360820041666,7.684144137078893e-06,C,15,775.4406175559403,1.5395580729432655e-07,132.79275596141815,7.292351956054486,False,0,0,"[666.7005673812446, 1442.141167712856, 2217.5816493112006, 2993.022280592944, 3768.4628020071773, 4543.90339718151, 5319.343958464592, 6094.784517488214, 6870.22511868598, 7645.665641515319, 8421.106282670564, 9196.546769262382, 9971.987450417637, 10747.427900730181, 11522.868621930204]",C,15,775.4405615920108,3.707976884334538e-08,86.34777367115021,4.653910539896523,False,0,0,"[673.7491400861447, 1449.1894946636019, 2224.6301864935836, 3000.070636065172, 3775.5113009270203, 4550.95178028671, 5326.392418133101, 6101.832927338603, 6877.273538115007, 7652.714077223815, 8428.154660872633, 9203.595229942594, 9979.035786405952, 10754.476385496351, 11529.916914718626]",O_unresolved,0,,,7.692610379308462,0.9208053961919506,False,0,0,[],3768.4628020071773
