q,phase,dt_ms,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms,low_fold_additive_mv,max_additive_mv,first_support_failure_ms,first_nonfinite_ms
0.83,0.0,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,149.52801167964935,2.3359365295618773,False,0,0,[],L,1,,,97.75404632091522,1.7187674529850483,False,0,0,[6.381026789784448],L,0,,,9.674017317593098,0.8461559773422778,False,0,0,[],0.37832044948020666,0.3814404010772705,,
0.83,0.25,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,149.5274305343628,2.3359654005616903,False,0,0,[],L,1,,,97.75350242853165,1.7187815392389894,False,0,0,[6.3810409912681845],L,0,,,9.67369694262743,0.8461565594188869,False,0,0,[],0.37832044948020666,0.3814396381378174,,
0.83,0.5,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,149.52759444713593,2.3359577171504498,False,0,0,[],L,1,,,97.75365144014359,1.718777813948691,False,0,0,[6.381037284791632],L,0,,,9.673782624304295,0.8461563847959042,False,0,0,[],0.37832044948020666,0.3814398527145386,,
0.83,0.75,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,149.52780306339264,2.3359470069408417,False,0,0,[],L,1,,,97.7538526058197,1.7187725752592087,False,0,0,[6.381031749256194],L,0,,,9.673901833593845,0.8461561519652605,False,0,0,[],0.37832044948020666,0.38144013881683353,,
0.8325,0.0,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,148.5457420349121,1.8497584387660027,False,0,0,[],L,1,,,97.09357470273972,1.4729656977578998,False,0,0,[6.409977399199564],L,0,,,9.88961011171341,0.8359997882507741,False,0,0,[],0.343154416529103,0.37955281734466556,,
0.8325,0.25,0.125,LLL,False,False,,,3.517633715175192e-18,L,0,,,148.5455185174942,1.8497611163184047,False,0,0,[],L,1,,,97.0933735370636,1.4729672111570835,False,0,0,[6.409982935494888],L,0,,,9.889486245810986,0.8359998464584351,False,0,0,[],0.343154416529103,0.37955253124237065,,
0.8325,0.5,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,148.5455483198166,1.8497607670724392,False,0,0,[],L,1,,,97.09339588880539,1.4729669783264399,False,0,0,[6.40998216715706],L,0,,,9.889503009617329,0.8359998464584351,False,0,0,[],0.343154416529103,0.3795525550842285,,
0.8325,0.75,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,148.54557812213898,1.8497604178264737,False,0,0,[],L,1,,,97.09342569112778,1.4729667454957962,False,0,0,[6.409981575368578],L,0,,,9.889521636068821,0.8359997882507741,False,0,0,[],0.343154416529103,0.37955260276794434,,
0.83,0.0,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,149.08204972743988,2.356576034799218,False,0,0,[],L,1,,,97.34108299016953,1.7287777736783028,False,0,0,[6.362606594077701],L,0,,,9.502322413027287,0.8465779828839004,False,0,0,[],0.37832044948020666,0.3809237957000733,,
0.83,0.25,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,149.0819901227951,2.3565792944282293,False,0,0,[],L,1,,,97.34103083610535,1.7287792870774865,False,0,0,[6.3626080792616975],L,0,,,9.502291679382324,0.8465780410915613,False,0,0,[],0.37832044948020666,0.38092372417449955,,
0.83,0.5,0.0625,LLL,False,False,,,6.8907071406856506e-18,L,0,,,149.08213913440704,2.356570912525058,False,0,0,[],L,1,,,97.34117239713669,1.7287752125412226,False,0,0,[6.362604262429929],L,0,,,9.502372704446316,0.8465778664685786,False,0,0,[],0.37832044948020666,0.38092391490936284,,
