source_q,phase,dt_ms,restored_q,restored_additive_mv,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms
0.835,0.0,0.125,0.9,0.0,LLL,False,False,,,3.469446951953614e-18,L,0,,,1.634111162275076,0.8108934271149337,False,0,0,[],L,0,,,1.354557927697897,0.8108934271149337,False,0,0,[],L,0,,,0.8312693098559976,0.8108934271149337,False,0,0,[]
0.835,0.25,0.125,0.9,0.0,LLL,False,False,,,3.4212601887320364e-18,L,0,,,1.6341119771823287,0.8108934271149337,False,0,0,[],L,0,,,1.3545583933591843,0.8108934271149337,False,0,0,[],L,0,,,0.8312693098559976,0.8108934271149337,False,0,0,[]
0.835,0.5,0.125,0.9,0.0,LLL,False,False,,,3.4212601887320364e-18,L,0,,,1.6341119771823287,0.8108934271149337,False,0,0,[],L,0,,,1.3545583933591843,0.8108934271149337,False,0,0,[],L,0,,,0.8312693098559976,0.8108934271149337,False,0,0,[]
0.835,0.75,0.125,0.9,0.0,LLL,False,False,,,3.469446951953614e-18,L,0,,,1.6341120935976505,0.8108934271149337,False,0,0,[],L,0,,,1.354558509774506,0.8108934271149337,False,0,0,[],L,0,,,0.8312693098559976,0.8108934271149337,False,0,0,[]
0.8375,0.0,0.125,0.9,0.0,LLL,False,False,,,3.4212601887320364e-18,L,0,,,1.4860169030725956,0.8108934271149337,False,0,0,[],L,0,,,1.2688039569184184,0.8108934271149337,False,0,0,[],L,0,,,0.8279103203676641,0.8108934271149337,False,0,0,[]
0.8375,0.25,0.125,0.9,0.0,LLL,False,False,,,3.4212601887320364e-18,L,0,,,1.4860135270282626,0.8108934271149337,False,0,0,[],L,0,,,1.2688018614426255,0.8108934271149337,False,0,0,[],L,0,,,0.8279102621600032,0.8108934271149337,False,0,0,[]
0.8375,0.5,0.125,0.9,0.0,LLL,False,False,,,3.4212601887320364e-18,L,0,,,1.4860169030725956,0.8108934271149337,False,0,0,[],L,0,,,1.2688039569184184,0.8108934271149337,False,0,0,[],L,0,,,0.8279103203676641,0.8108934271149337,False,0,0,[]
0.8375,0.75,0.125,0.9,0.0,LLL,False,False,,,3.4212601887320364e-18,L,0,,,1.4860158553346992,0.8108934271149337,False,0,0,[],L,0,,,1.2688033748418093,0.8108934271149337,False,0,0,[],L,0,,,0.8279103203676641,0.8108934271149337,False,0,0,[]
0.84,0.0,0.125,0.9,0.0,LLL,False,False,,,3.469446951953614e-18,L,0,,,1.3726127799600363,0.8108934271149337,False,0,0,[],L,0,,,1.2002618750557303,0.8108934271149337,False,0,0,[],L,0,,,0.8252657717093825,0.8108934271149337,False,0,0,[]
0.84,0.25,0.125,0.9,0.0,LLL,False,False,,,3.469446951953614e-18,L,0,,,1.3726131292060018,0.8108934271149337,False,0,0,[],L,0,,,1.200262107886374,0.8108934271149337,False,0,0,[],L,0,,,0.8252657717093825,0.8108934271149337,False,0,0,[]
0.84,0.5,0.125,0.9,0.0,LLL,False,False,,,3.4212601887320364e-18,L,0,,,1.372610917314887,0.8108934271149337,False,0,0,[],L,0,,,1.200260710902512,0.8108934271149337,False,0,0,[],L,0,,,0.8252657135017216,0.8108934271149337,False,0,0,[]
0.84,0.75,0.125,0.9,0.0,LLL,False,False,,,3.469446951953614e-18,L,0,,,1.3726112665608525,0.8108934271149337,False,0,0,[],L,0,,,1.200260827317834,0.8108934271149337,False,0,0,[],L,0,,,0.8252657135017216,0.8108934271149337,False,0,0,[]
0.8425,0.0,0.125,0.9,0.0,LLL,False,False,,,3.469446951953614e-18,L,0,,,1.2810659827664495,0.8108934271149337,False,0,0,[],L,0,,,1.1428764555603266,0.8108934271149337,False,0,0,[],L,0,,,0.8230788516812027,0.8108934271149337,False,0,0,[]
0.8425,0.25,0.125,0.9,0.0,LLL,False,False,,,3.469446951953614e-18,L,0,,,1.2810658663511276,0.8108934271149337,False,0,0,[],L,0,,,1.1428764555603266,0.8108934271149337,False,0,0,[],L,0,,,0.8230788516812027,0.8108934271149337,False,0,0,[]
0.8425,0.5,0.125,0.9,0.0,LLL,False,False,,,3.4212601887320364e-18,L,0,,,1.2810650514438748,0.8108934271149337,False,0,0,[],L,0,,,1.1428758734837174,0.8108934271149337,False,0,0,[],L,0,,,0.8230787934735417,0.8108934271149337,False,0,0,[]
0.8425,0.75,0.125,0.9,0.0,LLL,False,False,,,3.469446951953614e-18,L,0,,,1.2810638872906566,0.8108934271149337,False,0,0,[],L,0,,,1.1428750585764647,0.8108934271149337,False,0,0,[],L,0,,,0.8230787934735417,0.8108934271149337,False,0,0,[]
0.845,0.0,0.125,0.9,0.0,LLL,False,False,,,3.469446951953614e-18,L,0,,,1.2049119686707854,0.8108934271149337,False,0,0,[],L,0,,,1.0935993632301688,0.8108934271149337,False,0,0,[],L,0,,,0.8212203974835575,0.8108934271149337,False,0,0,[]
