q,phase,dt_ms,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms,max_additive_mv,final_additive_mv,low_fold_additive_mv,max_abs_fixed_q_error,first_support_failure_ms,first_nonfinite_ms
0.825,0.0,0.125,physical_or_numerical_failure,False,False,,,nan,physical_or_numerical_failure,1,,,165.6932681798935,165.6932681798935,True,1,0,[741.8752782704199],physical_or_numerical_failure,2,,,110.52285879850388,107.49587416648865,False,0,0,"[6.336746783353275, 748.2066898237252]",physical_or_numerical_failure,0,,,9.59179736673832,9.59179736673832,False,0,0,[],0.473341178894043,0.473341178894043,0.44788372899633555,1.1920928910669204e-08,767.375,767.375
0.825,0.25,0.125,physical_or_numerical_failure,False,False,,,nan,physical_or_numerical_failure,1,,,165.69331288337708,165.69331288337708,True,1,0,[741.8756734615887],physical_or_numerical_failure,2,,,110.52274703979492,107.4967160820961,False,0,0,"[6.33674459233716, 748.207088387705]",physical_or_numerical_failure,0,,,9.591368027031422,9.591368027031422,False,0,0,[],0.47333927154541017,0.47333927154541017,0.44788372899633555,1.1920928910669204e-08,767.375,767.375
0.825,0.5,0.125,physical_or_numerical_failure,False,False,,,nan,physical_or_numerical_failure,1,,,165.69331288337708,165.69331288337708,True,1,0,[741.8756022707751],physical_or_numerical_failure,2,,,110.52276194095612,107.49656707048416,False,0,0,"[6.336745231399858, 748.2070165895835]",physical_or_numerical_failure,0,,,9.591445326805115,9.591445326805115,False,0,0,[],0.47333960533142094,0.47333960533142094,0.44788372899633555,1.1920928910669204e-08,767.375,767.375
0.825,0.75,0.125,physical_or_numerical_failure,False,False,,,nan,physical_or_numerical_failure,1,,,165.6932234764099,165.6932234764099,True,1,0,[741.8748285914052],physical_or_numerical_failure,2,,,110.52298545837402,107.49491304159164,False,0,0,"[6.33674861449819, 748.2062385537025]",physical_or_numerical_failure,0,,,9.592284448444843,9.592284448444843,False,0,0,[],0.4733433246612549,0.4733433246612549,0.44788372899633555,1.1920928910669204e-08,767.375,767.375
0.835,0.0,0.125,LLL,False,False,,,3.517633715175192e-18,L,0,,,147.410586476326,1.634111162275076,False,0,0,[],L,1,,,96.32096439599991,1.354557927697897,False,0,0,[6.444752517029819],L,0,,,10.044957511126995,0.8312693098559976,False,0,0,[],0.37744736671447754,0.37744736671447754,0.3077171045276467,2.1457672083613488e-08,,
0.835,0.25,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,147.41048216819763,1.6341119771823287,False,0,0,[],L,1,,,96.32087498903275,1.3545583933591843,False,0,0,[6.44475489910203],L,0,,,10.044901631772518,0.8312693098559976,False,0,0,[],0.3774472236633301,0.3774472236633301,0.3077171045276467,2.1457672083613488e-08,,
0.835,0.5,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,147.41048216819763,1.6341119771823287,False,0,0,[],L,1,,,96.32086753845215,1.3545583933591843,False,0,0,[6.4447548347905625],L,0,,,10.044898837804794,0.8312693098559976,False,0,0,[],0.3774472236633301,0.3774472236633301,0.3077171045276467,2.1457672083613488e-08,,
0.835,0.75,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,147.41046726703644,1.6341120935976505,False,0,0,[],L,1,,,96.32085263729095,1.354558509774506,False,0,0,[6.444755484230249],L,0,,,10.044887661933899,0.8312693098559976,False,0,0,[],0.3774471998214722,0.3774471998214722,0.3077171045276467,2.1457672083613488e-08,,
0.8375,0.0,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,146.09652757644653,1.4860169030725956,False,0,0,[],L,1,,,95.49134969711304,1.2688039569184184,False,0,0,[6.486597402268966],L,0,,,10.123142041265965,0.8279103203676641,False,0,0,[],0.37508175373077396,0.37508175373077396,0.2719962310675765,2.384185793236071e-08,,
0.8375,0.25,0.125,LLL,False,False,,,3.517633715175192e-18,L,0,,,146.09703421592712,1.4860135270282626,False,0,0,[],L,1,,,95.49190104007721,1.2688018614426255,False,0,0,[6.486583853469234],L,0,,,10.123446583747864,0.8279102621600032,False,0,0,[],0.37508246898651126,0.37508246898651126,0.2719962310675765,2.384185793236071e-08,,
